County,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
CUMBERLAND,310.0,518.0,629.0,786.0,1002.0,1218.0,1575.0,2461.0,3344.0,4225.0,5104.0,5992.0,6744.0,7509.0,8368.0,9193.0,10006.0,10717.0,11319.0,11938.0,12609.0,12991.0,12947.0,12970.0,12997.0,13033.0,13059.0,13025.0
GREATER MANCHESTER,1884.0,3113.0,3733.0,4617.0,5818.0,6996.0,8955.0,13850.0,18630.0,23292.0,27838.0,32326.0,35992.0,39630.0,43660.0,47412.0,51002.0,53971.0,56313.0,58651.0,61157.0,62204.0,61179.0,60468.0,59769.0,59099.0,58378.0,57382.0
LANCASHIRE,1260.0,2100.0,2540.0,3170.0,4031.0,4892.0,6318.0,9859.0,13382.0,16883.0,20368.0,23875.0,26840.0,29845.0,33211.0,36437.0,39609.0,42367.0,44697.0,47082.0,49667.0,51114.0,50883.0,50918.0,50970.0,51056.0,51107.0,50922.0
OTHER,270.0,451.0,549.0,688.0,878.0,1069.0,1386.0,2170.0,2956.0,3741.0,4529.0,5326.0,6005.0,6698.0,7475.0,8226.0,8969.0,9621.0,10178.0,10750.0,11371.0,11734.0,11711.0,11750.0,11792.0,11842.0,11883.0,11869.0
WESTMORLAND AND FURNESS,331.0,554.0,673.0,843.0,1075.0,1309.0,1696.0,2654.0,3613.0,4570.0,5528.0,6497.0,7322.0,8161.0,9104.0,10014.0,10913.0,11700.0,12372.0,13063.0,13812.0,14247.0,14214.0,14256.0,14303.0,14358.0,14404.0,14384.0
