County,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
CUMBERLAND,1401725.01,1461490.42,1519975.85,1668795.02,1825868.71,1913155.35,1991219.17,2112142.09,2336511.21,2442089.39,2558961.65,2662321.24,2771672.82,2872692.39,2967936.72,3055650.64,3132282.84,3199358.9,3252631.51,3293941.85,3328521.68,3356321.91,3347900.35,3337032.16,3323562.78,3308927.56,3292234.15,3273334.05
GREATER MANCHESTER,11209254.16,11884507.64,12694804.18,13900442.17,14671263.38,15281527.14,15965656.28,17040934.21,18046841.35,18974452.83,19783782.88,20579945.25,21404562.7,22180297.81,22897780.4,23538040.86,24094902.41,24562889.47,24959891.64,25295208.54,25575552.98,25813229.55,25823541.76,25811159.26,25776647.12,25730127.89,25668930.5,25592614.39
LANCASHIRE,5988478.79,6310821.85,6705894.97,7167839.69,7624074.43,8009399.64,8368635.26,8900270.37,9454644.76,10061158.12,10536093.94,11324230.59,11800726.81,12224018.46,12620952.05,12986104.78,13303822.82,13575032.42,13807152.71,14009313.51,14179827.1,14331696.2,14315796.76,14286031.38,14250167.03,14200426.79,14141100.69,14077271.64
OTHER,1329091.68,1390789.36,1469116.2,1572460.94,1630158.05,1698042.22,1772121.1,1912778.13,2033236.13,2192719.22,2286743.1,2377795.26,2499530.26,2590698.86,2675769.57,2753690.14,2822521.53,2882852.89,2934211.12,2978579.64,3015822.61,3047821.51,3048361.28,3046302.11,3041122.15,3034224.91,3025566.03,3014813.87
WESTMORLAND AND FURNESS,1253271.55,1306707.34,1358998.71,1492056.79,1632495.16,1710537.48,1780333.74,1888449.99,2089056.7,2183453.34,2287947.92,2380360.94,2478131.34,2568452.16,2653609.39,2732033.73,2800549.99,2860522.18,2908152.81,2945088.06,2976005.63,3000861.6,2993331.94,2983614.78,2971571.91,2958486.68,2943561.23,2926662.79
