Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,5907.64,7585.52,9308.15,11862.02,15567.26,20308.55,25641.2,31278.67,36976.59,42961.36,49033.13,55221.33,61433.41,67412.48,73218.61,78829.76,84137.03,89158.15,93653.37,97693.46,101249.93,104385.55,107060.86,109172.87,110964.07,112436.65,113631.66,114594.79
PRESTON,15670.15,19671.81,23581.78,29695.94,38601.09,49983.41,62917.99,76844.89,91349.17,107009.12,123493.8,140925.35,159061.13,177189.78,195262.59,213039.3,230134.3,246455.56,261374.19,274949.66,287053.55,297776.99,307011.51,314532.78,320881.13,326100.53,330318.26,333687.24
RIBBLE VALLEY,7970.23,9486.23,11125.72,13892.69,18035.97,23391.04,29450.05,35896.88,42468.04,49427.23,56562.62,63909.14,71356.29,78604.58,85701.56,92603.68,99171.16,105407.33,111030.17,116106.6,120594.73,124557.42,127947.15,130648.68,132934.27,134810.12,136328.54,137547.48
RICHMONDSHIRE,13.12,16.61,20.57,26.87,36.09,48.27,62.81,79.46,97.99,119.12,142.76,168.98,197.4,227.24,258.16,289.62,320.9,351.48,380.39,407.3,431.76,453.6,472.6,488.52,501.86,512.76,521.53,528.47
ROCHDALE,18521.38,23594.11,28810.54,36629.52,47946.77,62407.08,78824.45,96495.43,114882.59,134720.82,155522.06,177422.06,200134.57,222807.82,245479.33,267910.66,289637.81,310544.19,329787.33,347410.87,363210.24,377271.12,389424.25,399356.88,407763.99,414699.26,420327.46,424850.5
ROSSENDALE,7158.15,8724.16,10421.81,13111.62,17092.15,22216.81,27994.42,34118.27,40333.27,46888.58,53563.56,60391.57,67274.94,73936.59,80447.07,86781.09,92817.21,98566.69,103757.92,108456.04,112619.07,116306.12,119467.64,121987.73,124128.69,125894.82,127332.32,128494.76
SALFORD,21772.76,27149.75,32888.08,41731.29,54638.46,71215.57,90142.65,110673.12,132241.29,155711.78,180550.01,206905.06,234442.59,262184.66,290147.99,318022.83,345227.38,371557.88,395983.27,418477.13,438741.21,456821.19,472493.72,485391.35,496301.65,505301.56,512604.68,518472.49
SEFTON,0.55,0.65,0.75,0.95,1.24,1.63,2.06,2.53,3.01,3.52,4.03,4.56,5.1,5.62,6.12,6.61,7.08,7.52,7.91,8.27,8.58,8.86,9.09,9.28,9.43,9.56,9.66,9.74
SOUTH LAKELAND,14353.78,17486.29,20841.35,26402.41,34658.56,45380.7,57610.4,70760.82,84284.52,98718.81,113696.87,129257.52,145144.82,160757.01,176121.29,191118.9,205424.05,219003.75,231278.47,242359.01,252147.45,260758.03,268101.05,273960.78,278878.26,282870.4,286068.8,288603.99
SOUTH RIBBLE,13703.94,16994.76,20523.35,26049.87,34156.67,44607.13,56565.87,69541.59,83149.67,97932.75,113554.28,130095.74,147336.15,164665.03,182089.98,199425.93,216306.86,232611.23,247697.75,261563.63,274029.2,285131.27,294735.05,302612.86,309265.54,314738.1,319168.45,322718.56
ST HELENS,5172.72,6744.37,8369.29,10767.22,14219.73,18660.08,23772.66,29378.75,35341.09,41895.19,48924.97,56468.87,64428.52,72533.14,80754.03,88982.08,97038.29,104843.4,112110.88,118814.69,124862.67,130255.72,134931.83,138797.29,142057.0,144737.39,146904.59,148637.2
STAFFORDSHIRE MOORLANDS,1.07,1.26,1.46,1.81,2.33,3.01,3.77,4.58,5.4,6.27,7.15,8.07,8.99,9.89,10.76,11.61,12.41,13.17,13.84,14.45,14.99,15.46,15.86,16.17,16.44,16.66,16.83,16.98
STOCKPORT,30890.79,38660.62,46271.91,57949.59,74925.79,96447.42,120523.44,145925.66,171731.29,198982.38,226863.03,255616.04,284847.37,313273.42,341036.1,367879.13,393267.11,417244.96,438748.8,458077.15,475121.42,490171.04,503061.09,513346.43,522091.36,529329.59,535222.15,539977.32
TAMESIDE,19302.55,24975.77,30668.68,38919.51,50808.37,65910.71,82803.73,100583.97,118532.59,137367.11,156440.94,175889.78,195448.06,214275.21,232574.32,250256.13,266989.65,282840.13,297051.24,309846.25,321139.74,331132.6,339695.35,346494.19,352292.75,357102.37,361033.43,364226.35
TRAFFORD,27851.37,32345.64,37577.23,46656.66,60313.74,77935.28,98040.74,119816.92,142704.11,167635.39,193998.09,221972.47,251225.14,280717.92,310519.25,340313.12,369491.26,397833.84,424215.33,448586.15,470604.54,490300.86,507415.26,521537.42,533509.68,543416.67,551479.34,557979.98
WARRINGTON,3141.85,3698.12,4340.92,5429.46,7057.58,9156.71,11540.15,14101.67,16757.11,19614.65,22593.84,25710.56,28924.0,32116.71,35306.4,38468.77,41540.21,44506.56,47241.77,49752.24,52005.97,54014.46,55750.93,57167.1,58366.73,59356.19,60160.06,60807.59
WEST LANCASHIRE,12395.43,14998.22,17922.61,22695.02,29759.39,38904.99,49407.18,60857.63,72926.3,86096.95,100083.27,114948.28,130492.25,146184.42,162023.68,177841.27,193300.05,208272.3,222175.16,234982.87,246518.52,256798.93,265697.99,273014.5,279186.3,284256.25,288355.93,291636.67
WIGAN,31908.36,41171.46,50541.15,64368.58,84348.54,109868.72,138720.26,169517.08,201156.81,234896.5,269792.4,306058.93,343194.15,379734.33,415839.87,451207.74,485120.82,517509.59,546989.41,573782.21,597630.59,618776.18,636965.34,651650.95,664090.08,674342.02,682661.44,689352.21
WYRE,12357.81,15343.23,18403.96,23169.27,30159.86,39103.46,49139.7,59725.24,70409.99,81622.86,92989.26,104575.56,116210.23,127397.24,138243.08,148697.39,158556.9,167860.84,176164.63,183609.3,190150.26,195912.82,200826.95,204700.27,207989.52,210698.56,212899.66,214675.73
