Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ROCHDALE,18.63,19.6,21.2,22.88,24.63,26.39,27.35,27.71,28.07,28.41,28.72,29.02,29.34,29.57,29.86,30.15,30.43,30.73,31.06,31.42,31.83,32.21,32.61,33.07,33.48,33.89,34.31,34.69
ROSSENDALE,8.28,23.69,48.93,74.26,99.59,124.88,136.24,137.32,138.53,139.65,140.84,141.73,142.87,143.96,145.35,146.83,148.4,150.05,151.73,153.46,155.21,156.93,158.67,160.43,162.16,163.89,165.62,166.95
SALFORD,0.0,1.15,3.05,5.04,7.1,9.19,10.32,10.75,11.17,11.58,11.95,12.3,12.68,12.95,13.29,13.64,13.97,14.33,14.73,15.15,15.65,16.1,16.59,17.14,17.63,18.13,18.63,19.09
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,0.0,0.86,2.29,3.78,5.33,6.9,7.75,8.08,8.39,8.7,8.97,9.24,9.53,9.73,9.99,10.25,10.51,10.79,11.09,11.42,11.82,12.18,12.57,13.01,13.41,13.82,14.24,14.63
SOUTH RIBBLE,51.64,52.32,53.44,54.62,55.85,57.09,57.76,58.01,58.26,58.5,58.72,58.93,59.16,59.31,59.51,59.71,59.91,60.12,60.34,60.58,60.87,61.12,61.39,61.69,61.96,62.23,62.5,62.74
ST HELENS,0.0,0.22,0.57,0.95,1.34,1.73,1.94,2.03,2.1,2.18,2.25,2.32,2.39,2.44,2.5,2.57,2.63,2.7,2.77,2.85,2.94,3.03,3.12,3.22,3.31,3.4,3.49,3.57
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,0.0,1.57,4.17,6.89,9.71,12.58,14.11,14.7,15.27,15.82,16.32,16.79,17.32,17.68,18.14,18.6,19.05,19.53,20.05,20.61,21.26,21.85,22.48,23.19,23.81,24.44,25.08,25.65
TAMESIDE,0.0,1.63,4.31,7.12,10.03,12.99,14.58,15.19,15.79,16.36,16.88,17.37,17.91,18.29,18.76,19.24,19.7,20.19,20.72,21.27,21.93,22.5,23.12,23.81,24.41,25.01,25.62,26.15
TRAFFORD,51.64,52.11,52.9,53.72,54.57,55.43,55.9,56.08,56.25,56.42,56.57,56.72,56.88,57.0,57.15,57.3,57.45,57.62,57.81,58.02,58.28,58.53,58.8,59.11,59.41,59.71,60.03,60.34
WARRINGTON,0.0,0.18,0.47,0.77,1.08,1.4,1.58,1.64,1.71,1.77,1.83,1.88,1.94,1.98,2.03,2.08,2.13,2.19,2.24,2.3,2.38,2.44,2.51,2.58,2.65,2.72,2.79,2.85
WEST LANCASHIRE,51.64,52.29,53.38,54.51,55.69,56.89,57.53,57.78,58.02,58.25,58.46,58.66,58.88,59.04,59.23,59.42,59.61,59.82,60.04,60.27,60.55,60.79,61.06,61.36,61.62,61.89,62.16,62.4
WIGAN,0.0,1.64,4.34,7.16,10.1,13.08,14.68,15.29,15.89,16.47,16.99,17.49,18.04,18.41,18.89,19.38,19.85,20.36,20.9,21.48,22.16,22.77,23.42,24.16,24.81,25.46,26.12,26.72
WYRE,0.0,0.59,1.56,2.58,3.64,4.71,5.29,5.51,5.73,5.94,6.12,6.3,6.5,6.64,6.82,6.99,7.17,7.35,7.56,7.78,8.04,8.28,8.54,8.83,9.09,9.36,9.63,9.88
