Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,1453.9,2199.22,2700.53,3261.14,3854.76,4083.08,4432.97,5221.42,6080.5,6940.22,7792.3,8663.65,9541.76,10524.94,11558.43,12544.96,13555.68,14823.17,16065.21,17340.32,18699.97,20021.05,20845.3,21695.17,22543.52,23392.2,24230.43,24913.09
PRESTON,4034.52,5700.13,6886.87,8196.91,9573.04,10015.09,10731.88,12403.89,14177.42,15916.44,17580.07,19273.46,20959.61,22831.91,24771.3,26571.1,28412.38,30816.45,33155.6,35535.91,38125.9,40563.97,42119.64,43729.14,45336.34,46945.03,48532.75,49798.59
RIBBLE VALLEY,1455.46,2206.08,2810.3,3504.53,4243.08,4445.35,4956.82,6489.2,8038.36,9553.28,11002.72,12470.71,13977.68,15626.31,17338.24,18980.23,20571.79,22520.88,24417.33,26333.69,28565.84,30760.62,31939.84,33140.37,34337.51,35532.99,36716.59,37753.63
RICHMONDSHIRE,1.65,2.66,3.48,4.44,5.46,5.75,6.08,6.62,7.21,7.8,8.36,8.94,9.49,10.1,10.76,11.39,11.96,13.22,14.4,15.53,17.26,18.95,20.45,21.97,23.49,25.01,26.51,27.81
ROCHDALE,4950.29,7016.19,8515.33,10164.88,11909.46,12525.26,13776.17,17283.94,21027.46,24831.98,28613.86,32546.09,36642.19,41252.31,46122.77,50856.42,55740.37,61549.19,67382.44,73371.61,79681.04,85903.0,89379.44,92915.5,96441.32,99961.96,103448.42,106517.18
ROSSENDALE,1597.8,2360.02,2881.93,3456.09,4065.62,4310.09,4738.15,5830.84,7009.33,8205.48,9393.57,10621.91,11889.41,13305.64,14797.88,16263.2,17759.97,19529.74,21305.17,23118.59,25065.53,26956.35,28041.95,29153.39,30262.6,31371.54,32468.8,33401.54
SALFORD,9134.11,11840.72,13863.18,16062.85,18353.13,19016.64,20453.31,24534.56,28723.57,32843.26,36812.84,40866.88,44970.19,49570.8,54278.22,58766.51,63397.35,68820.82,74194.48,79657.36,85445.48,90910.57,93882.38,96936.44,99984.38,103032.35,106042.66,108530.59
SEFTON,0.07,0.11,0.15,0.18,0.22,0.23,0.25,0.28,0.31,0.35,0.38,0.4,0.43,0.46,0.49,0.52,0.55,0.59,0.63,0.67,0.73,0.78,0.82,0.87,0.91,0.95,1.0,1.03
SOUTH LAKELAND,4329.29,6588.2,8264.46,10177.31,12203.76,12889.35,13822.49,15648.81,17597.08,19506.88,21351.09,23244.3,25070.09,27096.58,29268.7,31321.69,33342.86,36446.18,39410.7,42378.22,46187.05,49868.6,52704.82,55618.02,58524.76,61430.63,64302.5,66692.38
SOUTH RIBBLE,2288.05,3289.16,4001.39,4780.31,5598.91,5887.04,6459.75,7968.32,9520.2,11054.79,12533.01,14056.22,15588.35,17304.79,19072.79,20769.27,22581.19,24949.08,27334.32,29733.9,32287.92,34788.27,36317.51,37877.35,39432.13,40984.32,42519.45,43843.86
ST HELENS,1055.37,1487.52,1785.7,2112.97,2455.83,2579.38,2861.88,3670.93,4503.39,5327.63,6120.95,6942.62,7777.97,8715.83,9699.79,10643.88,11629.23,12818.8,14021.4,15246.11,16531.83,17795.69,18494.52,19206.83,19917.12,20626.5,21328.6,21939.23
STAFFORDSHIRE MOORLANDS,0.19,0.27,0.34,0.41,0.49,0.52,0.56,0.69,0.82,0.95,1.08,1.21,1.34,1.49,1.65,1.8,1.95,2.14,2.34,2.53,2.76,2.97,3.1,3.23,3.36,3.49,3.62,3.73
STOCKPORT,7210.23,10028.62,12159.52,14485.27,16938.48,17597.12,18720.7,21613.26,24737.24,27902.85,31027.17,34282.37,37648.46,41424.73,45339.24,49128.11,53259.65,58791.3,64356.87,70089.65,76127.46,81986.41,85767.55,89611.42,93440.03,97258.82,101035.91,104349.44
TAMESIDE,5236.28,7379.61,8932.09,10635.27,12425.01,12958.16,13947.18,16578.83,19416.89,22269.06,25100.26,28041.91,31074.28,34535.02,38154.04,41662.59,45378.84,50093.96,54859.37,59722.56,64834.18,69834.48,72878.21,75973.77,79056.56,82131.15,85171.17,87827.9
TRAFFORD,7109.1,10183.6,12386.44,14777.97,17287.05,18147.94,19391.48,22111.45,25059.99,28032.69,30966.56,34029.98,37112.74,40575.55,44208.65,47733.26,51409.1,55786.21,60136.85,64652.21,69536.08,74126.25,77069.26,80112.2,83152.09,86196.14,89202.8,91611.43
WARRINGTON,641.56,961.97,1165.24,1387.66,1619.91,1730.49,1870.89,2120.38,2400.33,2684.26,2966.63,3265.03,3557.55,3888.61,4248.12,4595.98,4941.92,5352.26,5751.31,6160.89,6635.3,7089.94,7409.04,7741.64,8074.37,8408.14,8737.67,8990.99
WEST LANCASHIRE,2833.05,4127.52,5030.39,6029.49,7072.76,7427.47,8041.65,9528.12,11053.94,12521.63,13904.07,15285.92,16666.5,18196.28,19777.6,21260.28,22746.95,24786.21,26796.41,28814.53,31155.42,33388.51,34837.57,36326.48,37809.76,39290.46,40750.58,41948.58
WIGAN,7147.66,9951.65,11910.22,14058.5,16310.8,17080.18,18712.57,23236.62,27902.23,32505.83,36963.48,41554.52,46232.47,51476.49,56987.18,62288.43,67823.52,74651.5,81501.84,88475.2,95791.0,102970.12,107077.32,111268.92,115448.32,119622.25,123751.25,127311.74
WYRE,3101.99,4479.68,5513.81,6667.58,7889.81,8245.68,9004.45,11167.56,13413.83,15642.29,17825.91,20063.05,22379.93,24931.97,27596.19,30147.8,32730.96,36029.48,39260.77,42536.44,46134.6,49692.54,51741.46,53825.6,55901.99,57973.63,60022.92,61817.56
