Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,99005.06,98925.93,97832.58,96686.66,95832.26,95174.5,94847.63,94626.23,94466.09,94244.92,94119.8,94018.28,93948.95,94084.27,94195.18,94290.92,94354.3,94412.21,94474.03,94533.67,94548.3,94586.45,94619.52,94647.35,94669.87,94687.0,94698.7,94704.89
PRESTON,207075.66,206667.71,204422.86,202228.27,200685.51,199474.31,199001.72,198771.32,198770.16,198660.09,198652.55,198719.48,198877.77,199433.58,199969.1,200406.16,200693.66,201004.97,201332.12,201632.75,201822.99,202071.91,202309.41,202534.54,202747.11,202947.05,203134.73,203310.01
RIBBLE VALLEY,96337.05,96789.11,96268.75,95664.55,95362.83,95169.42,95281.69,95459.36,95681.66,95848.55,96062.85,96315.32,96607.92,97059.14,97502.77,97939.57,98360.45,98763.44,99148.84,99527.64,99849.87,100213.75,100571.1,100921.53,101264.94,101601.24,101930.54,102252.72
RICHMONDSHIRE,84.34,84.13,83.13,82.07,81.28,80.64,80.26,79.96,79.68,79.37,79.14,78.94,78.77,78.76,78.74,78.72,78.7,78.66,78.63,78.6,78.54,78.49,78.44,78.39,78.33,78.27,78.2,78.13
ROCHDALE,303154.97,304114.51,302250.89,300128.03,298926.58,298259.88,298563.1,299201.18,300020.81,300700.98,301606.12,302630.11,303739.28,305498.56,307290.59,309008.71,310550.75,312003.14,313485.38,314918.66,316160.93,317528.72,318875.01,320198.58,321499.02,322776.07,324029.98,325260.39
ROSSENDALE,95889.6,96115.02,95411.77,94579.1,94052.94,93691.11,93636.21,93707.46,93797.1,93833.61,93943.15,94079.44,94248.0,94608.19,94956.01,95314.95,95624.72,95919.19,96231.06,96519.27,96789.42,97067.43,97339.4,97605.05,97864.29,98117.02,98363.25,98602.88
SALFORD,465962.7,470335.09,470708.47,470870.5,472207.71,474159.57,477389.55,481066.78,485191.04,489234.14,493524.32,497879.74,502352.87,507814.38,513239.03,518367.91,522936.07,527266.03,531692.3,535822.43,539365.33,543399.74,547383.08,551306.63,555169.51,558971.83,562718.46,566408.9
SEFTON,3.42,3.4,3.35,3.29,3.25,3.21,3.19,3.17,3.15,3.13,3.11,3.1,3.09,3.08,3.07,3.07,3.06,3.05,3.04,3.04,3.03,3.02,3.01,3.0,3.0,2.99,2.98,2.97
SOUTH LAKELAND,195826.19,195864.76,194093.97,192147.12,190857.72,189843.61,189388.75,189057.69,188749.96,188364.86,188148.55,188019.14,187907.03,188164.22,188444.59,188703.07,188974.34,189153.5,189386.75,189623.5,189704.66,189874.82,190034.47,190182.94,190320.03,190445.63,190559.93,190662.74
SOUTH RIBBLE,172738.03,172546.04,170665.65,168656.44,167223.13,166044.56,165472.66,165035.75,164735.82,164404.61,164190.78,164101.33,164031.8,164333.55,164588.07,164849.98,165091.73,165280.16,165541.94,165750.83,165885.94,166068.71,166242.85,166408.01,166564.04,166710.84,166848.48,166976.82
ST HELENS,70487.44,70480.18,69777.82,69039.03,68523.52,68127.69,67955.23,67844.72,67789.34,67720.23,67692.64,67728.47,67769.81,67970.45,68177.41,68371.78,68558.81,68732.61,68931.2,69115.33,69259.49,69425.76,69588.03,69746.11,69899.93,70049.45,70194.69,70335.59
STAFFORDSHIRE MOORLANDS,9.25,9.29,9.24,9.17,9.14,9.13,9.13,9.15,9.17,9.19,9.21,9.24,9.26,9.31,9.36,9.41,9.45,9.49,9.53,9.57,9.61,9.65,9.69,9.73,9.76,9.8,9.83,9.87
STOCKPORT,378938.71,378902.07,375468.37,371829.38,369436.11,367582.45,367018.01,366869.03,366953.55,366946.86,367208.81,367664.09,368296.16,369637.04,370964.38,372310.1,373511.54,374631.24,375852.78,377069.57,378048.01,379122.82,380173.83,381199.42,382199.15,383172.72,384120.61,385042.44
TAMESIDE,336573.45,336513.77,333203.64,329753.85,327343.93,325537.92,324892.39,324599.2,324654.96,324540.3,324749.27,325124.17,325608.88,326885.46,328132.33,329344.29,330404.56,331393.56,332490.7,333512.21,334337.1,335275.11,336192.32,337087.5,337960.27,338810.38,339638.13,340443.19
TRAFFORD,321986.99,322608.99,320336.4,317857.78,316339.26,315379.94,315413.04,315814.88,316368.44,316816.25,317524.24,318386.57,319346.88,320934.87,322501.02,324105.14,325572.59,326904.04,328318.82,329727.66,330995.89,332303.19,333587.5,334846.88,336080.86,337289.23,338472.71,339630.97
WARRINGTON,35010.81,34964.94,34594.91,34197.88,33913.9,33682.38,33566.12,33483.85,33423.47,33353.4,33313.71,33296.97,33284.9,33344.84,33404.18,33461.63,33515.24,33558.42,33605.82,33650.2,33679.37,33718.17,33755.22,33790.47,33823.88,33855.42,33885.11,33912.9
WEST LANCASHIRE,160530.72,160028.16,158081.47,156037.71,154533.44,153292.4,152496.06,151908.37,151442.84,150926.55,150524.46,150177.81,149943.74,150033.69,150097.33,150159.38,150196.65,150245.17,150362.17,150452.75,150479.33,150522.59,150558.57,150586.97,150607.68,150620.61,150625.8,150623.13
WIGAN,437706.23,437675.15,433448.65,428886.16,425671.53,423251.89,422204.98,421564.72,421218.11,420754.12,420649.81,420851.12,421163.88,422420.47,423749.45,425047.94,426199.93,427256.92,428427.29,429510.03,430327.79,431309.8,432266.42,433196.22,434098.79,434973.82,435821.61,436641.76
WYRE,152880.97,153250.2,152163.93,150937.89,150227.89,149763.4,149741.12,149873.64,150036.82,150149.93,150418.56,150739.68,151142.5,151790.13,152440.53,153060.95,153603.17,154134.12,154637.81,155116.81,155484.34,155941.33,156388.9,156826.5,157253.98,157671.21,158078.33,158475.21
