Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ROCHDALE,32.35,33.48,38.53,43.75,49.59,55.58,65.91,68.04,70.01,72.0,73.69,74.9,76.03,76.32,76.79,76.97,76.75,75.19,73.43,71.53,70.07,68.48,66.92,66.21,66.2,66.93,68.28,69.44
ROSSENDALE,85.26,85.68,87.32,89.02,90.93,92.9,96.29,97.01,97.64,98.25,98.74,99.1,99.45,99.48,99.64,99.7,99.64,99.2,98.68,98.14,97.76,97.34,96.95,96.83,96.89,97.18,97.64,98.04
SALFORD,25.79,27.07,30.64,34.42,38.92,43.58,53.22,55.69,58.0,60.33,62.32,63.75,65.08,65.4,65.95,66.14,65.99,65.22,64.2,63.03,62.15,60.77,59.09,58.16,58.02,58.78,60.19,61.44
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,61.2,62.87,66.55,70.44,75.5,80.69,95.08,98.51,101.84,104.99,107.91,109.42,110.71,111.05,111.24,110.75,109.65,108.44,106.73,104.63,102.31,98.76,94.08,90.22,88.3,88.28,89.47,90.64
SOUTH RIBBLE,13.08,14.07,16.92,19.86,23.39,27.03,35.06,36.91,38.67,40.41,41.94,42.9,43.76,43.97,44.22,44.18,43.79,42.62,41.32,39.86,38.63,37.11,35.39,34.33,34.05,34.55,35.65,36.61
ST HELENS,40.36,41.03,43.01,45.03,47.56,50.12,57.02,58.4,59.77,61.02,62.23,62.72,63.1,63.17,63.08,62.66,61.84,60.42,58.7,56.8,54.81,52.39,49.58,47.21,45.89,45.56,45.82,46.11
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,28.74,30.88,37.21,43.78,51.62,59.69,77.1,81.18,85.07,88.92,92.3,94.51,96.49,97.04,97.71,97.77,97.32,96.46,95.43,93.76,91.75,87.55,81.31,76.23,73.85,74.19,76.41,78.52
TAMESIDE,46.69,48.4,51.71,55.17,59.61,64.27,75.7,78.77,81.6,84.45,86.81,88.41,89.89,89.93,90.36,90.23,89.51,87.57,85.28,82.87,80.98,78.69,76.39,75.09,74.72,75.44,76.86,78.19
TRAFFORD,96.21,97.41,100.84,104.48,108.97,113.51,125.04,127.7,130.33,132.8,135.17,136.45,137.54,138.06,138.36,138.18,137.55,136.74,135.49,133.71,131.37,127.4,121.75,116.76,114.06,113.52,114.39,115.32
WARRINGTON,6.02,6.3,8.06,9.85,11.82,13.82,17.19,17.73,18.26,18.76,19.21,19.47,19.7,19.75,19.79,19.74,19.6,19.41,19.17,18.78,18.2,17.09,15.44,13.94,13.07,12.84,12.97,13.13
WEST LANCASHIRE,66.44,67.81,71.53,75.35,80.04,84.83,96.21,98.82,101.35,103.8,106.04,107.35,108.49,108.9,109.21,109.12,108.65,107.71,106.75,105.38,103.9,101.35,97.73,94.93,93.8,94.27,95.92,97.36
WIGAN,39.1,41.51,50.13,58.96,69.37,79.99,102.75,107.44,111.95,116.29,120.18,122.38,124.29,124.6,124.94,124.36,122.72,119.21,115.0,110.27,105.65,99.66,92.59,87.07,84.3,84.26,85.97,87.66
WYRE,52.98,54.64,58.57,62.6,67.87,73.22,88.82,92.22,95.58,98.66,101.62,102.93,103.98,104.23,104.15,103.32,101.61,98.75,95.28,91.36,87.22,82.0,75.72,70.5,67.73,67.25,68.2,69.21
