Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
RICHMONDSHIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCHDALE,587.45,731.65,874.87,1014.11,1149.34,1281.19,1410.11,1536.74,1612.89,1748.13,1897.48,2016.31,2144.89,2273.81,2402.85,2531.33,2658.97,2786.27,2903.43,3009.87,3104.34,3188.48,3263.4,3338.33,3413.24,3488.1,3562.88,3637.56
ROSSENDALE,234.92,301.43,370.14,439.25,508.46,577.65,646.74,715.92,761.86,836.12,917.89,985.38,1058.02,1130.94,1203.93,1277.17,1350.16,1423.15,1490.99,1553.11,1609.51,1659.74,1704.84,1749.58,1793.93,1837.88,1881.41,1924.48
SALFORD,1600.96,2051.79,2516.9,2985.66,3455.21,3925.24,4396.06,4868.04,5186.1,5699.86,6267.08,6729.45,7228.09,7733.0,8240.77,8748.48,9254.7,9761.36,10234.38,10668.38,11058.75,11414.01,11735.45,12055.91,12375.26,12693.38,13010.12,13325.33
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,121.63,145.63,167.54,187.0,204.32,219.73,233.51,245.84,249.38,261.43,274.68,282.76,291.54,299.71,307.32,314.37,320.95,327.01,331.52,334.55,336.03,336.23,335.39,334.49,333.55,332.57,331.54,330.46
SOUTH RIBBLE,158.82,191.66,222.23,250.03,275.38,298.5,319.82,339.47,347.33,367.34,389.32,404.33,420.58,436.25,451.2,465.58,479.46,492.78,504.05,513.06,519.88,524.78,528.08,531.34,534.55,537.71,540.82,543.88
ST HELENS,82.76,99.22,114.3,127.79,139.83,150.61,160.29,169.03,171.81,180.51,190.03,195.99,202.44,208.54,214.26,219.6,224.62,229.33,232.99,235.59,237.13,237.76,237.66,237.52,237.36,237.16,236.94,236.68
STAFFORDSHIRE MOORLANDS,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
STOCKPORT,2152.14,2705.95,3262.26,3808.9,4345.15,4869.74,5386.04,5894.56,6209.07,6751.35,7347.95,7797.07,8282.42,8765.05,9243.28,9718.22,10189.2,10656.9,11084.36,11469.53,11807.01,12100.83,12357.38,12611.75,12863.85,13113.56,13360.75,13605.3
TAMESIDE,1211.53,1569.49,1942.41,2321.34,2702.96,3086.4,3471.36,3857.14,4120.0,4536.54,4995.37,5376.17,5785.41,6198.03,6611.68,7025.91,7439.86,7853.86,8239.83,8594.58,8915.76,9203.6,9462.68,9719.48,9973.89,10225.8,10475.1,10721.67
TRAFFORD,1358.14,1751.05,2158.86,2571.59,2986.35,3402.51,3819.47,4237.44,4519.35,4970.38,5467.5,5881.56,6327.07,6775.71,7225.61,7677.43,8129.92,8582.24,9004.5,9394.39,9748.88,10066.71,10353.74,10638.95,10922.21,11203.4,11482.41,11759.1
WARRINGTON,2.52,3.02,3.48,3.89,4.25,4.58,4.87,5.14,5.23,5.49,5.78,5.97,6.17,6.36,6.54,6.7,6.86,7.01,7.12,7.2,7.25,7.27,7.27,7.27,7.27,7.26,7.26,7.26
WEST LANCASHIRE,644.75,822.81,1005.26,1187.6,1369.09,1549.2,1727.37,1904.59,2019.95,2209.8,2418.43,2588.46,2772.1,2956.16,3139.51,3322.45,3504.99,3687.71,3857.48,4012.32,4151.34,4274.24,4383.75,4492.21,4599.59,4705.84,4810.92,4914.79
WIGAN,651.58,825.22,1001.24,1175.58,1347.49,1517.12,1684.53,1849.87,1954.52,2131.0,2325.14,2482.35,2651.36,2820.46,2989.35,3157.52,3324.88,3491.45,3644.83,3783.94,3907.79,4017.0,4113.59,4209.19,4303.74,4397.21,4489.54,4580.7
WYRE,65.59,78.55,90.39,100.93,110.32,118.71,126.22,132.99,135.02,141.68,149.02,153.56,158.53,163.15,167.46,171.47,175.19,178.68,181.28,183.06,184.03,184.3,184.0,183.68,183.33,182.97,182.58,182.17
