Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ROCHDALE,1.26,1.26,1.26,1.26,1.3,1.35,1.36,1.37,1.39,1.39,1.38,1.38,1.37,1.38,1.4,1.42,1.44,1.46,1.48,1.51,1.53,1.55,1.58,1.6,1.62,1.64,1.66,1.68
ROSSENDALE,106.3,106.3,106.29,106.28,106.36,106.43,106.45,106.46,106.45,106.42,106.36,106.31,106.28,106.28,106.29,106.31,106.35,106.39,106.44,106.49,106.54,106.58,106.63,106.67,106.71,106.75,106.79,106.82
SALFORD,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,42.13,42.13,42.13,42.12,42.8,43.41,43.8,44.27,44.77,45.3,45.7,46.07,46.38,46.75,47.11,47.47,47.82,48.16,48.5,48.83,49.15,49.46,49.77,50.06,50.35,50.63,50.9,51.09
SOUTH RIBBLE,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
ST HELENS,1.07,1.07,1.07,1.07,1.09,1.11,1.12,1.13,1.15,1.16,1.17,1.17,1.18,1.19,1.2,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.28,1.29,1.3,1.31,1.32,1.33
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
TAMESIDE,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03
TRAFFORD,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WARRINGTON,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEST LANCASHIRE,2.44,2.44,2.44,2.44,2.72,2.96,3.13,3.32,3.53,3.76,3.93,4.1,4.23,4.39,4.54,4.69,4.83,4.97,5.11,5.25,5.38,5.5,5.63,5.75,5.86,5.98,6.09,6.17
WIGAN,0.56,0.56,0.56,0.55,0.62,0.69,0.72,0.76,0.8,0.85,0.88,0.92,0.95,0.98,1.02,1.05,1.09,1.13,1.16,1.19,1.23,1.26,1.29,1.32,1.35,1.38,1.4,1.42
WYRE,7.17,7.17,7.17,7.17,7.35,7.51,7.61,7.71,7.82,7.93,8.01,8.08,8.14,8.23,8.32,8.41,8.51,8.6,8.7,8.79,8.88,8.97,9.05,9.14,9.22,9.29,9.37,9.43
