Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
RIBBLE VALLEY,130.72,225.32,304.39,377.84,448.84,518.62,587.95,657.13,716.36,780.01,840.64,905.57,966.18,1020.64,1069.3,1112.26,1149.51,1181.43,1211.99,1241.21,1268.57,1294.34,1318.26,1341.17,1362.91,1383.29,1402.12,1419.22
RICHMONDSHIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCHDALE,587.45,1128.19,1644.17,2160.98,2686.17,3223.1,3773.06,4337.31,4849.61,5402.87,5947.76,6534.88,7102.34,7638.31,8141.52,8608.79,9038.65,9432.63,9824.5,10212.85,10590.51,10967.93,11339.37,11712.61,12086.85,12461.26,12834.94,13206.95
ROSSENDALE,234.92,546.93,881.13,1230.3,1591.47,1962.96,2343.6,2733.41,3087.88,3465.68,3835.16,4228.29,4605.2,4956.5,5281.1,5579.67,5849.91,6093.0,6330.25,6560.15,6781.68,6995.43,7200.24,7400.85,7596.5,7786.38,7969.62,8145.28
SALFORD,1600.96,3609.39,5732.8,7947.59,10239.26,12601.55,15031.57,17527.34,19817.64,22264.13,24672.31,27251.37,29741.73,32095.89,34298.07,36334.79,38198.66,39896.6,41572.6,43212.22,44790.26,46357.76,47884.97,49404.24,50911.76,52403.39,53874.66,55320.79
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,121.63,177.36,207.75,227.74,242.38,253.82,263.17,271.06,274.06,278.29,281.14,285.1,287.37,287.81,286.75,284.41,281.05,276.75,272.63,268.64,264.58,260.63,256.7,252.93,249.29,245.74,242.24,238.77
SOUTH RIBBLE,158.82,246.27,305.87,354.67,398.36,439.21,478.7,517.28,548.08,582.46,614.81,650.76,683.74,713.14,738.9,761.44,781.02,797.61,814.52,831.14,847.12,863.2,878.95,894.95,911.11,927.35,943.59,959.73
ST HELENS,82.76,120.86,141.77,155.7,166.0,174.14,180.89,186.67,189.2,192.54,194.89,198.11,200.16,200.99,200.78,199.67,197.84,195.38,193.07,190.84,188.56,186.37,184.2,182.16,180.22,178.36,176.55,174.78
STAFFORDSHIRE MOORLANDS,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
STOCKPORT,2152.14,4296.51,6391.9,8500.47,10639.06,12809.37,15018.71,17266.46,19286.24,21413.68,23484.83,25702.27,27822.12,29789.86,31600.32,33256.92,34757.65,36105.0,37428.63,38724.38,39965.83,41176.07,42342.96,43494.79,44627.57,45737.08,46818.81,47867.97
TAMESIDE,1211.53,3000.29,4957.85,7017.29,9149.16,11340.9,13586.24,15879.09,17971.37,20195.2,22371.26,24688.6,26910.61,28990.27,30915.79,32684.92,34293.85,35744.91,37165.62,38548.26,39876.88,41168.61,42412.4,43636.81,44838.15,46012.44,47155.38,48262.33
TRAFFORD,1358.14,3254.59,5308.26,7463.29,9694.93,11992.43,14348.75,16760.9,18961.54,21310.08,23612.26,26069.05,28430.31,30641.76,32694.0,34589.22,36321.69,37887.95,39425.86,40932.8,42390.02,43808.41,45180.49,46536.74,47873.35,49186.2,50470.85,51722.52
WARRINGTON,2.52,3.67,4.31,4.73,5.05,5.29,5.5,5.68,5.76,5.86,5.94,6.05,6.11,6.14,6.14,6.12,6.07,6.0,5.93,5.87,5.81,5.75,5.69,5.63,5.58,5.53,5.48,5.44
WEST LANCASHIRE,644.75,1478.14,2360.59,3276.55,4219.3,5184.21,6167.06,7169.58,8079.08,9048.07,9993.23,10998.47,11964.29,12865.53,13697.1,14460.55,15156.15,15786.96,16409.22,17016.95,17603.45,18174.08,18726.27,19272.87,19812.49,20343.67,20864.81,21374.21
WIGAN,651.58,1418.12,2208.86,3021.56,3853.17,4702.37,5567.66,6447.86,7242.48,8089.8,8915.29,9796.2,10637.11,11419.26,12141.3,12801.23,13398.84,13934.39,14457.42,14965.4,15451.37,15922.88,16375.11,16818.99,17252.97,17675.37,18084.42,18478.2
WYRE,65.59,95.66,112.1,122.95,130.93,137.2,142.37,146.8,148.6,151.1,152.87,155.27,156.79,157.3,156.99,155.99,154.4,152.33,150.33,148.41,146.47,144.6,142.75,141.01,139.36,137.76,136.21,134.7
