Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
RICHMONDSHIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCHDALE,127.7,226.79,316.37,399.56,478.16,554.87,630.2,704.32,789.21,882.13,975.14,1076.77,1176.75,1272.85,1365.09,1453.37,1537.42,1617.0,1697.39,1778.76,1860.73,1943.55,2026.8,2112.04,2199.2,2288.23,2379.06,2471.63
ROSSENDALE,50.9,114.14,181.54,249.59,316.91,384.09,450.88,517.14,592.13,673.73,755.9,845.17,933.51,1019.08,1101.67,1181.13,1257.08,1329.33,1402.21,1475.82,1549.89,1624.46,1699.38,1775.89,1853.94,1933.51,2014.55,2097.01
SALFORD,541.02,1144.32,1774.86,2408.61,3037.66,3670.21,4305.67,4943.22,5660.22,6437.63,7223.46,8080.94,8933.74,9762.17,10562.94,11333.34,12072.27,12777.12,13488.34,14206.21,14928.27,15664.5,16402.45,17157.47,17929.23,18717.33,19521.37,20340.88
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,81.01,116.75,137.0,149.24,156.95,162.36,166.27,169.11,173.84,179.4,184.12,189.65,194.15,197.43,199.72,201.15,201.83,201.82,201.87,202.0,202.14,202.28,202.43,202.72,203.12,203.63,204.22,204.88
SOUTH RIBBLE,41.98,67.68,87.9,104.99,120.11,134.32,147.9,160.99,175.98,192.48,208.71,226.53,243.74,259.98,275.29,289.66,303.09,315.58,328.2,340.96,353.79,366.7,379.66,392.94,406.53,420.41,434.56,448.97
ST HELENS,18.83,27.14,31.86,34.71,36.51,37.76,38.67,39.34,40.47,41.8,42.93,44.25,45.35,46.16,46.74,47.13,47.34,47.4,47.47,47.56,47.65,47.74,47.84,47.96,48.12,48.3,48.49,48.71
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
STOCKPORT,1151.41,2008.02,2758.81,3439.05,4067.6,4668.77,5247.93,5805.95,6478.44,7202.59,7923.48,8711.25,9481.53,10218.59,10922.01,11591.82,12225.98,12823.77,13427.46,14038.51,14654.01,15269.92,15889.77,16523.52,17170.66,17830.68,18503.05,19187.21
TAMESIDE,275.34,668.56,1097.76,1532.79,1961.79,2386.4,2804.27,3213.61,3689.57,4205.72,4725.25,5288.99,5847.07,6387.24,6908.13,7408.3,7886.13,8340.22,8797.52,9258.98,9722.6,10188.67,10656.37,11133.44,11619.64,12114.75,12618.47,13130.5
TRAFFORD,375.68,824.38,1300.31,1780.21,2255.38,2731.16,3206.04,3678.31,4209.12,4788.18,5371.41,6006.68,6635.4,7245.36,7836.21,8405.77,8951.42,9471.53,9997.19,10529.85,11067.01,11605.19,12147.67,12701.91,13267.65,13844.6,14432.43,15030.79
WARRINGTON,0.58,0.83,0.97,1.06,1.11,1.15,1.17,1.19,1.23,1.26,1.3,1.33,1.36,1.39,1.4,1.41,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.43,1.43,1.43,1.44,1.44
WEST LANCASHIRE,331.31,763.74,1230.12,1701.91,2168.7,2632.96,3092.77,3546.63,4060.67,4616.3,5171.87,5772.59,6365.6,6935.96,7480.98,7999.2,8492.25,8959.84,9431.05,9906.2,10383.7,10855.03,11329.36,11811.67,12301.66,12799.0,13303.35,13814.32
WIGAN,152.66,316.51,484.24,650.08,812.12,972.62,1131.34,1287.96,1466.0,1659.8,1854.46,2066.06,2275.0,2476.63,2670.63,2856.69,3034.09,3202.33,3371.81,3542.86,3714.76,3887.29,4060.45,4237.06,4417.03,4600.25,4786.59,4975.93
WYRE,19.09,27.38,31.94,34.62,36.23,37.3,38.01,38.47,39.52,40.77,41.83,43.08,44.1,44.85,45.37,45.69,45.84,45.83,45.84,45.86,45.88,45.92,45.95,46.02,46.12,46.24,46.38,46.54
