Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ROCHDALE,32.35,34.15,41.19,48.33,56.16,64.01,71.35,73.57,75.63,77.5,79.12,80.8,82.29,82.68,83.1,83.04,82.49,81.17,79.81,78.24,76.97,74.84,73.89,73.92,74.51,75.76,77.36,78.26
ROSSENDALE,85.26,85.96,87.99,90.05,92.35,94.64,96.74,97.49,98.16,98.72,99.18,99.69,100.16,100.19,100.3,100.26,100.08,99.66,99.25,98.79,98.44,97.76,97.6,97.76,98.02,98.45,98.94,99.22
SALFORD,25.79,27.85,32.87,38.02,43.95,49.88,55.24,57.76,60.1,62.36,64.25,66.24,68.09,68.71,69.56,70.04,70.19,69.75,69.36,68.69,68.11,65.97,65.02,64.94,65.45,66.73,68.34,69.33
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,61.2,63.59,70.01,76.56,84.67,92.77,99.58,102.38,105.11,107.54,109.88,112.16,114.27,115.34,116.43,117.05,117.19,116.59,115.75,114.34,112.27,107.18,103.17,100.25,99.09,99.72,101.32,102.3
SOUTH RIBBLE,13.08,14.6,18.8,23.05,28.01,32.96,37.4,39.23,40.98,42.58,44.02,45.47,46.79,47.33,47.89,48.1,47.94,47.19,46.39,45.35,44.38,42.38,41.22,40.83,41.12,42.12,43.52,44.35
ST HELENS,40.36,41.27,43.85,46.46,49.75,53.02,55.72,56.78,57.81,58.62,59.42,60.11,60.65,60.8,60.73,60.26,59.32,57.84,56.03,53.9,51.38,46.62,44.83,44.02,43.79,44.07,44.66,44.9
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,28.74,32.07,40.1,48.3,57.97,67.66,76.27,80.4,84.3,88.16,91.51,95.02,98.35,100.14,102.27,104.05,105.49,106.03,106.65,106.37,105.15,99.57,94.04,89.86,88.35,89.66,92.49,94.4
TAMESIDE,46.69,49.45,54.62,59.86,66.15,72.4,77.83,80.91,83.71,86.3,88.41,90.59,92.5,92.69,93.1,92.79,91.77,89.88,87.81,85.51,83.49,79.83,78.13,77.64,77.79,78.87,80.23,80.93
TRAFFORD,96.21,97.89,101.93,106.1,111.38,116.66,121.1,123.35,125.55,127.64,129.59,131.5,133.29,134.39,135.43,136.18,136.6,136.37,135.95,134.81,132.61,126.88,121.7,117.51,115.54,115.69,117.09,117.99
WARRINGTON,6.02,6.45,8.41,10.4,12.62,14.83,16.86,17.36,17.84,18.24,18.62,18.99,19.34,19.49,19.65,19.72,19.71,19.52,19.24,18.72,17.7,14.39,13.88,14.02,14.25,14.59,15.0,15.26
WEST LANCASHIRE,66.44,68.48,73.2,78.0,83.9,89.8,94.9,97.43,99.9,102.22,104.4,106.61,108.71,110.08,111.46,112.6,113.45,113.59,113.73,113.27,112.2,107.66,105.87,105.41,106.1,107.93,110.47,112.15
WIGAN,39.1,42.73,55.35,68.1,82.75,97.36,110.49,114.78,118.82,122.37,125.53,128.6,131.26,131.93,132.47,131.88,130.08,126.72,122.76,117.97,112.49,101.41,96.67,94.54,94.15,95.6,97.96,99.19
WYRE,52.98,55.28,61.01,66.82,74.25,81.64,87.71,90.43,93.08,95.31,97.48,99.46,101.16,101.91,102.28,101.86,100.52,98.01,94.95,91.19,86.71,78.69,73.39,69.73,68.19,68.63,70.19,70.97
