Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,4598.22,5106.52,5704.2,6306.95,7118.44,7934.31,8666.88,9331.25,9948.16,10611.84,11164.69,11755.38,12347.55,12734.18,13265.51,13822.35,14435.96,15026.62,15742.41,16450.26,17265.01,18011.63,18742.2,19529.81,20214.84,20869.47,21493.72,21945.62
PRESTON,13228.9,14346.88,16472.42,18613.23,21349.91,24097.91,26601.49,28158.84,29638.83,31216.77,32594.62,34014.34,35443.02,36516.75,37856.57,39280.65,40838.67,42333.77,44116.52,45866.79,47841.85,49690.82,51497.62,53430.05,55164.08,56828.03,58440.46,59609.59
RIBBLE VALLEY,14878.47,15548.18,16314.4,17091.24,18097.76,19117.41,20063.64,20953.73,21788.66,22695.44,23461.86,24300.22,25146.55,25748.46,26538.77,27398.88,28364.46,29281.3,30417.4,31526.8,32802.58,33995.1,35155.93,36416.88,37540.15,38610.85,39655.67,40410.19
RICHMONDSHIRE,0.0,0.69,1.45,2.23,3.19,4.16,5.08,5.95,6.77,7.66,8.4,9.23,10.06,10.64,11.41,12.26,13.22,14.13,15.26,16.37,17.64,18.84,20.0,21.26,22.38,23.45,24.49,25.24
ROCHDALE,14114.65,15561.21,18147.47,20753.54,23966.88,27197.84,30195.53,32126.13,33923.77,35857.1,37472.74,39198.16,40927.86,42075.56,43635.13,45279.08,47089.95,48827.52,50945.04,53035.06,55444.98,57656.14,59821.78,62155.94,64192.66,66144.67,68004.7,69352.59
ROSSENDALE,5101.99,5653.79,6283.07,6915.39,7732.37,8552.36,9298.44,9982.38,10603.28,11274.35,11807.15,12391.4,12973.71,13291.01,13784.03,14289.51,14844.78,15382.52,16045.35,16709.0,17494.24,18191.48,18880.97,19623.59,20246.16,20847.56,21396.27,21796.01
SALFORD,7829.6,9323.83,11306.37,13303.13,15766.64,18246.13,20556.86,22435.52,24145.78,26000.52,27476.83,29112.23,30745.23,31665.47,33067.53,34528.71,36145.97,37700.93,39641.09,41572.14,43858.42,45904.48,47922.94,50105.54,51953.47,53736.12,55381.47,56578.29
SEFTON,0.0,0.04,0.08,0.12,0.18,0.23,0.29,0.34,0.39,0.45,0.5,0.55,0.61,0.65,0.71,0.77,0.84,0.91,0.99,1.07,1.17,1.25,1.34,1.43,1.52,1.6,1.68,1.74
SOUTH LAKELAND,16058.2,17456.46,20697.78,23952.53,27911.44,31877.33,35542.2,37421.65,39182.24,41059.56,42656.17,44310.64,45967.85,47101.68,48601.0,50158.11,51851.6,53489.49,55433.14,57358.67,59548.89,61562.36,63535.42,65644.8,67491.98,69262.98,70949.95,72173.6
SOUTH RIBBLE,9073.47,10092.86,11768.45,13457.66,15507.57,17573.06,19512.63,20848.59,22091.43,23437.71,24558.75,25781.01,27010.25,27833.73,28953.75,30153.07,31490.53,32767.02,34342.94,35891.24,37681.34,39334.45,40949.13,42698.95,44235.84,45704.42,47117.33,48139.34
ST HELENS,4854.14,5215.44,5893.9,6574.98,7429.63,8285.88,9068.09,9546.74,9995.2,10474.29,10882.07,11306.65,11732.6,12026.11,12413.08,12817.66,13259.14,13685.5,14193.66,14696.48,15269.58,15797.64,16315.77,16869.31,17356.59,17825.26,18271.14,18595.07
STAFFORDSHIRE MOORLANDS,0.0,0.05,0.1,0.16,0.21,0.27,0.33,0.39,0.45,0.51,0.56,0.62,0.68,0.72,0.78,0.85,0.92,0.99,1.09,1.18,1.28,1.38,1.48,1.59,1.68,1.77,1.86,1.93
STOCKPORT,21458.24,23837.7,26627.61,29455.24,33232.27,37047.45,40520.78,43719.51,46711.19,49939.11,52655.89,55579.08,58517.8,60541.56,63236.44,66117.42,69314.88,72367.7,76113.17,79790.94,84022.4,87940.0,91765.39,95902.45,99548.99,103034.63,106395.7,108827.08
TAMESIDE,12884.64,14814.42,17207.1,19597.01,22505.8,25413.4,28100.23,30340.49,32322.79,34473.84,36089.4,37908.28,39708.56,40450.34,41861.14,43252.73,44770.65,46260.36,48123.19,50025.24,52351.33,54329.93,56314.53,58445.73,60138.08,61796.21,63208.87,64248.29
TRAFFORD,11077.32,12059.96,13307.4,14580.81,16442.18,18324.71,19983.23,21462.02,22893.11,24418.35,25790.73,27196.13,28616.18,29791.84,31178.74,32681.56,34338.44,35915.52,37799.34,39629.37,41665.51,43611.84,45495.45,47524.48,49379.84,51140.6,52900.7,54168.85
WARRINGTON,1671.82,1919.67,2196.23,2475.01,2825.13,3178.5,3508.03,3818.96,4104.63,4415.75,4668.3,4949.55,5232.07,5407.07,5658.54,5927.02,6227.6,6514.74,6873.55,7227.46,7642.15,8020.81,8392.22,8795.03,9144.58,9480.1,9797.84,10028.27
WEST LANCASHIRE,10594.77,11991.94,13743.93,15522.45,17965.13,20436.84,22671.3,24654.13,26564.81,28620.33,30454.38,32382.31,34338.04,35941.7,37858.39,39967.48,42320.68,44552.24,47260.61,49886.74,52836.97,55659.34,58396.3,61351.15,64062.47,66645.74,69217.89,71074.69
WIGAN,22442.5,24737.42,29417.45,34117.99,39768.85,45434.18,50708.97,53682.49,56420.2,59359.19,61764.95,64332.47,66895.18,68447.1,70679.28,72978.51,75488.21,77916.56,80860.27,83794.33,87208.33,90282.18,93310.58,96561.37,99335.15,102006.76,104488.75,106293.54
WYRE,20708.01,21788.91,23942.66,26109.93,28828.68,31558.19,34062.72,35551.3,36964.2,38473.62,39788.69,41151.53,42524.01,43551.75,44839.82,46211.7,47717.76,49162.32,50888.45,52582.11,54494.23,56286.06,58035.02,59909.14,61590.87,63201.44,64766.49,65900.18
