Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,1453.9,2497.05,3411.16,4651.33,7006.69,9366.78,11015.91,12212.13,13243.76,14178.46,15088.89,19125.99,32687.86,46053.45,59298.2,72079.44,84236.1,95675.38,106498.24,116313.99,125538.16,134812.61,144117.69,153406.05,162362.7,170910.26,178494.78,175616.06
PRESTON,4034.52,6419.9,8653.11,11546.67,16548.53,21489.5,25240.37,27864.57,29919.1,31677.67,33300.44,39583.88,60304.27,80699.35,101021.08,120496.43,138825.33,155977.52,172068.8,186322.74,199801.06,213340.43,227364.22,241879.9,256181.52,270096.44,282433.88,278921.81
RIBBLE VALLEY,1455.46,2748.14,4258.11,6038.72,8856.28,11672.59,13907.37,15788.12,17444.77,18950.24,20367.71,23788.93,33387.99,42988.31,52592.22,61799.15,70410.8,78209.47,85572.71,92110.41,98255.95,104524.68,110897.86,117427.01,123863.05,130114.39,135687.82,134396.7
RICHMONDSHIRE,1.65,2.76,3.53,4.54,6.97,9.45,11.19,12.47,13.41,14.13,14.77,17.87,28.6,39.17,49.68,59.74,69.39,78.59,87.27,94.78,101.75,108.81,116.03,123.58,131.08,138.38,144.81,142.76
ROCHDALE,4950.29,8176.12,11678.22,16430.98,24511.18,32754.3,39437.01,44578.62,48922.4,52958.69,56893.08,67954.72,100897.24,133622.77,166458.86,198134.88,227904.65,255263.8,281084.3,304132.78,325893.54,347852.42,370460.59,393655.18,416434.65,438571.91,458473.0,454267.75
ROSSENDALE,1597.8,2709.68,3801.37,5261.18,7834.52,10419.42,12374.04,13920.48,15281.54,16556.57,17798.88,21803.42,34191.6,46417.05,58560.2,70264.65,81270.46,91423.09,100996.6,109602.87,117736.33,125869.99,134059.78,142287.62,150253.09,157891.27,164637.83,162402.71
SALFORD,9134.11,13404.44,18202.02,24243.84,33805.41,43328.72,50978.77,56558.65,60929.3,64786.88,68420.35,79146.37,111730.27,143763.37,175509.56,205663.35,233497.42,258621.29,281862.45,301977.76,320670.73,339299.39,358580.73,378544.69,398092.9,416954.37,433306.58,427299.78
SEFTON,0.07,0.13,0.17,0.23,0.33,0.44,0.51,0.56,0.6,0.63,0.66,0.78,1.17,1.55,1.94,2.31,2.66,2.99,3.3,3.57,3.82,4.09,4.36,4.64,4.92,5.2,5.45,5.38
SOUTH LAKELAND,4329.29,7144.9,9388.93,12198.22,17655.65,23152.21,27202.55,30309.93,32827.57,34945.5,36921.02,43851.11,65944.45,87827.07,109738.89,130750.66,150807.84,169616.61,187368.77,203059.22,217865.71,232763.03,248083.89,264129.79,280137.44,295831.79,309597.8,306342.13
SOUTH RIBBLE,2288.05,3899.87,5585.19,7683.31,11170.13,14562.47,17162.89,19164.76,20875.0,22443.38,23928.33,29035.06,45105.56,61086.57,77030.48,92476.58,107176.63,120883.55,133989.34,145889.8,157294.77,168832.03,180576.65,192551.72,204362.64,215916.15,226423.69,224391.85
ST HELENS,1055.37,1809.35,2647.7,3744.23,5613.91,7462.79,8896.59,9962.35,10859.36,11689.15,12473.98,14990.83,22756.76,30480.04,38235.95,45748.06,52895.66,59537.36,65857.72,71505.98,76873.74,82340.23,87970.55,93733.0,99405.61,104940.72,109996.73,109055.77
STAFFORDSHIRE MOORLANDS,0.19,0.32,0.46,0.64,0.95,1.26,1.51,1.7,1.85,1.98,2.11,2.5,3.68,4.86,6.03,7.17,8.23,9.22,10.15,10.98,11.75,12.54,13.35,14.19,15.02,15.82,16.55,16.38
STOCKPORT,7210.23,11110.12,14921.31,19930.16,28350.14,36701.83,43267.26,48015.94,51675.36,54873.98,57906.93,69756.8,108670.3,146839.49,184526.04,220597.07,254320.67,285586.97,314987.45,341360.02,366118.11,390745.83,415782.56,441270.98,466170.79,490218.19,511644.59,504572.01
TAMESIDE,5236.28,8371.79,11514.85,15860.03,23605.22,31351.33,37332.54,41465.98,44684.04,47498.31,50218.21,60187.67,92376.89,123900.53,155047.65,184763.33,212445.49,237860.18,261528.88,282099.18,301115.55,320149.55,339640.41,359466.38,378646.68,396943.41,413015.92,406364.58
TRAFFORD,7109.1,11161.03,14772.52,19449.18,27111.84,34751.88,40755.25,45145.64,48604.52,51638.75,54540.74,64559.37,96183.72,127115.43,157734.16,186902.55,214006.55,238806.31,261828.52,282335.31,301726.62,320624.72,339955.49,359914.3,379447.87,398317.74,414415.34,408522.27
WARRINGTON,641.56,1040.4,1329.62,1739.62,2584.36,3413.68,3995.63,4419.89,4785.36,5115.52,5435.37,6531.81,9974.47,13384.91,16826.44,20161.27,23364.29,26374.03,29211.87,31716.45,34126.55,36590.1,39156.85,41842.38,44523.72,47171.75,49529.99,49201.51
WEST LANCASHIRE,2833.05,4719.04,6470.49,8643.61,12426.89,16126.16,18838.78,20800.69,22355.98,23663.59,24846.26,28864.65,41663.17,54155.68,66474.53,78104.93,88908.88,98742.88,107844.0,115579.53,122737.95,129860.3,137178.02,144729.44,152095.47,159157.93,165193.9,162377.72
WIGAN,7147.66,11801.03,16783.68,23351.53,34741.01,46028.65,54681.82,60920.03,65972.9,70546.08,74906.98,89973.83,137738.76,184961.26,232179.29,277749.16,320868.36,360902.1,398725.06,432268.45,463894.21,495979.85,529001.14,562757.59,595845.7,627973.38,657013.14,649797.76
WYRE,3101.99,5265.07,7573.23,10374.21,14772.52,19153.57,22647.32,25516.93,28018.87,30309.67,32535.65,38298.46,54993.02,71664.25,88377.38,104451.23,119501.58,133322.53,146410.94,158244.88,169538.9,181023.05,192786.83,204921.08,216977.4,228831.5,239539.31,237903.65
