County,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
CUMBERLAND,1401725.01,1442214.16,1476622.99,1545102.63,1618400.29,1661769.16,1713721.53,1773993.11,1822538.71,1873638.86,1927156.67,1983274.14,2045043.37,2105447.52,2169005.2,2227598.36,2284405.68,2341322.63,2400244.07,2469935.0,2512023.01,2580068.19,2627516.21,2655176.95,2710948.53,2755449.58,2773062.02,2787152.21
GREATER MANCHESTER,11209254.16,11579582.77,11880481.39,12350620.2,12814082.9,13151583.43,13523766.04,13964751.98,14325143.15,14706016.85,15086190.78,15474489.46,15883152.1,16296900.66,16698219.02,17091736.49,17471871.78,17874942.74,18234723.5,18626564.3,18923552.18,19196334.97,19478439.26,19673564.78,19972656.26,20122084.66,20272477.89,20413707.13
LANCASHIRE,5988478.79,6181732.59,6328272.32,6456669.93,6670466.81,6850246.24,7058264.04,7293496.82,7493665.23,7696394.48,7905755.9,8122265.76,8358625.01,8586288.06,8816143.11,9065362.0,9277822.64,9500522.98,9694569.64,9878833.62,10065492.03,10245738.08,10419407.28,10528569.58,10635025.56,10759332.49,10826155.13,10896727.03
OTHER,1329091.68,1369414.24,1401649.96,1438161.22,1478986.24,1522203.81,1569553.52,1627431.89,1672830.48,1720676.05,1768823.43,1817751.45,1868333.37,1921348.25,1997546.31,2047063.88,2093983.83,2143748.3,2189050.69,2247917.87,2284874.84,2320603.22,2350990.03,2382091.66,2403721.88,2422734.11,2441027.66,2457847.29
WESTMORLAND AND FURNESS,1253271.55,1289472.58,1320237.25,1381464.37,1446999.25,1485775.02,1532225.23,1586113.59,1629517.84,1675206.09,1723055.95,1773230.15,1828457.54,1882464.43,1939290.86,1991678.56,2042469.55,2093358.55,2146039.75,2208349.88,2245980.45,2306819.12,2349242.03,2373973.28,2423838.22,2463626.27,2479373.42,2491971.34
