County,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
CUMBERLAND,180.53,180.53,180.52,180.49,185.33,189.61,192.94,196.37,200.04,203.92,206.82,209.47,211.71,214.4,217.06,219.71,222.33,224.89,227.4,229.87,232.27,234.6,236.86,239.07,241.21,243.28,245.3,246.78
GREATER MANCHESTER,2.42,2.42,2.42,2.4,2.61,2.82,2.83,2.91,2.97,3.01,3.02,3.03,3.05,3.11,3.18,3.26,3.35,3.45,3.54,3.64,3.74,3.84,3.93,4.02,4.11,4.19,4.28,4.34
LANCASHIRE,207.41,207.41,207.4,207.36,209.04,210.55,211.46,212.49,213.53,214.58,215.3,215.97,216.55,217.36,218.18,219.03,219.9,220.77,221.63,222.48,223.31,224.12,224.9,225.66,226.41,227.12,227.82,228.33
OTHER,1.43,1.43,1.43,1.42,1.57,1.74,1.57,1.59,1.6,1.6,1.6,1.6,1.61,1.63,1.65,1.68,1.72,1.75,1.79,1.82,1.86,1.89,1.93,1.96,1.99,2.02,2.05,2.07
WESTMORLAND AND FURNESS,50.32,50.32,50.32,50.3,51.39,52.39,52.89,53.58,54.31,55.08,55.64,56.15,56.59,57.13,57.68,58.22,58.77,59.3,59.83,60.35,60.86,61.35,61.83,62.29,62.74,63.18,63.6,63.91
