County,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
CUMBERLAND,9132.49,13714.78,17116.03,20988.14,25058.98,26317.7,28216.03,32293.3,36496.9,40498.46,44275.94,48062.43,51669.29,55665.87,59837.04,63681.31,67449.35,73542.37,79316.95,84985.68,92283.69,99288.03,104589.27,110030.64,115451.6,120862.6,126200.43,130613.14
GREATER MANCHESTER,76556.72,105030.33,125829.75,148576.81,172442.8,179837.57,193003.18,226867.26,262673.39,298495.17,333535.37,369849.48,406856.48,448502.21,491984.79,533722.82,577598.65,631854.21,685948.01,741317.94,799993.73,856512.16,890622.25,925550.61,960382.3,995180.8,1029570.18,1058584.57
LANCASHIRE,38687.3,56232.88,68825.52,82796.97,97555.44,102458.64,110950.6,131962.68,154038.3,175905.53,197106.29,218793.73,240741.34,265128.69,290653.19,315018.96,339888.0,371374.64,402351.24,433838.2,468404.73,501808.78,522233.27,543207.49,564133.01,585050.9,605720.4,622918.61
OTHER,7828.72,11339.58,14008.84,16994.38,20158.8,21132.17,22982.15,27880.07,32996.7,38081.19,43016.58,48098.88,53265.74,59054.05,65092.59,70905.64,76868.08,84490.5,92089.77,99792.8,108344.03,116693.09,121760.66,126928.94,132082.36,137228.97,142321.56,146731.44
WESTMORLAND AND FURNESS,8649.03,13290.77,16940.14,21154.99,25629.29,26916.97,28644.37,32013.43,35589.5,39071.54,42402.31,45794.59,49055.99,52644.06,56469.38,60057.13,63539.61,69787.72,75669.84,81457.95,89340.25,96962.81,103139.7,109452.07,115742.27,122020.62,128224.7,133512.77
