County,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
CUMBERLAND,898.0,1264.0,1725.0,2281.0,2882.0,2880.0,3082.0,3973.0,4815.0,5605.0,6344.0,7066.0,7804.0,8624.0,9425.0,10167.0,10912.0,12218.0,13510.0,14766.0,16341.0,17934.0,18951.0,19967.0,20982.0,21996.0,23010.0,24023.0
GREATER MANCHESTER,13357.0,17100.0,21270.0,25925.0,30913.0,31095.0,33109.0,41879.0,50782.0,59739.0,68550.0,77653.0,87400.0,98431.0,109545.0,120378.0,131760.0,145903.0,160427.0,175276.0,191037.0,206639.0,214813.0,222974.0,231121.0,239254.0,247372.0,255473.0
LANCASHIRE,4933.0,6804.0,8949.0,11411.0,14088.0,14191.0,15403.0,20555.0,25729.0,30880.0,35902.0,41010.0,46477.0,52572.0,58743.0,64727.0,70854.0,78755.0,86782.0,94926.0,103792.0,112698.0,117358.0,122015.0,126669.0,131321.0,135969.0,140614.0
OTHER,1082.0,1498.0,1977.0,2527.0,3125.0,3153.0,3449.0,4697.0,5961.0,7224.0,8456.0,9723.0,11070.0,12587.0,14128.0,15633.0,17181.0,19149.0,21170.0,23220.0,25473.0,27738.0,28943.0,30147.0,31351.0,32554.0,33756.0,34958.0
WESTMORLAND AND FURNESS,818.0,1213.0,1727.0,2352.0,3034.0,3049.0,3208.0,3897.0,4566.0,5212.0,5827.0,6438.0,7079.0,7781.0,8483.0,9151.0,9821.0,11146.0,12445.0,13717.0,15407.0,17119.0,18335.0,19551.0,20766.0,21981.0,23196.0,24410.0
