County,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
CUMBERLAND,66.32,72.48,85.24,98.01,110.59,122.4,133.68,142.04,150.45,159.6,168.42,177.85,187.67,196.2,205.47,215.06,225.23,235.07,246.08,256.92,268.63,279.7,290.28,300.97,310.57,319.96,328.8,334.55
GREATER MANCHESTER,179.4,208.62,258.21,307.64,356.54,402.38,446.01,484.25,521.84,562.74,600.62,641.73,684.25,718.01,756.84,796.48,838.51,879.32,925.44,971.21,1021.5,1068.05,1112.77,1158.1,1197.68,1236.45,1272.08,1295.27
LANCASHIRE,199.84,221.9,264.94,308.02,349.73,388.74,426.23,455.67,485.15,517.26,547.92,580.99,615.4,644.61,676.84,710.08,745.38,779.53,817.93,855.81,896.94,935.59,972.56,1009.98,1043.3,1075.9,1106.4,1126.21
OTHER,23.28,27.06,33.13,39.21,45.24,50.86,56.18,61.11,65.97,71.25,76.16,81.46,86.96,91.35,96.37,101.51,106.96,112.24,118.21,124.12,130.62,136.64,142.42,148.28,153.41,158.44,163.06,166.08
WESTMORLAND AND FURNESS,55.11,61.17,77.97,94.82,111.39,127.17,142.43,150.67,159.0,168.04,176.84,186.22,196.0,204.62,213.92,223.55,233.76,243.64,254.67,265.52,277.2,288.27,298.84,309.53,319.16,328.56,337.46,343.25
