County,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
CUMBERLAND,9488.0,13836.0,20559.0,29291.0,39819.0,51564.0,64141.0,79109.0,93541.0,107581.0,121078.0,133911.0,145790.0,157039.0,167362.0,176793.0,185153.0,192527.0,198482.0,203391.0,207336.0,210489.0,213012.0,214883.0,216633.0,218136.0,219419.0,220531.0
GREATER MANCHESTER,88692.0,128538.0,188495.0,263092.0,348672.0,441546.0,540170.0,657887.0,770642.0,879950.0,984731.0,1084062.0,1173303.0,1257449.0,1334134.0,1403248.0,1463685.0,1516431.0,1558223.0,1591300.0,1617235.0,1637151.0,1652075.0,1661772.0,1670073.0,1677523.0,1684458.0,1690965.0
LANCASHIRE,50024.0,72626.0,107043.0,150707.0,201970.0,258292.0,318316.0,389853.0,458572.0,525303.0,589355.0,650159.0,705517.0,757818.0,805739.0,849353.0,887729.0,921433.0,948328.0,970207.0,987669.0,1001543.0,1012311.0,1019635.0,1025726.0,1030975.0,1035675.0,1040092.0
OTHER,14747.0,21183.0,30938.0,43196.0,57476.0,73038.0,89592.0,109387.0,128406.0,146884.0,164629.0,181480.0,196690.0,211059.0,224221.0,236221.0,246824.0,256140.0,263596.0,269606.0,274429.0,278275.0,281198.0,283070.0,284613.0,285944.0,287196.0,288380.0
WESTMORLAND AND FURNESS,8807.0,12789.0,18832.0,26533.0,35652.0,45699.0,56439.0,69325.0,81790.0,93951.0,105672.0,116840.0,127260.0,137160.0,146260.0,154586.0,161981.0,168456.0,173643.0,177912.0,181315.0,184048.0,186246.0,187858.0,189339.0,190661.0,191863.0,192896.0
