Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,171239.11,170195.25,170874.46,170484.95,169221.42,167829.06,166316.29,164707.3,163982.84,163183.64,162313.13,161366.01,160343.99,159262.41,158128.5,156942.18,155700.97,154399.51,153041.49,151629.02,150155.99,148608.36,147011.82,145360.06,143654.75,141897.52,140089.99,138233.73
PRESTON,344117.57,342977.82,345638.89,345975.99,344492.01,342677.51,340546.85,338124.43,337503.96,336625.36,335493.6,334117.92,332547.48,330773.11,328778.91,326576.99,324220.52,321738.9,319139.5,316408.3,313551.37,310470.87,307293.67,303984.98,300549.0,296989.79,293311.35,289517.57
RIBBLE VALLEY,150851.49,150734.5,152306.57,152775.61,152392.01,151832.65,151132.88,150311.13,150261.7,150113.25,149870.77,149508.57,149046.03,148479.79,147837.98,147123.52,146318.48,145422.8,144449.86,143404.24,142284.35,141103.46,139849.85,138529.75,137144.85,135696.82,134187.31,132617.91
RICHMONDSHIRE,165.51,165.04,166.42,166.67,166.0,165.17,164.19,163.05,162.75,162.34,161.82,161.19,160.46,159.62,158.72,157.73,156.67,155.52,154.29,153.0,151.63,150.18,148.67,147.1,145.45,143.75,141.99,140.16
ROCHDALE,464322.86,463543.34,467669.98,468650.83,467157.28,465250.41,462945.11,460225.76,459908.39,459313.7,458461.58,457352.13,455978.15,454361.92,452542.41,450531.95,448296.2,445826.5,443127.64,440203.47,437052.04,433729.77,430186.53,426443.15,422503.86,418372.82,414054.15,409551.9
ROSSENDALE,188833.45,188260.34,189662.87,189826.63,188988.28,187999.85,186850.92,185558.22,185244.2,184825.69,184312.98,183696.13,182972.65,182168.36,181285.86,180330.98,179287.48,178156.49,176944.41,175647.54,174266.02,172807.18,171269.3,169654.94,167965.85,166203.75,164370.33,162467.29
SALFORD,600147.84,600547.65,607531.83,610225.64,609560.24,608285.18,606449.05,604068.99,604875.39,605223.16,605147.93,604684.79,603830.18,602563.33,600878.75,598788.32,596342.46,593529.96,590343.9,586759.27,582802.02,578794.4,574380.45,569678.38,564694.1,559433.45,553902.16,548105.93
SEFTON,10.51,10.46,10.52,10.52,10.46,10.39,10.31,10.22,10.18,10.14,10.09,10.03,9.97,9.91,9.83,9.75,9.67,9.59,9.5,9.41,9.31,9.21,9.11,9.0,8.89,8.78,8.66,8.54
SOUTH LAKELAND,334094.79,333260.73,336175.93,336710.36,335399.5,333750.44,331804.51,329522.53,328944.87,328117.58,327072.13,325817.13,324341.39,322659.92,320832.56,318852.43,316707.54,314389.44,311921.83,309311.42,306551.22,303640.06,300594.43,297414.78,294105.36,290670.34,287113.78,283439.66
SOUTH RIBBLE,265447.79,265118.85,267829.12,268548.54,267720.11,266596.31,265234.63,263613.28,263374.45,262957.54,262363.95,261605.41,260672.97,259616.62,258437.7,257115.52,255650.4,254049.1,252321.46,250461.88,248471.83,246354.52,244118.9,241766.23,239299.92,236723.31,234039.67,231252.19
ST HELENS,91690.93,91450.03,92185.61,92293.76,91909.7,91442.61,90896.19,90277.12,90119.48,89914.18,89659.29,89355.71,89002.49,88601.86,88160.44,87684.0,87168.24,86611.73,86014.5,85377.94,84701.82,83983.48,83229.14,82438.13,81611.42,80749.99,79854.78,78926.72
STAFFORDSHIRE MOORLANDS,13.36,13.37,13.52,13.58,13.56,13.53,13.49,13.43,13.44,13.43,13.42,13.4,13.37,13.33,13.29,13.24,13.18,13.11,13.03,12.95,12.86,12.77,12.67,12.56,12.45,12.33,12.2,12.07
STOCKPORT,570111.4,567843.18,571367.35,571281.3,568367.37,565026.21,561306.47,557132.87,555830.76,554217.46,552325.1,550188.07,547750.3,545098.96,542229.0,539160.64,535855.51,532321.3,528569.71,524598.89,520406.3,515925.07,511251.23,506361.22,501260.36,495953.87,490446.88,484744.47
TAMESIDE,443056.96,440797.0,442830.05,442215.86,439505.65,436498.49,433189.91,429585.26,428260.58,426747.8,425056.15,423172.49,421101.97,418858.43,416457.46,413902.5,411177.56,408279.25,405212.84,401978.41,398570.75,395009.24,391287.84,387412.36,383386.36,379213.34,374896.77,370440.06
TRAFFORD,699205.77,697802.37,704098.46,705416.71,702785.34,699554.72,695689.62,691137.84,690266.85,689091.83,687465.74,685520.48,683094.26,680357.85,677407.65,674192.93,670637.42,666738.57,662534.62,658042.24,653235.95,647984.73,642472.75,636651.1,630527.01,624107.53,617399.65,610410.24
WARRINGTON,69947.35,69662.48,70146.14,70140.28,69751.14,69300.6,68791.41,68222.66,68021.17,67782.22,67510.22,67200.6,66854.43,66481.93,66080.73,65654.16,65198.18,64712.31,64198.37,63656.1,63084.63,62477.83,61846.29,61187.64,60502.7,59792.25,59057.09,58297.98
WEST LANCASHIRE,310841.05,309439.39,311432.48,311308.67,309568.57,307518.32,305199.68,302636.63,301707.61,300510.82,299075.46,297446.25,295697.51,293785.01,291689.59,289424.21,287065.89,284630.8,282115.9,279500.67,276789.57,273842.75,270838.73,267725.0,264505.14,261182.63,257760.87,254243.22
WIGAN,569687.11,567758.12,571765.18,572000.04,569258.45,566031.26,562348.36,558223.84,556997.27,555490.26,553704.57,551632.87,549279.74,546656.39,543795.5,540724.57,537407.1,533839.93,530031.88,525982.62,521690.86,517165.82,512418.42,507452.3,502273.34,496887.31,491299.84,485516.5
WYRE,250434.53,249421.94,250966.29,250914.32,249645.51,248191.49,246521.3,244663.09,244092.65,243360.74,242506.47,241517.75,240392.15,239138.0,237765.06,236273.86,234652.75,232917.98,231065.95,229106.55,227036.15,224915.26,222682.54,220360.2,217950.62,215456.14,212879.04,210221.59
