Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
RIBBLE VALLEY,130.72,290.6,421.3,555.16,695.05,841.58,994.07,1153.58,1302.03,1459.12,1611.13,1801.9,1983.35,2149.32,2300.5,2437.06,2558.65,2666.68,2770.57,2869.93,2963.99,3053.27,3137.19,3215.43,3287.7,3353.67,3412.97,3465.26
RICHMONDSHIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCHDALE,587.45,1566.5,2501.07,3506.64,4590.56,5755.33,6994.47,8316.76,9592.77,10961.06,12322.56,14014.61,15670.65,17245.6,18736.24,20134.59,21434.03,22642.61,23845.24,25034.61,26196.38,27356.49,28500.51,29626.62,30732.93,31817.41,32877.96,33912.33
ROSSENDALE,234.92,843.82,1495.95,2208.94,2979.33,3804.9,4679.17,5607.23,6496.97,7441.84,8373.96,9520.96,10633.48,11676.86,12648.38,13549.6,14373.16,15125.1,15860.99,16574.26,17264.6,17933.25,18577.02,19194.22,19783.09,20341.75,20868.23,21360.44
SALFORD,1600.96,5472.39,9567.96,14051.58,18905.86,24123.42,29651.82,35537.38,41225.87,47307.12,53345.2,60800.72,68081.34,74995.73,81507.04,87581.91,93189.98,98367.34,103485.73,108491.84,113336.69,118146.96,122846.92,127427.56,131879.36,136192.32,140355.89,144358.89
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,121.63,197.77,226.25,246.4,263.11,277.92,291.27,303.85,311.59,320.01,326.3,339.14,348.69,354.71,357.87,358.65,357.5,354.7,351.83,348.81,345.47,342.08,338.52,334.78,330.87,326.77,322.47,317.97
SOUTH RIBBLE,158.82,291.31,371.56,446.95,523.0,601.21,682.02,766.2,842.9,925.39,1005.0,1109.49,1208.28,1298.97,1381.45,1456.55,1524.58,1585.74,1647.02,1706.88,1764.85,1822.61,1879.24,1934.6,1988.6,2041.11,2092.01,2141.17
ST HELENS,82.76,134.8,154.49,168.61,180.4,190.95,200.4,209.36,215.11,221.4,226.2,235.66,242.87,247.7,250.57,251.79,251.65,250.41,249.16,247.79,246.21,244.61,242.91,241.11,239.19,237.16,235.02,232.75
STAFFORDSHIRE MOORLANDS,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
STOCKPORT,2152.14,6102.8,9964.22,14107.16,18544.71,23269.65,28197.94,33409.8,38379.34,43666.98,48869.4,55325.48,61578.07,67431.68,72873.69,77910.37,82526.74,86746.24,90895.04,94948.79,98856.68,102673.3,106368.21,109933.17,113359.51,116638.07,119759.17,122712.58
TAMESIDE,1211.53,4762.72,8639.42,12883.6,17460.18,22354.58,27527.39,33000.86,38255.67,43829.48,49328.21,56098.9,62664.14,68838.86,74595.5,79928.42,84818.45,89290.35,93678.42,97947.37,102069.81,106088.03,109972.67,113715.5,117307.88,120740.71,124004.35,127088.6
TRAFFORD,1358.14,5088.8,9123.74,13542.0,18314.54,23429.23,28847.51,34595.5,40117.17,45989.32,51793.36,58947.71,65901.07,72447.69,78565.24,84258.49,89503.23,94310.81,99040.66,103669.62,108164.52,112551.41,116810.05,120931.77,124907.41,128727.36,132381.45,135858.9
WARRINGTON,2.52,4.1,4.69,5.12,5.48,5.8,6.09,6.37,6.55,6.74,6.9,7.19,7.42,7.57,7.67,7.71,7.72,7.69,7.66,7.62,7.58,7.54,7.5,7.45,7.4,7.35,7.3,7.24
WEST LANCASHIRE,644.75,2267.52,3985.95,5854.75,7865.58,10011.37,12271.72,14662.69,16951.18,19379.02,21768.07,24710.73,27568.43,30250.36,32744.54,35054.54,37176.77,39127.31,41052.72,42931.4,44752.31,46528.44,48252.89,49922.73,51534.86,53086.03,54572.81,55991.54
WIGAN,651.58,2118.79,3634.54,5276.07,7038.01,8917.33,10899.15,12992.05,14990.22,17110.43,19195.2,21771.84,24262.15,26593.81,28763.68,30766.89,32599.03,34267.94,35901.38,37487.11,39012.83,40496.94,41926.92,43299.45,44611.07,45858.1,47036.67,48142.66
WYRE,65.59,106.67,122.08,133.03,142.12,150.23,157.57,164.55,168.95,173.75,177.43,184.7,190.25,193.87,195.93,196.71,196.39,195.24,194.01,192.69,191.25,189.79,188.26,186.65,184.96,183.19,181.33,179.38
