Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,4598.22,5313.98,6421.28,7656.04,9050.39,11400.45,14343.89,17248.61,20012.34,22715.6,24304.93,25297.35,26319.82,27128.47,28057.48,29002.68,30006.21,30987.72,32098.05,33202.28,34414.45,35540.33,36623.57,37724.92,38691.16,39637.79,40515.62,41092.1
PRESTON,13228.9,14840.26,18196.13,21892.43,26155.67,33188.08,41894.37,49721.31,57194.09,64449.89,68632.02,71034.87,73515.93,75615.34,77924.41,80293.92,82802.54,85254.46,88006.09,90732.49,93689.98,96477.54,99160.63,101878.78,104318.65,106718.96,108974.09,110466.04
RIBBLE VALLEY,14878.47,15937.09,17649.55,19500.81,21346.14,24155.75,27638.58,31139.04,34512.16,37871.54,40050.96,41656.64,43329.1,44743.25,46302.45,47915.6,49636.62,51305.27,53198.36,55066.79,57103.72,59020.63,60853.79,62713.64,64370.39,65994.91,67518.2,68504.15
RICHMONDSHIRE,0.0,1.1,2.84,4.73,6.51,9.05,12.18,15.34,18.4,21.47,23.53,25.15,26.84,28.26,29.84,31.47,33.21,34.9,36.82,38.71,40.77,42.71,44.57,46.45,48.12,49.75,51.28,52.27
ROCHDALE,14114.65,16175.49,20282.88,24719.78,29632.51,37312.79,46709.35,55129.63,63151.98,71008.35,75659.06,78597.56,81626.72,84039.47,86796.94,89609.31,92594.46,95510.48,98816.05,102101.67,105712.23,109067.63,112298.36,115580.82,118465.75,121300.78,123924.15,125646.31
ROSSENDALE,5101.99,5834.95,6912.26,8097.46,9435.53,11628.53,14348.68,17031.03,19565.4,22054.12,23508.25,24448.32,25411.26,26097.49,26940.35,27786.7,28684.45,29566.0,30575.99,31589.03,32725.68,33756.68,34756.49,35774.1,36641.22,37496.54,38262.92,38767.74
SALFORD,7829.6,9896.52,13293.34,16936.44,20853.45,26865.45,34216.97,41227.33,47878.56,54458.88,58455.26,61230.27,64085.09,66188.55,68716.39,71275.41,73995.78,76654.97,79707.18,82757.02,86168.27,89281.66,92291.81,95353.52,97981.37,100574.68,102912.47,104440.83
SEFTON,0.0,0.07,0.19,0.31,0.43,0.59,0.79,1.0,1.2,1.41,1.55,1.67,1.79,1.91,2.03,2.16,2.29,2.42,2.57,2.71,2.87,3.01,3.15,3.3,3.43,3.55,3.68,3.76
SOUTH LAKELAND,16058.2,17954.36,22437.83,27338.09,33003.94,41994.49,52956.07,62184.89,70946.58,79429.53,84186.91,86809.65,89499.9,91641.6,94089.05,96569.55,99191.51,101767.3,104661.15,107544.27,110696.65,113630.88,116463.47,119340.74,121880.34,124372.58,126690.4,128231.75
SOUTH RIBBLE,9073.47,10601.03,13518.54,16648.27,19891.04,24705.75,30564.0,35907.65,41025.02,46091.24,49259.0,51481.49,53785.79,55663.06,57780.57,59955.56,62272.23,64525.57,67085.47,69621.34,72402.11,74998.11,77488.39,80017.31,82248.65,84438.37,86473.8,87797.34
ST HELENS,4854.14,5350.08,6363.24,7483.54,8776.68,10885.78,13484.83,15796.63,17994.16,20126.77,21338.74,22028.14,22737.22,23307.14,23954.68,24613.4,25310.28,25993.84,26763.0,27528.64,28366.3,29147.01,29900.93,30665.51,31342.29,32008.23,32626.33,33036.66
STAFFORDSHIRE MOORLANDS,0.0,0.09,0.24,0.39,0.49,0.6,0.71,0.83,0.96,1.1,1.22,1.36,1.51,1.63,1.77,1.92,2.07,2.22,2.39,2.56,2.74,2.92,3.08,3.25,3.4,3.54,3.68,3.76
STOCKPORT,21458.24,25005.0,30666.18,36846.69,43532.12,54428.68,68034.09,81559.64,94503.29,107252.06,115058.09,120288.81,125704.77,130149.23,135136.78,140257.75,145704.91,151007.6,157019.04,162974.0,169490.57,175584.89,181434.08,187373.5,192629.67,197789.64,202597.54,205734.32
TAMESIDE,12884.64,15266.76,18784.09,22621.23,26965.66,33781.76,42092.24,50004.54,57398.88,64673.31,68817.67,71527.87,74278.61,75930.12,78207.77,80441.42,82805.72,85147.29,87873.17,90645.11,93849.95,96657.99,99413.34,102223.01,104512.58,106789.14,108723.48,110008.7
TRAFFORD,11077.32,12631.87,15295.56,18270.62,21714.05,27816.41,35562.16,43216.17,50571.15,57730.75,61976.42,64508.21,67135.89,69495.66,71999.36,74592.92,77346.04,80023.62,83016.27,85961.85,89115.88,92132.57,95013.85,97935.81,100596.07,103196.48,105690.92,107326.4
WARRINGTON,1671.82,2037.43,2600.85,3209.03,3820.17,4736.44,5863.55,6993.67,8074.5,9152.78,9842.92,10357.19,10890.42,11310.88,11795.19,12291.52,12820.69,13335.41,13923.61,14507.62,15153.43,15751.52,16326.54,16910.34,17420.44,17922.48,18383.28,18682.27
WEST LANCASHIRE,10594.77,12894.53,16854.01,21219.51,25794.42,33260.13,42640.67,51935.03,60915.24,69756.33,75306.5,79027.43,82912.9,86416.33,90128.52,93996.3,98114.49,102106.25,106591.54,111000.9,115741.5,120271.67,124597.33,128975.13,132959.14,136866.26,140591.24,143016.81
WIGAN,22442.5,25506.41,32105.24,39232.44,47323.93,59867.29,75081.85,88085.76,100397.86,112396.67,119241.89,123320.51,127496.5,130610.48,134321.1,138058.93,142015.46,145902.6,150320.04,154739.72,159647.54,164144.83,168499.77,172929.68,176758.87,180529.31,183960.15,186231.94
WYRE,20708.01,22282.06,25657.2,29362.33,33542.55,40268.65,48552.76,55891.16,62902.63,69723.31,73694.71,76032.26,78449.11,80499.17,82751.77,85065.59,87518.05,89913.08,92601.41,95263.18,98148.62,100870.33,103486.46,106137.44,108516.79,110853.97,113053.6,114504.81
