Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,1453.9,2497.28,3555.86,5362.36,8219.2,11051.81,16284.12,30644.51,44840.18,58728.0,72323.14,85628.78,98360.9,110916.58,123448.8,135486.98,146859.83,157418.62,166811.76,175346.96,183143.95,190413.44,187819.29,185290.33,182683.23,180013.75,177266.63,174278.03
PRESTON,4034.52,6406.87,8924.36,12978.52,18973.79,24827.71,33848.86,55514.77,76924.87,97803.13,118130.03,137997.31,156829.48,175344.02,193926.92,211593.42,228020.8,243089.03,256012.51,267370.52,277778.16,287087.46,283266.35,279654.22,276006.85,272384.66,268689.91,264677.89
RIBBLE VALLEY,1455.46,2747.42,4429.31,6887.63,10103.49,13236.46,17744.77,27870.87,37861.35,47640.63,57200.68,66605.06,75588.54,84590.35,93687.11,102372.08,110411.83,117561.75,123618.7,129143.71,134299.52,139054.35,137846.29,136731.18,135576.01,134395.03,133151.52,131727.49
RICHMONDSHIRE,1.65,2.76,3.85,6.1,9.1,11.98,16.5,27.77,38.95,49.94,60.74,71.38,81.44,91.38,101.4,110.97,120.04,128.58,135.39,141.65,147.55,152.84,150.97,149.23,147.43,145.58,143.63,141.44
ROCHDALE,4950.29,8167.34,12099.1,18567.9,28242.63,37996.89,52757.71,86806.61,120490.96,153494.82,185777.83,217455.13,247801.89,277938.97,308365.22,337527.2,364659.84,389112.09,410439.05,429323.52,446625.31,462534.73,458112.31,453944.12,449696.64,445458.19,441103.23,436261.87
ROSSENDALE,1597.8,2704.02,3932.24,5944.9,9014.88,12060.81,17131.15,29967.99,42562.92,54805.78,66690.46,78244.11,89189.78,99945.54,110662.91,120871.86,130315.59,138781.15,146142.36,152655.04,158565.13,163893.87,161452.1,159113.97,156747.89,154376.68,151969.28,149388.66
SALFORD,9134.11,13343.57,18505.7,26170.14,37091.68,47792.01,63057.6,96700.83,129253.12,160407.5,190136.45,218630.45,245073.89,270768.61,296122.7,319607.17,340504.83,358287.69,372721.5,384407.35,394389.58,402594.87,394205.74,386205.96,378316.97,370615.42,362944.06,354995.37
SEFTON,0.07,0.13,0.18,0.28,0.4,0.52,0.69,1.11,1.52,1.93,2.32,2.71,3.07,3.44,3.8,4.15,4.48,4.79,5.04,5.27,5.49,5.69,5.62,5.57,5.51,5.45,5.39,5.32
SOUTH LAKELAND,4329.29,7145.84,9950.02,14956.12,21673.06,28158.62,37931.65,61156.0,84245.17,106936.23,129259.12,151304.69,172036.89,192662.39,213673.65,233762.88,252775.72,270311.18,284667.09,297910.82,310501.81,321479.57,318350.23,315581.95,312730.43,309848.81,306801.73,303217.97
SOUTH RIBBLE,2288.05,3899.46,5854.86,9020.16,13476.5,17796.22,24681.88,41412.52,58018.88,74379.7,90456.34,106338.11,121565.23,136739.87,152015.32,166764.65,180730.11,193585.7,204832.07,215068.73,224691.78,233683.85,231755.44,229958.87,228114.65,226266.49,224335.03,222149.5
ST HELENS,1055.37,1809.52,2748.83,4242.48,6481.65,8685.88,12086.92,20202.08,28250.53,36170.54,43940.19,51620.25,59008.54,66369.24,73819.89,81014.22,87827.42,94084.48,99650.41,104619.44,109230.92,113600.84,112729.3,111910.19,111065.24,110211.8,109321.58,108313.16
STAFFORDSHIRE MOORLANDS,0.19,0.32,0.48,0.73,1.1,1.47,2.01,3.25,4.48,5.69,6.88,8.05,9.17,10.29,11.41,12.5,13.51,14.44,15.23,15.95,16.61,17.22,17.07,16.92,16.78,16.63,16.47,16.3
STOCKPORT,7210.23,11050.85,15397.73,22703.21,33165.06,43377.34,59787.42,99338.05,137851.11,174997.62,210718.06,245147.5,277593.07,309053.08,339920.41,368888.67,395199.97,418649.91,438145.01,454922.74,469713.66,482760.64,473501.76,464521.41,455575.98,446790.4,437984.47,428901.32
TAMESIDE,5236.28,8326.29,11865.67,17892.83,27062.9,36053.41,49902.57,82742.74,114513.84,144843.81,173781.19,201420.6,227197.06,252051.02,276360.69,298928.21,319142.2,336691.79,351054.8,362663.46,372381.19,380715.86,371802.96,363165.05,354573.47,346090.81,337641.99,328978.23
TRAFFORD,7109.1,11103.18,15066.98,21307.73,30260.97,38998.72,52537.9,84564.57,115636.79,145412.03,173879.15,201182.31,226225.31,250376.88,274243.76,296354.66,316137.56,333119.43,346885.17,358515.31,368815.31,376524.04,368104.12,360186.02,352347.29,344686.56,337030.47,329004.91
WARRINGTON,641.56,1040.59,1380.24,1985.85,2965.38,3908.75,5352.58,8951.55,12533.51,16057.2,19529.82,22970.94,26214.2,29445.0,32764.88,35971.59,39039.16,41874.5,44353.38,46585.79,48715.23,50621.91,50269.52,49982.97,49690.52,49400.46,49089.81,48699.97
WEST LANCASHIRE,2833.05,4684.09,6666.36,9838.84,14213.95,18334.54,24113.0,37247.37,49834.16,61723.98,72929.07,83517.27,93134.76,102338.26,111313.83,119444.42,126579.55,132546.04,136951.53,140356.66,143148.79,145194.4,141026.15,137032.13,133063.66,129140.81,125216.11,121187.57
WIGAN,7147.66,11788.1,17388.63,26422.77,40057.98,53467.53,74192.55,123856.28,172769.31,220546.62,267151.28,312812.05,356425.62,399468.49,442717.33,484140.79,522902.73,558193.18,589000.91,615992.03,640572.65,663479.6,655763.34,648391.13,640919.25,633472.98,625863.79,617623.71
WYRE,3101.99,5265.61,7903.48,11999.02,17433.18,22763.41,30504.61,47843.07,65060.28,82005.9,98701.38,115187.98,131015.1,146866.82,162932.31,178341.29,192665.86,205635.42,216650.73,226733.86,236246.89,245019.35,243401.53,241956.13,240471.68,239003.47,237449.64,235614.22
