Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,4861.2,6035.33,7746.18,10063.07,13280.51,17576.37,23186.74,32095.71,40673.87,49029.37,56878.49,64445.68,72400.35,80318.52,87672.75,94563.6,101048.96,107091.57,112494.21,117381.33,121811.08,125847.3,125972.09,125975.85,125813.09,125527.11,125091.2,124421.0
PRESTON,11110.21,13929.71,18146.11,23610.7,30693.76,40163.02,51805.46,67774.19,83081.64,98051.14,111806.96,125145.68,139226.06,153196.77,165957.51,177646.73,188444.99,198416.35,207105.93,214781.79,221798.87,228075.06,229029.78,229786.65,230268.08,230618.46,230738.27,230429.16
RIBBLE VALLEY,8394.37,9915.59,12321.49,15434.37,19403.5,24679.31,30976.36,39231.07,47111.29,54794.65,61967.82,68911.4,76472.32,84055.49,90961.36,97354.52,103294.02,108707.14,113458.47,117751.39,121700.1,125274.16,126389.18,127305.87,127973.96,128475.47,128825.6,128923.12
RICHMONDSHIRE,6.77,8.66,11.68,15.92,21.51,29.24,38.43,50.02,61.12,71.97,82.26,92.26,103.72,115.27,125.53,134.94,143.77,152.06,159.17,165.57,171.5,176.76,178.92,180.74,182.17,183.2,183.93,184.18
ROCHDALE,15071.19,18881.02,24864.96,32850.54,43439.67,57426.15,74612.49,98482.91,121361.31,143805.12,164776.41,185345.57,207096.13,228807.02,248774.29,267322.45,284536.02,300261.06,314183.0,326511.78,337849.66,348129.43,350056.67,351574.57,352640.28,353478.96,354001.61,353900.13
ROSSENDALE,62928.73,64356.5,66481.12,69314.23,73222.42,78365.51,84740.81,93913.02,102671.73,111233.14,119259.05,127195.21,135580.62,143886.91,151487.23,158522.51,165031.62,170965.41,176242.64,180969.0,185309.65,189216.93,189932.78,190490.48,190846.19,191100.55,191210.69,191059.7
SALFORD,15288.89,20486.71,28064.46,37830.48,50279.12,66169.01,85236.72,111010.03,135464.95,159536.59,182002.43,204998.13,228903.1,252333.86,273462.68,292620.46,309874.78,325162.76,338499.79,350070.05,360481.09,369554.31,371833.26,373824.08,375234.62,376380.79,377271.12,377665.43
SEFTON,0.29,0.38,0.52,0.7,0.91,1.2,1.54,1.97,2.38,2.78,3.15,3.51,3.91,4.32,4.68,5.01,5.32,5.62,5.87,6.11,6.32,6.52,6.56,6.6,6.64,6.68,6.71,6.72
SOUTH LAKELAND,34440.58,37281.89,41703.68,47679.59,56433.27,67736.14,81198.19,99005.59,116240.19,132993.62,148566.16,163280.82,179049.29,194761.69,209594.33,223517.46,236725.66,249073.66,259774.6,269595.43,278812.51,286963.84,289401.08,291695.67,293607.43,295258.21,296629.85,297186.53
SOUTH RIBBLE,8719.96,10861.51,14354.6,18985.9,24955.14,32995.55,42840.91,56035.58,68655.34,81036.32,92574.8,103805.08,115931.82,128087.0,139103.1,149341.46,158954.63,167867.58,175779.2,182920.81,189560.45,195576.83,197141.02,198451.16,199433.85,200172.06,200602.86,200660.53
ST HELENS,4918.55,5901.64,7517.87,9682.91,12618.2,16600.48,21432.4,27841.72,33959.84,39935.35,45497.71,50876.23,56709.77,62569.52,67882.79,72813.78,77435.06,81713.12,85519.12,88854.47,91917.3,94729.14,95407.37,95981.66,96426.4,96767.55,96979.57,97000.46
STAFFORDSHIRE MOORLANDS,0.57,0.74,1.02,1.38,1.85,2.46,3.19,4.16,5.09,6.0,6.88,7.73,8.69,9.64,10.52,11.32,12.08,12.78,13.39,13.94,14.44,14.87,14.99,15.08,15.14,15.2,15.24,15.25
STOCKPORT,23712.5,30295.1,39890.54,52259.81,67793.94,88557.11,113761.8,147240.45,178982.65,210193.75,238996.06,267873.38,298494.42,328612.18,355324.2,379481.11,401497.83,421439.76,438984.03,454518.01,468606.04,481234.27,484529.17,487158.76,489106.63,490571.79,491504.7,491678.83
TAMESIDE,14311.44,18850.96,25532.5,34466.31,46194.4,61440.59,80006.6,105467.63,129568.04,153178.08,175048.48,197163.88,220263.65,242746.69,262904.92,281119.79,297578.56,312297.68,325150.39,336305.69,346251.06,355091.9,356762.94,357971.9,358702.46,359160.51,359233.34,358755.53
TRAFFORD,17057.55,22127.88,29400.85,38858.82,50911.16,66816.96,86107.87,112075.28,136659.46,160798.86,183224.05,205972.21,229544.07,252700.06,273309.59,291941.99,308776.77,323760.43,336789.28,348135.9,358452.53,367136.21,368997.45,370523.5,371575.66,372354.95,372835.88,372794.75
WARRINGTON,1928.24,2415.35,3110.3,4023.31,5247.38,6868.72,8817.97,11515.18,14103.73,16618.57,18987.54,21258.01,23699.43,26124.14,28385.83,30500.96,32507.66,34370.3,36020.94,37474.56,38800.58,39978.33,40249.67,40475.9,40645.21,40770.53,40850.24,40856.15
WEST LANCASHIRE,10313.71,13196.92,17514.13,23061.63,30377.27,40013.14,51318.9,65235.76,78442.44,91352.9,102995.99,114495.26,126718.16,138672.27,149362.87,159081.35,167989.92,176019.38,183139.58,189495.56,195392.8,200586.33,203030.13,205278.23,207144.02,208794.6,210219.74,211069.79
WIGAN,22894.02,28701.23,38139.9,50753.89,67638.63,90139.93,117658.4,155018.23,190656.28,225554.86,258019.3,289840.17,323780.13,357562.52,388233.14,416569.04,442892.72,467090.72,488502.53,507425.3,524651.97,540217.82,543366.98,545932.08,547749.96,549001.83,549577.84,549217.79
WYRE,15521.16,17892.91,21746.86,26820.1,33568.07,42573.99,53372.2,67292.74,80637.34,93675.34,105696.06,117188.77,129622.47,142126.29,153607.02,164300.1,174281.98,183486.53,191568.39,198918.82,205799.02,212031.55,213911.18,215475.69,216758.77,217878.28,218764.15,219184.4
