Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PRESTON,98.83,103.03,111.01,117.12,339.38,573.54,741.12,866.78,1009.4,1028.77,1147.88,1076.71,1170.3,1191.89,1343.02,1522.96,1720.52,1898.08,2045.8,2165.57,2283.15,2363.47,2438.91,2505.57,2555.61,2600.68,2645.61,2674.94
RIBBLE VALLEY,1994.25,2004.05,2021.99,2030.78,2443.7,2878.27,3184.1,3396.3,3622.37,3608.98,3767.28,3598.16,3735.73,3767.57,4038.36,4371.43,4746.27,5087.59,5381.59,5629.44,5873.67,6052.17,6222.29,6377.1,6502.66,6619.66,6736.62,6816.73
RICHMONDSHIRE,0.0,0.0,0.0,0.0,0.59,1.2,1.61,1.89,2.24,2.16,2.42,2.0,2.14,2.03,2.36,2.79,3.27,3.68,3.99,4.19,4.38,4.44,4.48,4.49,4.44,4.37,4.3,4.23
ROCHDALE,2938.47,2962.13,3010.52,3052.54,3536.33,4043.98,4465.98,4815.22,5170.59,5389.55,5689.07,5816.53,6117.65,6376.62,6774.21,7212.94,7682.1,8136.22,8570.14,8983.1,9396.44,9776.14,10153.38,10524.24,10880.97,11234.76,11590.15,11853.52
ROSSENDALE,247689.46,247736.34,247830.11,247903.01,248676.45,249488.94,250177.96,250735.01,251263.05,251617.5,252039.11,252324.51,252816.88,253319.47,253977.73,254704.9,255488.08,256264.55,257036.44,257798.37,258563.69,259300.04,260036.88,260770.26,261492.64,262214.53,262940.13,263482.63
SALFORD,0.0,0.03,0.05,0.08,75.24,154.05,205.85,242.13,287.34,277.77,311.28,257.69,275.6,260.64,303.6,358.29,420.1,472.42,511.01,536.72,561.21,568.67,573.71,574.6,567.8,558.59,549.14,539.99
SEFTON,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.07,0.08,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SOUTH LAKELAND,98168.69,98485.85,99149.12,99805.39,105433.53,111347.6,116613.19,121356.45,126282.82,130448.34,135156.21,138659.08,143292.44,147526.02,152677.61,158068.41,163627.03,169096.67,174416.74,179594.76,184795.98,189786.0,194777.12,199741.52,204625.12,209503.29,214406.03,218069.86
SOUTH RIBBLE,60.26,60.94,61.92,61.99,203.55,352.49,450.89,519.03,601.42,584.64,647.4,555.49,594.26,574.43,658.47,764.64,884.22,987.12,1065.57,1121.08,1174.47,1197.49,1216.25,1227.64,1225.35,1218.8,1211.9,1203.05
ST HELENS,2490.1,2500.44,2521.97,2542.68,2801.35,3072.76,3294.42,3480.96,3680.6,3795.95,3971.6,4019.43,4179.08,4295.38,4502.66,4731.21,4974.03,5204.36,5416.53,5611.31,5805.57,5975.42,6142.81,6305.04,6456.73,6605.75,6755.32,6864.94
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.07,0.15,0.21,0.24,0.28,0.27,0.31,0.26,0.27,0.26,0.3,0.36,0.42,0.47,0.51,0.54,0.57,0.58,0.58,0.59,0.58,0.57,0.57,0.56
STOCKPORT,38.57,38.89,39.5,40.11,178.4,323.43,419.93,488.42,572.92,559.51,623.09,530.97,566.79,543.89,624.61,726.37,840.91,938.51,1011.62,1061.73,1109.67,1127.21,1140.45,1146.29,1138.42,1126.25,1113.69,1100.59
TAMESIDE,74.73,76.18,78.76,79.97,216.85,360.75,458.16,526.15,605.34,594.06,652.56,574.36,614.06,604.15,687.96,792.73,910.69,1014.06,1096.37,1158.71,1219.26,1252.86,1282.76,1306.19,1317.51,1325.11,1332.47,1334.77
TRAFFORD,6.03,6.07,6.14,6.21,80.03,157.45,208.42,244.18,288.68,279.59,312.66,260.49,278.29,263.93,306.25,360.05,420.82,472.31,510.37,535.82,560.08,567.69,572.93,574.1,567.76,559.06,550.13,541.41
WARRINGTON,0.0,0.03,0.01,0.01,173.4,355.23,474.58,558.03,662.12,639.46,716.51,592.01,632.96,597.87,696.76,822.8,965.31,1085.86,1174.64,1233.62,1289.75,1306.49,1317.64,1319.16,1302.9,1281.05,1258.66,1237.08
WEST LANCASHIRE,5692.05,5821.27,6091.52,6360.06,8584.29,10922.41,13023.81,14931.79,16910.0,18638.08,20550.43,22053.74,23946.13,25699.1,27766.75,29917.54,32126.52,34308.08,36439.94,38525.2,40621.15,42647.49,44676.63,46698.91,48695.72,50692.65,52699.82,54201.81
WIGAN,1296.88,1329.07,1395.14,1457.87,2127.3,2832.19,3428.88,3946.28,4489.86,4878.45,5391.43,5664.5,6158.74,6564.78,7143.45,7765.0,8414.25,9041.91,9634.86,10195.33,10756.47,11272.64,11785.6,12290.09,12775.77,13257.57,13741.55,14100.35
WYRE,16718.17,16807.47,16991.59,17165.1,18721.59,20359.11,21802.42,23078.93,24385.13,25462.04,26696.44,27613.28,28862.98,30019.2,31434.2,32927.78,34477.66,36005.7,37496.86,38951.77,40413.33,41817.38,43222.03,44619.62,45995.33,47369.8,48751.25,49783.85
