Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,4598.22,5313.98,6404.45,7500.41,8585.82,9592.39,10540.07,11466.4,12375.6,13363.16,14277.51,15266.76,16289.48,17101.31,18035.92,18988.51,19998.34,20979.54,22085.1,23182.0,24384.62,25498.44,26567.07,27651.2,28597.54,29521.47,30373.7,30928.79
PRESTON,13228.9,14840.26,18148.2,21449.11,24832.26,28037.56,31058.65,33249.83,35439.73,37808.12,40067.45,42461.28,44943.03,47051.5,49376.55,51767.11,54293.68,56744.7,59482.72,62188.26,65118.54,67871.76,70513.23,73182.33,75565.5,77901.16,80083.35,81514.38
RIBBLE VALLEY,14878.47,15937.09,17631.56,19334.42,20849.44,22222.63,23571.66,24956.88,26347.22,27872.23,29329.98,30932.27,32604.99,34022.55,35587.74,37208.79,38936.55,40604.86,42492.84,44353.44,46380.15,48284.18,50101.71,51943.16,53578.62,55178.88,56674.8,57637.89
RICHMONDSHIRE,0.0,1.1,2.83,4.59,6.09,7.42,8.75,10.14,11.53,13.06,14.51,16.13,17.82,19.24,20.82,22.46,24.21,25.9,27.81,29.7,31.75,33.68,35.52,37.38,39.04,40.65,42.16,43.13
ROCHDALE,14114.65,16175.49,20234.42,24271.46,28294.19,32104.23,35751.52,38472.53,41152.47,44066.35,46772.61,49701.97,52731.84,55153.76,57927.37,60761.04,63764.34,66679.44,69971.26,73235.78,76818.82,80139.51,83328.13,86560.99,89388.58,92158.23,94707.85,96368.41
ROSSENDALE,5101.99,5834.95,6897.27,7958.78,9021.54,10017.35,10959.05,11878.43,12760.2,13720.04,14572.68,15509.93,16473.09,17162.15,18010.01,18862.94,19766.31,20647.57,21653.32,22659.82,23787.96,24808.22,25795.02,26797.28,27646.66,28481.76,29225.32,29711.08
SALFORD,7829.6,9896.52,13256.08,16591.76,19824.5,22860.93,25792.19,28420.76,30964.55,33744.92,36246.32,39014.31,41869.68,43980.18,46520.44,49095.83,51830.15,54488.64,57530.28,60563.89,63953.98,67040.69,70018.47,73042.04,75625.8,78168.85,80449.94,81930.93
SEFTON,0.0,0.07,0.19,0.3,0.4,0.49,0.57,0.67,0.76,0.87,0.98,1.1,1.22,1.34,1.46,1.58,1.72,1.85,2.0,2.14,2.29,2.44,2.58,2.72,2.85,2.98,3.1,3.17
SOUTH LAKELAND,16058.2,17954.36,22380.7,26809.61,31426.34,35854.63,40038.96,42549.49,45013.53,47670.28,50135.52,52747.5,55438.59,57591.09,60057.57,62563.18,65206.54,67781.25,70658.88,73517.12,76637.07,79530.37,82313.34,85132.13,87604.14,90019.31,92250.19,93718.92
SOUTH RIBBLE,9073.47,10601.03,13489.98,16384.05,19102.31,21636.12,24106.08,26090.91,28059.77,30213.18,32234.98,34452.1,36756.81,38639.48,40766.51,42954.05,45281.42,47534.22,50086.01,52609.44,55373.99,57949.53,60415.0,62914.69,65112.24,67263.43,69255.39,70542.63
ST HELENS,4854.14,5350.08,6349.11,7352.86,8386.59,9367.6,10290.87,10941.46,11581.79,12273.78,12918.99,13605.72,14315.01,14887.6,15539.85,16204.77,16906.94,17590.24,18355.39,19114.87,19944.52,20715.11,21456.76,22206.88,22866.95,23513.83,24110.44,24502.81
STAFFORDSHIRE MOORLANDS,0.0,0.09,0.24,0.39,0.49,0.58,0.68,0.8,0.91,1.04,1.16,1.3,1.45,1.57,1.71,1.85,2.0,2.15,2.32,2.49,2.68,2.85,3.02,3.18,3.33,3.48,3.61,3.7
STOCKPORT,21458.24,25005.0,30591.08,36152.08,41458.56,46358.64,51056.25,55751.48,60417.69,65508.69,70302.01,75518.58,80935.63,85394.3,90406.87,95560.84,101036.12,106337.39,112327.51,118249.78,124723.71,130764.24,136548.21,142410.77,147578.1,152636.78,157330.4,160371.73
TAMESIDE,12884.64,15266.76,18740.99,22222.62,25775.71,29150.63,32349.21,35194.07,37838.26,40718.15,43133.61,45835.69,48587.06,50246.72,52538.73,54791.31,57171.75,59512.51,62226.16,64979.33,68159.7,70936.88,73654.8,76420.36,78658.95,80877.38,82746.14,83976.59
TRAFFORD,11077.32,12631.87,15249.19,17841.66,20433.53,22832.78,25077.54,27278.41,29521.68,31952.24,34337.43,36860.47,39488.83,41857.38,44376.53,46990.46,49760.94,52437.64,55417.14,58342.52,61470.23,64453.71,67294.7,70169.2,72774.6,75312.45,77736.32,79312.86
WARRINGTON,1671.82,2037.43,2595.17,3156.51,3663.4,4126.33,4579.99,5042.52,5497.56,5996.9,6459.27,6972.47,7505.78,7927.32,8413.51,8912.34,9443.64,9958.24,10544.83,11126.37,11768.96,12362.99,12933.07,13511.06,14014.45,14508.83,14960.99,15252.77
WEST LANCASHIRE,10594.77,12894.53,16801.58,20734.51,24346.59,27625.33,30786.11,33914.82,37115.42,40609.57,44056.15,47767.2,51653.44,55166.79,58896.44,62787.26,66925.09,70915.85,75386.27,79772.8,84483.63,88976.24,93256.35,97580.49,101502.47,105338.86,108984.05,111342.98
WIGAN,22442.5,25506.41,32028.4,38521.7,45202.23,51609.85,57709.75,61678.27,65520.73,69683.93,73446.47,77510.62,81687.73,84816.24,88552.47,92324.06,96309.36,100195.04,104590.67,108976.9,113841.11,118283.35,122571.55,126922.81,130661.11,134327.91,137641.81,139815.93
WYRE,20708.01,22282.06,25612.8,28951.57,32316.37,35496.49,38513.03,40629.69,42746.36,45038.67,47228.53,49557.71,51975.21,54033.66,56301.06,58634.39,61103.48,63497.67,66173.4,68815.83,71676.06,74365.97,76943.52,79549.05,81875.87,84153.15,86285.2,87679.98
