Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ROCHDALE,18.63,20.7,24.15,28.59,33.86,39.96,44.77,48.56,51.4,53.5,55.0,56.39,57.91,59.36,60.91,62.33,63.77,65.26,66.76,68.25,69.79,71.23,72.62,73.99,75.22,76.43,77.54,78.4
ROSSENDALE,8.28,41.27,96.41,166.35,249.47,346.77,421.72,477.97,517.42,543.61,559.7,573.71,589.2,604.58,621.39,635.62,650.41,665.62,680.87,696.14,711.33,726.3,741.14,755.84,770.33,784.69,798.88,809.46
SALFORD,0.0,2.45,6.54,11.79,18.03,25.25,30.95,35.44,38.8,41.29,43.08,44.75,46.57,48.29,50.16,51.86,53.59,55.38,57.17,58.97,60.81,62.54,64.22,65.86,67.35,68.79,70.13,71.16
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,0.0,1.84,4.91,8.86,13.54,18.97,23.26,26.65,29.21,31.11,32.5,33.8,35.22,36.59,38.06,39.41,40.78,42.21,43.64,45.08,46.55,47.94,49.28,50.58,51.76,52.91,53.97,54.8
SOUTH RIBBLE,51.64,53.09,56.42,60.45,65.06,70.24,74.53,77.18,79.15,80.6,81.63,82.58,83.61,84.59,85.64,86.6,87.56,88.56,89.56,90.56,91.58,92.54,93.48,94.39,95.22,96.03,96.78,97.35
ST HELENS,0.0,0.46,2.23,4.22,6.4,8.75,10.83,11.67,12.3,12.77,13.1,13.41,13.75,14.07,14.42,14.73,15.05,15.38,15.71,16.04,16.38,16.7,17.01,17.31,17.59,17.85,18.1,18.29
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,0.0,3.35,8.95,16.14,24.68,34.56,42.35,48.47,53.04,56.39,58.78,60.99,63.39,65.66,68.11,70.34,72.59,74.93,77.26,79.61,82.01,84.25,86.45,88.58,90.52,92.42,94.17,95.51
TAMESIDE,0.0,3.46,10.16,18.5,28.23,39.34,48.29,54.58,59.26,62.68,65.08,67.29,69.69,71.94,74.38,76.58,78.79,81.09,83.38,85.67,88.02,90.22,92.37,94.47,96.37,98.23,99.95,101.25
TRAFFORD,51.64,52.65,54.34,56.51,59.08,62.08,64.45,66.36,67.83,68.96,69.82,70.65,71.57,72.46,73.43,74.34,75.27,76.24,77.23,78.22,79.23,80.19,81.11,81.99,82.8,83.58,84.3,84.88
WARRINGTON,0.0,0.37,1.0,1.8,2.75,3.86,4.73,5.41,5.92,6.29,6.55,6.79,7.05,7.3,7.57,7.81,8.06,8.31,8.56,8.82,9.08,9.32,9.56,9.79,10.0,10.21,10.4,10.54
WEST LANCASHIRE,51.64,53.04,55.37,58.37,61.94,66.06,69.32,71.87,73.78,75.19,76.19,77.11,78.12,79.07,80.11,81.04,81.99,82.97,83.95,84.93,85.94,86.88,87.8,88.7,89.51,90.3,91.04,91.6
WIGAN,0.0,3.48,9.3,16.77,25.64,35.9,44.0,50.36,55.11,58.59,61.07,63.37,65.86,68.22,70.77,73.08,75.41,77.83,80.25,82.68,85.17,87.49,89.76,91.98,93.98,95.94,97.75,99.13
WYRE,0.0,1.25,5.74,10.82,16.4,22.49,27.8,30.11,31.85,33.13,34.07,34.94,35.89,36.79,37.77,38.67,39.58,40.52,41.47,42.42,43.39,44.31,45.19,46.05,46.83,47.6,48.3,48.84
