Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,4861.2,6623.43,9232.74,12383.68,16221.09,20167.81,23931.98,28167.85,32211.86,35993.78,39573.87,44181.52,52581.18,60715.03,68239.86,75339.93,82020.88,88229.48,93909.11,98984.11,103624.54,108084.09,112402.57,116568.53,120554.2,124349.36,127728.24,127095.12
PRESTON,11110.21,15236.01,21428.82,28665.94,36952.2,45360.78,53528.9,62499.19,70999.85,79028.7,86610.38,95841.04,110696.14,124971.24,137950.06,149909.89,160941.8,171078.34,180133.44,188006.79,195227.8,202137.96,208914.1,215574.58,222043.39,228348.7,234015.98,233787.78
RIBBLE VALLEY,8394.37,10702.25,14298.27,18522.65,23391.88,28371.28,33256.72,38876.06,44265.39,49321.27,54126.48,59504.89,67444.48,75115.33,82064.61,88542.19,94547.26,99970.31,104856.99,109135.15,113024.25,116731.79,120315.26,123716.99,126950.28,130037.49,132830.34,132980.66
RICHMONDSHIRE,6.77,9.91,14.85,20.94,28.26,35.99,43.75,52.98,61.93,70.32,78.33,86.86,99.06,110.8,121.16,130.73,139.67,147.94,155.25,161.54,167.21,172.47,177.48,182.21,186.77,191.0,194.81,195.18
ROCHDALE,15071.19,20748.12,29577.89,40207.98,52709.75,65601.52,78244.28,92181.74,105390.14,117925.53,129797.53,144173.74,167067.51,189217.86,209511.92,228495.23,246089.52,262079.45,276562.22,289233.26,300951.94,312177.58,323021.75,333539.06,343708.22,353594.37,362583.33,362589.75
ROSSENDALE,62928.73,65040.58,68214.78,72054.99,76723.64,81564.57,86302.27,91668.09,96796.33,101681.71,106325.17,111993.72,120912.64,129485.29,137304.14,144597.9,151341.78,157466.45,163010.37,167918.54,172453.12,176749.54,180822.99,184692.63,188353.06,191859.13,194983.93,194876.31
SALFORD,15288.89,22485.69,33117.21,45742.35,60266.8,75251.13,90098.66,106536.26,122037.28,137068.33,151354.43,169029.49,194635.16,219022.2,240976.35,261061.87,279175.32,295190.73,309456.79,321721.47,332813.02,343100.15,353077.57,362728.12,371747.91,380304.54,387943.75,388461.39
SEFTON,0.29,0.44,0.66,0.91,1.19,1.46,1.73,2.05,2.37,2.66,2.94,3.24,3.66,4.07,4.43,4.77,5.08,5.37,5.63,5.86,6.07,6.26,6.4,6.55,6.7,6.85,6.99,7.01
SOUTH LAKELAND,34440.58,38536.14,44754.96,52061.16,61947.48,72100.9,81754.9,92005.8,101848.17,111006.84,119815.87,129985.93,146581.13,162605.56,177588.68,191721.29,205116.42,217589.61,229005.62,239103.25,248436.04,257332.46,266068.71,274796.58,283327.61,291621.21,299126.63,299786.87
SOUTH RIBBLE,8719.96,12023.9,17299.92,23627.46,30897.54,38375.92,45782.63,54184.34,62222.27,69809.01,76960.34,85231.37,97948.23,110232.54,121312.37,131682.7,141386.58,150302.27,158404.14,165599.57,172288.94,178630.03,184792.95,190738.63,196477.44,202003.36,206988.72,207120.22
ST HELENS,4918.55,6472.76,8980.07,12034.29,15659.3,19407.7,23093.62,27222.64,31156.07,34844.83,38323.63,42300.8,48413.8,54327.35,59667.54,64659.7,69321.95,73595.59,77442.09,80750.41,83794.06,86713.78,89577.74,92372.31,95096.8,97733.78,100139.89,100199.39
STAFFORDSHIRE MOORLANDS,0.57,0.85,1.28,1.79,2.39,3.01,3.62,4.32,4.98,5.6,6.2,6.86,7.86,8.83,9.7,10.52,11.29,11.98,12.61,13.15,13.65,14.1,14.53,14.95,15.35,15.75,16.11,16.13
STOCKPORT,23712.5,33457.66,47839.52,64657.34,83279.25,102241.0,121156.27,142908.46,163587.25,183481.35,202337.48,224930.12,257529.96,288552.43,316051.91,341123.19,363969.01,384505.47,402941.97,419104.82,433804.05,447554.51,460566.5,472828.06,484471.2,495478.49,505345.75,505680.68
TAMESIDE,14311.44,20722.51,30271.69,41913.8,55687.8,70026.97,84230.49,100006.43,114912.77,129316.9,142963.53,159836.77,184732.85,208276.0,229389.74,248651.1,266094.38,281646.07,295512.13,307466.9,318209.64,328254.5,337754.78,346652.9,354980.33,362796.81,369623.09,369273.7
TRAFFORD,17057.55,24469.05,35293.0,48099.58,62536.08,77355.14,92113.21,108898.03,124787.77,140098.41,154662.5,172406.02,197710.14,221772.5,243127.6,262626.59,280257.21,295912.4,309769.49,321670.38,332494.55,342355.64,351601.89,360402.12,368713.66,376579.61,383391.83,383461.76
WARRINGTON,1928.24,2678.46,3772.24,5057.31,6557.78,8062.22,9496.11,11132.98,12698.75,14148.83,15534.65,17125.23,19679.7,22123.75,24381.46,26507.12,28516.9,30372.49,32049.09,33480.02,34771.36,36020.96,37271.96,38496.1,39696.45,40863.19,41910.83,41935.06
WEST LANCASHIRE,10313.71,14284.91,20250.87,27286.13,35726.11,44415.76,52984.91,62576.93,71807.62,80732.83,89283.02,99121.78,112238.59,124657.66,135743.46,145913.42,155235.28,163586.64,171138.6,177743.66,183828.15,189415.4,194640.07,199596.77,204173.22,208470.3,212316.34,213241.29
WIGAN,22894.02,31677.75,45725.12,62824.67,83173.68,104285.63,125041.46,147914.04,169611.39,190166.07,209544.74,232593.14,268445.58,302939.6,334154.56,363208.19,390145.18,414722.9,436844.12,456131.75,473757.87,490445.26,506772.29,522628.16,537926.94,552599.22,565851.23,565703.27
WYRE,15521.16,19043.89,24636.66,31256.07,39160.7,47265.8,55178.43,63912.91,72270.67,80133.22,87611.84,96121.34,109148.25,121793.94,133337.5,144154.79,154228.34,163441.94,171805.16,179251.87,186190.61,192821.71,199182.55,205290.73,211266.02,217124.88,222485.78,222980.8
