Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,99005.06,98625.34,96593.08,94327.13,92534.01,91077.56,90183.87,89500.03,88904.87,88219.14,87679.84,87204.36,86781.94,86248.91,86107.73,85975.34,85772.79,85547.64,85544.85,85639.85,85694.46,85777.89,85878.32,86032.99,86163.76,86258.61,86341.69,86409.24
PRESTON,207075.66,206044.91,201973.59,197600.43,194175.52,191425.98,189862.89,188742.63,187901.14,186892.34,186087.74,185433.9,184909.98,184174.51,184225.67,184229.85,184013.34,183778.15,183978.37,184351.11,184611.53,184937.49,185290.57,185741.19,186091.53,186235.46,186327.71,186366.23
RIBBLE VALLEY,96337.05,96507.17,95102.22,93433.6,92233.64,91270.54,90829.43,90551.73,90343.24,90048.32,89849.45,89724.48,89657.67,89442.76,89623.85,89820.72,89961.77,90068.0,90373.78,90772.53,91121.33,91516.98,91929.6,92396.63,92841.92,93257.83,93663.44,94054.63
RICHMONDSHIRE,84.34,83.89,82.14,80.18,78.66,77.39,76.56,75.9,75.28,74.61,74.06,73.58,73.13,72.6,72.38,72.19,71.96,71.7,71.62,71.62,71.59,71.57,71.58,71.62,71.65,71.67,71.69,71.7
ROCHDALE,303154.97,303180.94,298536.45,293073.71,288971.07,285897.06,284474.15,283688.59,283160.29,282393.89,282002.0,281843.55,281829.09,281494.07,282456.41,283420.74,284092.22,284614.17,285840.4,287341.53,288659.25,290116.06,291621.13,293291.32,294827.32,296079.35,297262.19,298370.91
ROSSENDALE,95889.6,95820.44,94217.71,92307.26,90858.59,89720.82,89111.15,88725.16,88384.46,87960.1,87657.62,87419.99,87233.9,86930.3,87021.01,87144.45,87181.91,87185.84,87421.74,87736.54,88034.21,88346.66,88675.43,89057.7,89406.77,89691.74,89959.92,90208.71
SALFORD,465962.7,469031.46,465725.97,461453.88,458865.2,457625.61,458543.62,460291.77,462568.09,464616.11,467093.64,469768.2,472622.64,475163.03,479356.03,483345.77,486600.1,489509.73,493371.29,497350.74,500726.47,504571.5,508426.62,512434.79,516050.6,519051.73,521860.38,524469.8
SEFTON,3.42,3.39,3.3,3.22,3.14,3.08,3.04,3.01,2.97,2.94,2.91,2.89,2.86,2.84,2.82,2.81,2.79,2.78,2.77,2.77,2.76,2.76,2.75,2.75,2.75,2.74,2.74,2.74
SOUTH LAKELAND,195826.19,195315.59,191859.15,187899.0,184909.41,182463.08,180990.53,179829.75,178744.75,177527.66,176568.95,175764.99,175016.58,174074.93,173893.97,173733.35,173509.79,173165.12,173257.98,173530.6,173655.76,173874.08,174118.36,174454.26,174733.55,174917.56,175071.13,175188.44
SOUTH RIBBLE,172738.03,172020.05,168557.35,164662.47,161618.51,159108.36,157596.71,156400.01,155387.63,154292.92,153405.2,152707.2,152068.24,151271.84,151131.38,151039.33,150862.06,150604.28,150783.39,151087.13,151321.58,151613.34,151934.71,152348.07,152700.17,152922.92,153115.64,153275.2
ST HELENS,70487.44,70265.5,68911.62,67394.76,66216.22,65267.51,64704.02,64276.01,63922.21,63533.0,63222.32,63000.91,62800.96,62539.4,62574.26,62614.38,62619.64,62599.58,62756.72,62972.9,63152.4,63358.24,63576.55,63833.7,64067.42,64254.0,64429.23,64591.45
STAFFORDSHIRE MOORLANDS,9.25,9.26,9.13,8.96,8.84,8.75,8.71,8.68,8.67,8.64,8.62,8.61,8.61,8.6,8.62,8.64,8.66,8.67,8.71,8.75,8.79,8.83,8.87,8.92,8.96,8.99,9.03,9.06
STOCKPORT,378938.71,377729.57,370934.26,363278.8,357348.72,352647.96,350061.71,348260.04,346789.21,345114.11,343891.74,343002.05,342358.41,341296.01,341712.56,342232.16,342466.59,342540.7,343491.86,344812.75,345886.64,347069.07,348298.65,349707.48,350896.45,351583.85,352152.84,352604.69
TAMESIDE,336573.45,335483.02,329106.16,321994.49,316432.65,312028.08,309539.01,307742.28,306378.26,304744.85,303599.51,302746.93,302071.16,301145.54,301555.13,302009.74,302187.25,302230.3,303094.24,304226.82,305168.13,306237.05,307356.6,308649.38,309798.36,310646.07,311419.18,312112.54
TRAFFORD,321986.99,321619.68,316509.37,310631.71,306118.56,302737.93,301045.26,300029.46,299246.55,298260.4,297685.65,297380.17,297231.61,296747.37,297509.79,298378.91,298988.19,299396.16,300546.37,302007.33,303314.72,304673.44,306068.54,307612.56,308964.7,309897.36,310726.76,311452.95
WARRINGTON,35010.81,34864.98,34184.11,33416.65,32821.74,32327.44,32025.32,31792.09,31590.09,31368.35,31193.98,31055.18,30928.52,30769.32,30747.18,30731.21,30698.45,30650.29,30679.05,30738.69,30784.93,30842.84,30906.79,30989.24,31063.57,31124.45,31181.56,31233.73
WEST LANCASHIRE,160530.72,159551.97,156174.02,152427.83,149474.28,147035.98,145401.35,144135.17,143034.69,141839.82,140840.06,139958.56,139219.5,138333.25,138048.17,137798.87,137467.39,137118.41,137161.02,137332.97,137444.22,137582.02,137745.73,137990.67,138180.76,138255.34,138302.58,138319.67
WIGAN,437706.23,436337.89,428135.16,418824.16,411521.51,405732.85,402300.83,399719.51,397548.77,395129.67,393287.98,391912.98,390739.33,389168.96,389430.11,389764.46,389788.45,389637.07,390522.52,391765.81,392753.18,393922.5,395159.42,396622.4,397902.94,398792.94,399588.71,400284.01
WYRE,152880.97,152793.42,150347.02,147489.97,145367.38,143732.68,142875.23,142321.8,141840.04,141261.06,140909.06,140666.49,140532.6,140179.12,140442.73,140713.72,140850.35,140945.26,141341.61,141869.2,142290.54,142805.48,143344.3,143962.86,144518.84,144941.35,145331.81,145687.9
