Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ROCHDALE,32.35,34.86,43.59,57.27,66.24,75.0,83.34,86.74,90.08,93.31,96.43,99.68,102.91,105.0,107.12,108.74,109.88,110.24,110.52,110.58,110.96,110.38,110.89,112.23,114.01,116.49,119.17,120.64
ROSSENDALE,85.26,86.16,88.7,92.88,95.55,98.16,100.6,101.74,102.82,103.81,104.74,105.69,106.69,107.22,107.86,108.36,108.72,108.84,108.94,108.98,109.14,108.93,109.2,109.75,110.37,111.16,111.96,112.4
SALFORD,25.79,28.5,35.12,47.39,54.4,61.22,67.56,71.21,74.78,78.36,81.7,85.24,88.77,91.04,93.51,95.6,97.37,98.54,99.72,100.64,101.63,101.01,101.49,102.69,104.37,106.85,109.52,111.09
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,61.2,64.16,71.95,90.43,99.96,109.35,117.53,121.85,126.18,130.07,134.09,137.63,141.55,144.23,147.25,149.87,152.05,153.44,154.49,154.89,154.63,151.2,148.76,147.27,147.41,149.36,152.16,153.85
SOUTH RIBBLE,13.08,15.18,20.77,31.37,37.28,43.02,48.31,51.15,53.98,56.74,59.45,62.24,65.04,67.04,69.03,70.67,71.96,72.65,73.26,73.63,74.08,73.41,73.52,74.28,75.61,77.69,80.04,81.39
ST HELENS,40.36,41.42,44.37,52.3,55.98,59.62,62.73,64.23,65.73,67.0,68.32,69.5,70.62,71.32,71.83,71.95,71.61,70.72,69.5,67.96,66.02,61.83,60.59,60.29,60.54,61.32,62.37,62.92
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,28.74,33.41,44.65,66.5,78.29,89.68,100.19,106.54,112.87,119.33,125.56,132.15,138.84,143.95,149.31,154.29,158.96,162.7,166.49,169.37,171.33,168.78,166.11,164.51,165.37,169.1,174.08,177.17
TAMESIDE,46.69,49.97,56.38,70.48,77.77,84.9,91.28,95.43,99.37,103.13,106.52,110.03,113.42,115.04,116.89,118.0,118.42,117.97,117.32,116.42,115.82,113.52,113.1,113.78,115.0,117.17,119.51,120.77
TRAFFORD,96.21,98.55,104.16,117.77,124.15,130.36,135.84,139.29,142.81,146.28,149.77,153.32,156.88,159.75,162.52,165.0,167.15,168.65,169.92,170.48,169.99,165.9,162.28,159.52,158.87,160.38,163.01,164.63
WARRINGTON,6.02,6.58,8.87,12.75,15.25,17.71,20.0,20.79,21.58,22.28,23.0,23.66,24.39,24.88,25.43,25.91,26.3,26.52,26.62,26.47,25.82,22.86,22.67,23.1,23.59,24.21,24.85,25.24
WEST LANCASHIRE,66.44,69.51,76.7,91.47,99.04,106.27,112.86,117.14,121.53,125.85,130.29,134.78,139.47,143.37,147.3,150.99,154.42,157.09,159.74,161.75,163.18,160.98,161.4,162.95,165.46,169.15,173.35,175.93
WIGAN,39.1,43.61,58.35,86.89,103.2,119.28,134.0,140.1,146.08,151.65,157.02,162.38,167.57,170.73,173.75,175.64,176.34,175.47,173.97,171.62,168.61,159.89,157.38,157.32,158.84,162.24,166.38,168.64
WYRE,52.98,55.84,62.93,81.78,90.39,98.85,106.1,110.14,114.2,117.85,121.61,125.14,128.62,131.11,133.27,134.65,135.14,134.45,133.17,131.19,128.5,122.18,118.51,116.38,116.26,118.15,121.04,122.65
