Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,5907.64,8625.98,12918.41,18257.8,24096.5,30268.58,36898.68,44841.11,52784.28,60639.31,68286.22,75745.59,84093.07,92265.73,99240.43,105596.76,111130.79,116006.46,120001.11,123310.32,126018.19,128214.86,129981.41,131249.27,132325.35,133247.73,134048.5,134756.85
PRESTON,15670.15,22445.99,32429.94,45017.38,59027.5,74220.23,91083.29,111637.28,133140.31,155408.14,178077.48,200948.22,225985.3,250518.07,272082.47,291737.66,308956.55,324055.42,336556.92,346917.5,355383.29,362230.46,367717.95,371776.77,375138.08,377950.06,380323.79,382365.56
RIBBLE VALLEY,7970.23,10791.23,15416.7,21329.0,27868.5,34872.58,42499.29,51718.27,61061.39,70430.92,79682.49,88805.56,98953.06,108893.38,117447.1,125236.59,132020.17,137975.22,142854.66,146883.54,150165.54,152813.47,154931.01,156453.95,157734.21,158821.52,159758.53,160582.53
RICHMONDSHIRE,13.12,18.85,27.93,40.23,55.26,73.56,96.01,124.77,157.5,194.05,233.75,275.56,320.0,363.55,402.99,438.62,469.57,495.96,517.43,534.58,547.97,558.22,566.0,571.61,576.0,579.51,582.42,584.91
ROCHDALE,18521.38,26839.15,39757.4,55927.18,73888.26,93356.54,114999.38,141476.24,169190.99,197891.28,227084.67,256540.49,288845.8,320505.15,348289.95,373566.18,395635.54,414906.63,430757.34,443791.74,454351.44,462822.75,469568.56,474517.72,478637.37,482124.85,485117.97,487743.83
ROSSENDALE,7158.15,9911.1,14472.87,20211.46,26511.15,33209.61,40461.09,49208.87,58024.19,66809.03,75422.89,83878.65,93325.33,102579.78,110512.2,117735.4,124020.87,129543.53,134061.6,137791.29,140831.01,143287.72,145258.51,146676.6,147881.45,148919.44,149826.14,150634.16
SALFORD,21772.76,30847.75,45361.03,63723.92,84333.37,106988.62,132547.22,164100.71,197597.36,232748.93,268934.03,305757.79,345945.43,385339.18,420118.33,451707.94,479252.08,503185.81,522812.19,538848.35,551737.58,561987.91,570084.15,576011.77,580914.98,585053.82,588609.31,591740.15
SEFTON,0.55,0.73,1.05,1.46,1.92,2.43,2.99,3.66,4.34,5.02,5.7,6.36,7.1,7.82,8.43,8.99,9.48,9.9,10.24,10.52,10.74,10.91,11.05,11.15,11.22,11.29,11.35,11.4
SOUTH LAKELAND,14353.78,19898.29,28814.31,40403.96,53446.78,67699.09,83439.89,102562.5,122200.78,142172.39,162189.76,182111.14,204048.06,225525.52,244126.77,261020.77,275687.98,288460.06,298863.39,307362.9,314192.21,319608.85,323858.53,326855.31,329314.17,331343.26,333058.58,334545.2
SOUTH RIBBLE,13703.94,19310.21,28313.5,39790.27,52726.31,66992.07,83095.62,102951.7,123974.79,145982.4,168594.94,191563.32,216630.28,241194.55,262839.06,282487.7,299598.02,314447.65,326598.32,336507.79,344453.41,350752.02,355706.87,359305.85,362270.61,364759.21,366889.94,368761.35
ST HELENS,5172.72,7668.62,11496.49,16345.5,21864.62,28048.34,35141.04,43946.31,53445.28,63564.56,74126.32,84969.81,96709.58,108214.28,118445.6,127728.05,135819.55,142822.41,148562.22,153234.61,156970.35,159920.93,162233.33,163925.11,165305.44,166453.41,167427.53,168276.41
STAFFORDSHIRE MOORLANDS,1.07,1.43,2.02,2.77,3.59,4.47,5.42,6.55,7.7,8.85,9.97,11.08,12.31,13.52,14.55,15.5,16.32,17.05,17.65,18.15,18.55,18.88,19.15,19.34,19.5,19.63,19.75,19.85
STOCKPORT,30890.79,44098.38,63943.86,88457.19,115012.01,142775.2,172475.29,208036.95,243832.39,279487.46,314436.42,348760.0,387099.3,424670.06,457030.52,486657.94,512690.01,535843.23,555125.08,571352.08,584867.68,596038.68,605185.49,611983.85,617763.6,622716.36,626966.98,630666.24
TAMESIDE,19302.55,28421.87,42537.38,59821.73,78518.9,98061.15,118905.27,143816.39,168677.41,193204.08,217001.55,240190.87,266226.44,291730.7,313521.28,333432.83,350848.43,366294.08,379054.24,389727.56,398563.57,405828.44,411754.65,416102.6,419831.66,423066.07,425885.99,428383.64
TRAFFORD,27851.37,36724.34,51912.5,71429.2,93312.93,117308.84,144431.82,178074.38,213833.55,251392.75,290062.77,329461.62,372559.62,414830.31,452160.07,486073.23,515650.87,541360.91,562447.07,579677.48,593532.18,604563.07,613293.72,619709.27,625045.77,629589.62,633522.8,637011.26
WARRINGTON,3141.85,4197.19,6013.12,8346.27,10946.47,13765.01,16899.13,20750.18,24764.34,28903.39,33095.9,37314.71,41961.19,46516.35,50496.16,54111.48,57257.13,59995.11,62231.44,64057.32,65524.53,66691.58,67613.62,68279.98,68836.06,69309.71,69720.99,70086.98
WEST LANCASHIRE,12395.43,17026.89,24726.43,34688.66,46006.65,58597.81,72929.68,90700.55,109650.93,129622.91,150271.4,171333.34,194263.64,216736.97,236588.34,254588.53,270240.67,283777.97,294821.0,303780.25,310916.87,316531.11,320913.01,324075.05,326663.2,328824.87,330674.26,332301.33
WIGAN,31908.36,46850.81,69881.11,98520.13,130084.07,163897.11,200907.34,245722.87,291728.01,338463.74,385163.6,431656.42,483035.04,533363.48,577070.25,616875.55,651620.86,682097.82,707169.24,727887.04,744776.42,758418.59,769349.38,777326.94,784019.91,789711.22,794608.77,798908.22
WYRE,12357.81,17463.58,25524.28,35601.84,46588.6,58143.01,70503.12,85293.68,100042.22,114584.31,128698.62,142440.31,157856.82,172955.75,185831.86,197587.05,207847.48,216925.12,224396.88,230623.3,235753.67,239946.58,243342.88,245802.91,247897.57,249695.88,251253.7,252626.26
