Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ROCHDALE,1.26,1.27,1.29,1.31,1.52,1.74,1.92,2.07,2.22,2.31,2.44,2.5,2.63,2.74,2.91,3.1,3.3,3.49,3.68,3.86,4.03,4.2,4.36,4.52,4.67,4.82,4.97,5.09
ROSSENDALE,106.3,106.32,106.36,106.39,106.72,107.07,107.37,107.6,107.83,107.98,108.16,108.29,108.5,108.71,109.0,109.31,109.64,109.98,110.31,110.64,110.96,111.28,111.6,111.91,112.22,112.53,112.84,113.07
SALFORD,0.0,0.0,0.0,0.0,0.03,0.07,0.09,0.1,0.12,0.12,0.13,0.11,0.12,0.11,0.13,0.15,0.18,0.2,0.22,0.23,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.23
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,42.13,42.27,42.55,42.83,45.25,47.79,50.05,52.08,54.19,55.98,58.0,59.51,61.49,63.31,65.52,67.84,70.22,72.57,74.85,77.07,79.31,81.45,83.59,85.72,87.82,89.91,92.01,93.59
SOUTH RIBBLE,0.03,0.03,0.03,0.03,0.09,0.15,0.19,0.22,0.26,0.25,0.28,0.24,0.26,0.25,0.28,0.33,0.38,0.42,0.46,0.48,0.5,0.51,0.52,0.53,0.53,0.52,0.52,0.52
ST HELENS,1.07,1.07,1.08,1.09,1.2,1.32,1.41,1.49,1.58,1.63,1.7,1.72,1.79,1.84,1.93,2.03,2.13,2.23,2.32,2.41,2.49,2.56,2.64,2.71,2.77,2.83,2.9,2.95
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,0.02,0.02,0.02,0.02,0.08,0.14,0.18,0.21,0.25,0.24,0.27,0.23,0.24,0.23,0.27,0.31,0.36,0.4,0.43,0.46,0.48,0.48,0.49,0.49,0.49,0.48,0.48,0.47
TAMESIDE,0.03,0.03,0.03,0.03,0.09,0.15,0.2,0.23,0.26,0.25,0.28,0.25,0.26,0.26,0.3,0.34,0.39,0.44,0.47,0.5,0.52,0.54,0.55,0.56,0.57,0.57,0.57,0.57
TRAFFORD,0.0,0.0,0.0,0.0,0.03,0.07,0.09,0.1,0.12,0.12,0.13,0.11,0.12,0.11,0.13,0.15,0.18,0.2,0.22,0.23,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.23
WARRINGTON,0.0,0.0,0.0,0.0,0.07,0.15,0.2,0.24,0.28,0.27,0.31,0.25,0.27,0.26,0.3,0.35,0.41,0.47,0.5,0.53,0.55,0.56,0.57,0.57,0.56,0.55,0.54,0.53
WEST LANCASHIRE,2.44,2.5,2.61,2.73,3.68,4.69,5.59,6.41,7.26,8.0,8.82,9.46,10.28,11.03,11.92,12.84,13.79,14.72,15.64,16.53,17.43,18.3,19.17,20.04,20.9,21.76,22.62,23.26
WIGAN,0.56,0.57,0.6,0.63,0.91,1.22,1.47,1.69,1.93,2.09,2.31,2.43,2.64,2.82,3.07,3.33,3.61,3.88,4.13,4.38,4.62,4.84,5.06,5.27,5.48,5.69,5.9,6.05
WYRE,7.17,7.21,7.29,7.37,8.03,8.74,9.36,9.9,10.47,10.93,11.46,11.85,12.39,12.88,13.49,14.13,14.8,15.45,16.09,16.72,17.34,17.95,18.55,19.15,19.74,20.33,20.92,21.36
