Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
RIBBLE VALLEY,130.72,290.63,421.43,555.52,695.81,842.99,996.44,1157.3,1307.51,1466.93,1621.82,1816.48,2002.63,2174.11,2331.64,2475.43,2605.15,2722.24,2836.36,2947.2,3054.1,3157.66,3257.4,3353.11,3444.62,3531.69,3614.11,3691.64
RICHMONDSHIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCHDALE,587.45,1566.63,2501.67,3508.31,4594.18,5762.11,7005.98,8335.03,9619.9,10999.92,12376.14,14088.04,15768.18,17371.51,18895.04,20330.99,21672.85,22928.86,24185.24,25435.12,26664.63,27900.36,29128.41,30347.55,31556.53,32753.99,33938.53,35108.65
ROSSENDALE,234.92,843.91,1496.42,2210.34,2982.49,3811.0,4689.74,5624.26,6522.56,7478.82,8425.32,9591.77,10727.98,11799.34,12803.36,13741.8,14607.43,15406.48,16195.76,16969.17,17726.91,18470.77,19198.1,19907.8,20598.73,21269.66,21919.31,22546.31
SALFORD,1600.96,5472.86,9570.45,14058.94,18922.45,24155.35,29707.1,35626.28,41359.33,47499.86,53612.75,61169.48,68573.35,75633.38,82313.86,88582.39,94409.24,99831.52,105227.56,110546.3,115741.12,120942.23,126076.45,131137.81,136120.02,141016.46,145820.17,150523.77
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,121.63,197.79,226.31,246.54,263.36,278.32,291.86,304.69,312.7,321.46,328.13,341.44,351.53,358.11,361.89,363.32,362.85,360.77,358.66,356.47,354.0,351.54,348.97,346.29,343.49,340.57,337.52,334.34
SOUTH RIBBLE,158.82,291.33,371.64,447.15,523.4,601.91,683.13,767.88,845.29,928.7,1009.43,1115.4,1215.96,1308.69,1393.5,1471.21,1542.16,1606.55,1671.45,1735.35,1797.81,1860.57,1922.69,1984.12,2044.77,2104.57,2163.43,2221.27
ST HELENS,82.76,134.81,154.52,168.69,180.55,191.19,200.74,209.85,215.76,222.25,227.27,237.0,244.52,249.69,252.92,254.51,254.77,253.95,253.15,252.26,251.19,250.14,249.02,247.83,246.57,245.23,243.82,242.33
STAFFORDSHIRE MOORLANDS,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
STOCKPORT,2152.14,6103.35,9966.96,14114.96,18561.91,23302.25,28253.67,33498.57,38511.61,43856.8,49131.57,55685.28,62056.39,68049.58,73653.31,78874.77,83699.62,88152.19,92564.91,96915.67,101155.96,105343.22,109449.64,113469.84,117398.14,121228.57,124954.81,128570.18
TAMESIDE,1211.53,4763.13,8641.67,12890.37,17475.58,22384.41,27579.25,33084.52,38381.54,44011.52,49581.21,56447.93,63130.16,69443.11,75360.34,80877.13,85974.99,90679.59,95331.44,99897.48,104352.73,108742.31,113039.48,117238.91,121334.99,125321.79,129193.06,132942.16
TRAFFORD,1358.14,5089.24,9126.13,13549.15,18330.77,23460.57,28901.94,34683.22,40249.04,46179.94,52058.17,59312.91,66388.54,73079.59,79364.88,85250.21,90712.04,95762.65,100767.97,105707.24,110549.78,115324.54,120014.06,124612.7,129114.47,133513.09,137801.92,141973.92
WARRINGTON,2.52,4.1,4.69,5.12,5.48,5.8,6.1,6.38,6.56,6.76,6.92,7.23,7.46,7.62,7.73,7.78,7.8,7.78,7.76,7.74,7.71,7.68,7.66,7.63,7.6,7.56,7.53,7.49
WEST LANCASHIRE,644.75,2267.68,3986.8,5857.26,7871.25,10022.28,12290.63,14693.11,16996.84,19444.96,21859.58,24836.82,27736.63,30468.27,33020.16,35396.21,37593.06,39627.14,41647.27,43632.6,45572.96,47482.35,49354.82,51188.46,52981.28,54731.16,56435.88,58093.07
WIGAN,651.58,2118.98,3635.53,5278.96,7044.5,8929.79,10920.69,13026.63,15042.05,17185.18,19298.86,21914.56,24452.41,26840.17,29075.16,31152.86,33069.17,34832.24,36572.38,38278.25,39938.51,41572.7,43169.35,44726.34,46241.39,47712.13,49136.03,50510.44
WYRE,65.59,106.68,122.11,133.09,142.23,150.41,157.83,164.93,169.45,174.4,178.25,185.72,191.52,195.38,197.72,198.79,198.78,197.94,197.05,196.1,195.04,194.0,192.91,191.76,190.57,189.32,188.01,186.65
