Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,1453.9,2497.35,3556.19,5363.49,8222.93,11060.21,16305.82,30717.36,44990.58,58987.28,72727.65,86220.17,99186.7,112030.07,124909.55,137359.43,149212.24,160327.61,170355.71,179601.15,188185.13,196358.61,194382.27,192509.69,190599.42,188669.31,186709.77,184555.42
PRESTON,4034.52,6407.07,8925.2,12981.14,18981.28,24843.73,33883.68,55608.1,77105.07,98103.51,118588.86,138658.08,157741.5,176561.59,195511.36,213609.06,230533.26,246173.66,259740.91,271804.76,282986.76,293177.2,289967.23,287001.42,284037.48,281138.68,278210.6,275007.28
RIBBLE VALLEY,1455.46,2747.47,4429.59,6888.57,10106.28,13242.44,17758.62,27912.14,37943.81,47780.58,57417.02,66919.4,76025.42,85177.38,94454.91,103353.41,111640.98,119076.36,125456.26,131340.68,136894.37,142106.38,141212.99,140431.56,139629.84,138823.02,137975.78,136970.27
RICHMONDSHIRE,1.65,2.76,3.85,6.1,9.11,11.98,16.51,27.82,39.05,50.11,61.0,71.76,81.97,92.1,102.35,112.18,121.57,130.47,137.7,144.41,150.83,156.71,155.24,153.93,152.58,151.22,149.78,148.12
ROCHDALE,4950.29,8167.58,12100.18,18571.42,28253.25,38020.18,52810.08,86951.88,120774.78,153970.89,186507.98,218509.78,249260.93,279890.93,310910.49,340771.73,368713.11,394095.85,416473.1,436513.05,455084.87,472441.53,469026.41,465925.48,462808.57,459768.71,456687.27,453191.98
ROSSENDALE,1597.8,2704.09,3932.58,5946.02,9018.39,12068.57,17149.93,30026.33,42680.49,55005.61,66998.95,78691.13,89808.97,100774.14,111742.26,122245.84,132029.55,140885.2,148686.6,155685.03,162127.73,168063.06,166027.1,164116.27,162199.87,160301.87,158393.99,156337.85
SALFORD,9134.11,13343.99,18507.41,26175.17,37105.29,47820.4,63116.73,96848.94,129530.29,160859.46,190814.24,219590.49,246378.44,272484.37,298323.68,322367.68,343896.91,362391.0,377607.68,390128.29,401003.73,410202.46,402459.67,395127.52,387928.66,380941.61,374010.41,366823.37
SEFTON,0.07,0.13,0.18,0.28,0.4,0.52,0.69,1.11,1.53,1.93,2.33,2.72,3.09,3.46,3.83,4.19,4.53,4.84,5.11,5.35,5.58,5.79,5.74,5.69,5.65,5.6,5.55,5.5
SOUTH LAKELAND,4329.29,7145.96,9950.59,14958.08,21678.9,28171.17,37960.6,61241.95,84416.91,107228.05,129710.93,151962.29,172952.22,193893.82,215286.18,235826.25,255363.57,273506.59,288548.12,302555.44,315993.61,327945.69,325491.22,323439.55,321348.2,319272.64,317079.86,314399.59
SOUTH RIBBLE,2288.05,3899.55,5855.3,9021.62,13480.82,17805.52,24702.77,41471.56,58135.14,74575.8,90758.51,106776.4,122173.71,137556.56,153082.98,168128.99,182438.92,195692.03,207387.57,218121.14,228293.52,237914.81,236425.83,235095.63,233746.18,232423.29,231049.06,229453.06
ST HELENS,1055.37,1809.56,2749.04,4243.18,6483.85,8690.75,12097.94,20233.1,28311.48,36273.22,44098.25,51849.36,59326.5,66795.86,74377.79,81727.48,88721.4,95187.2,100989.55,106218.97,111117.86,115817.1,115177.06,114603.99,114020.44,113444.8,112850.24,112155.11
STAFFORDSHIRE MOORLANDS,0.19,0.32,0.48,0.73,1.1,1.47,2.01,3.26,4.49,5.71,6.91,8.09,9.23,10.37,11.52,12.63,13.68,14.64,15.48,16.24,16.95,17.62,17.51,17.42,17.32,17.22,17.12,17.0
STOCKPORT,7210.23,11051.25,15399.43,22708.31,33179.01,43406.53,59850.41,99505.94,138173.26,175531.15,211527.56,246305.12,279178.93,311154.0,342632.21,372309.88,399427.97,423794.17,444306.11,462187.51,478174.24,492561.22,484186.4,476126.24,468138.67,460352.19,452587.0,444583.54
TAMESIDE,5236.28,8326.56,11866.85,17896.61,27074.17,36077.85,49956.87,82891.5,114801.23,145320.52,174504.26,202453.39,228609.9,253919.71,278769.37,301962.95,322888.57,341244.13,356500.63,369072.18,379827.73,389324.35,381164.51,373307.63,365525.76,357882.96,350308.05,342547.18
TRAFFORD,7109.1,11103.53,15068.46,21312.12,30272.8,39023.28,52589.43,84696.11,115884.62,145817.59,174488.69,202046.77,227400.47,251922.26,276224.28,298835.17,319179.08,336791.14,351248.33,363616.92,374705.52,383287.14,375422.1,368073.01,360817.45,353755.17,346712.34,339311.73
WARRINGTON,641.56,1040.6,1380.31,1986.09,2966.16,3910.5,5356.38,8961.72,12553.14,16089.98,19580.04,23043.5,26314.67,29579.56,32940.6,36195.97,39320.1,42220.79,44773.31,47085.83,49303.38,51311.87,51031.69,50821.89,50610.95,50407.44,50188.52,49895.76
WEST LANCASHIRE,2833.05,4684.18,6666.76,9840.19,14217.92,18343.03,24130.95,37293.8,49922.01,61868.07,73146.0,83825.37,93554.23,102890.74,112023.0,120334.24,127673.76,133870.21,138527.67,142201.63,145282.12,147651.58,143688.98,139906.44,136155.12,132455.12,128758.62,124962.94
WIGAN,7147.66,11788.44,17390.12,26427.64,40072.88,53500.2,74265.95,124060.98,173169.66,221218.26,268181.22,314299.27,358481.91,402217.03,446297.83,488700.55,528594.56,565186.62,597460.58,626057.92,652399.98,677314.77,670984.61,665077.48,659153.73,653344.73,647469.02,641056.3
WYRE,3101.99,5265.75,7904.11,12001.04,17438.72,22774.96,30528.85,47905.22,65178.73,82202.48,99001.41,115620.45,131612.92,147666.95,163976.01,179672.03,194327.6,207678.17,219121.44,229677.05,239711.88,249081.25,247888.18,246894.01,245888.81,244930.25,243917.56,242655.24
