Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
RIBBLE VALLEY,39.26,81.3,114.07,146.05,177.92,210.51,243.66,277.61,315.27,355.88,396.25,447.27,497.13,544.37,589.13,631.46,671.23,708.59,746.04,783.52,820.99,858.25,895.48,932.55,969.45,1006.14,1042.56,1078.7
RICHMONDSHIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCHDALE,127.7,301.64,456.41,614.16,775.26,942.3,1114.0,1291.09,1490.8,1707.03,1924.62,2196.87,2466.51,2725.9,2975.1,3213.94,3441.38,3657.73,3875.54,4094.6,4314.63,4536.19,4758.32,4981.04,5204.16,5427.48,5650.77,5873.83
ROSSENDALE,50.9,174.13,304.93,443.92,588.37,739.06,894.31,1054.54,1234.7,1429.38,1625.84,1869.07,2110.72,2344.13,2568.86,2784.61,2990.23,3185.99,3382.89,3580.62,3778.98,3978.09,4177.52,4377.16,4576.84,4776.38,4975.58,5174.25
SALFORD,541.02,1688.73,2883.37,4156.38,5489.08,6891.99,8343.83,9858.46,11556.45,13399.92,15269.81,17591.75,19912.81,22165.31,24341.61,26435.33,28440.82,30358.48,32289.98,34230.36,36178.27,38158.72,40140.17,42130.09,44126.65,46127.98,48132.15,50137.21
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,81.01,130.18,149.2,161.47,170.37,177.78,184.02,189.56,196.95,204.87,211.51,222.57,231.67,238.53,243.6,247.16,249.41,250.56,251.63,252.61,253.5,254.29,254.99,255.6,256.12,256.54,256.88,257.13
SOUTH RIBBLE,41.98,83.37,113.85,143.05,171.88,201.26,231.08,261.56,295.8,332.8,369.57,416.29,461.93,505.23,546.32,585.15,621.66,655.99,690.46,725.02,759.64,794.31,828.98,863.63,898.23,932.73,967.11,1001.34
ST HELENS,18.83,30.27,34.72,37.59,39.67,41.4,42.84,44.12,45.85,47.72,49.31,51.92,54.1,55.76,57.0,57.9,58.49,58.83,59.16,59.47,59.75,60.01,60.26,60.48,60.68,60.86,61.02,61.16
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
STOCKPORT,1151.41,2645.83,3930.87,5215.86,6506.22,7823.36,9138.87,10472.88,12023.73,13696.28,15368.72,17467.16,19531.11,21505.24,23389.19,25183.51,26881.01,28486.54,30099.44,31718.27,33341.17,34958.44,36578.46,38196.61,39811.36,41421.16,43024.42,44619.51
TAMESIDE,275.34,1060.08,1910.89,2811.53,3740.74,4700.39,5677.54,6673.7,7815.83,9047.24,10287.13,11820.52,13341.75,14807.35,16214.7,17561.03,18840.96,20055.98,21274.91,22496.44,23718.81,24942.61,26165.62,27387.04,28605.78,29820.71,31030.67,32234.46
TRAFFORD,375.68,1243.11,2159.39,3134.47,4150.32,5213.94,6314.34,7453.02,8727.13,10107.67,11501.76,13231.49,14951.22,16615.71,18224.57,19773.18,21253.28,22666.11,24090.5,25525.94,26969.88,28413.32,29864.41,31318.79,32775.1,34231.96,35687.94,37141.59
WARRINGTON,0.58,0.92,1.06,1.14,1.21,1.26,1.3,1.34,1.39,1.44,1.49,1.57,1.63,1.68,1.71,1.74,1.75,1.76,1.77,1.78,1.78,1.79,1.79,1.8,1.8,1.81,1.81,1.81
WEST LANCASHIRE,331.31,1181.54,2093.76,3062.37,4067.54,5111.91,6183.77,7284.66,8522.35,9851.53,11182.99,12827.09,14454.97,16015.71,17503.27,18914.53,20251.68,21519.35,22791.77,24065.86,25341.22,26595.87,27853.03,29103.62,30346.42,31580.18,32803.65,34015.56
WIGAN,152.66,463.97,781.49,1115.33,1460.25,1818.67,2186.81,2565.48,2991.81,3452.27,3915.94,4491.26,5061.76,5611.07,6138.58,6643.72,7124.1,7580.29,8038.34,8497.76,8957.93,9418.27,9878.71,10338.7,10797.79,11255.53,11711.46,12165.12
WYRE,19.09,30.53,34.79,37.45,39.32,40.84,42.07,43.12,44.76,46.51,47.98,50.46,52.5,54.03,55.15,55.93,56.41,56.64,56.84,57.03,57.19,57.36,57.49,57.61,57.71,57.79,57.85,57.89
