Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,4861.2,6630.82,9299.46,12698.4,16796.94,21241.63,26832.47,36530.34,46019.28,55146.41,63730.8,71921.14,80113.08,88063.8,95473.41,102485.5,109095.5,115244.96,120693.26,125625.66,130101.86,134226.21,134352.12,134379.18,134331.95,134245.37,134088.36,133766.28
PRESTON,11110.21,15252.43,21573.12,29355.59,38240.15,47923.42,59446.84,76987.48,94109.39,110592.6,125774.79,140296.48,154741.4,168644.36,181369.43,193118.76,203955.94,213909.87,222419.88,229884.85,236678.68,242782.08,243511.7,244079.22,244545.01,245041.46,245454.86,245560.02
RIBBLE VALLEY,8394.37,10712.18,14379.01,18897.2,23995.22,29439.46,35690.67,44939.87,53965.97,62607.71,70683.07,78373.57,86165.28,93702.24,100575.57,107003.12,112960.66,118347.26,122970.96,127113.82,130895.18,134326.47,135277.22,136040.69,136656.68,137198.98,137681.65,137989.34
RICHMONDSHIRE,6.77,9.93,15.0,21.59,29.19,37.35,46.59,60.04,73.28,85.95,97.96,109.39,121.41,132.98,143.25,152.78,161.67,169.92,176.77,182.86,188.43,193.37,195.17,196.65,197.94,198.98,199.89,200.45
ROCHDALE,15071.19,20771.53,29782.82,41169.35,54501.98,68917.29,86005.02,112279.68,137920.88,162675.41,185824.6,208203.62,230526.58,252155.89,272089.45,290778.83,308112.12,323864.56,337583.76,349652.82,360720.63,370799.31,372413.05,373661.08,374719.93,375798.08,376791.72,377345.28
ROSSENDALE,62928.73,65049.17,68282.71,72367.87,77299.09,82615.25,88966.72,99046.81,108850.89,118292.74,127152.36,135787.94,144417.4,152723.55,160341.77,167461.5,174048.1,180025.97,185263.5,189935.79,194219.22,198098.85,198732.76,199226.12,199615.75,199998.34,200324.49,200460.94
SALFORD,15288.89,22510.86,33325.66,46694.18,61992.56,78272.56,97193.03,125449.04,152760.29,179216.65,203929.09,228793.34,253281.19,276617.22,297700.52,316990.44,334342.62,349621.82,362699.64,373942.01,383995.3,392750.51,394679.23,396379.73,397751.49,399104.64,400445.99,401485.77
SEFTON,0.29,0.44,0.66,0.93,1.22,1.52,1.85,2.34,2.82,3.28,3.7,4.11,4.53,4.93,5.29,5.62,5.93,6.22,6.47,6.68,6.89,7.07,7.09,7.12,7.15,7.18,7.21,7.24
SOUTH LAKELAND,34440.58,38552.08,44997.6,53247.43,63853.15,75456.18,88864.05,108318.16,127456.15,145815.72,162909.69,178896.75,195124.43,210838.27,225691.18,239744.31,253058.34,265440.08,276006.13,285652.55,294666.51,302655.32,304862.47,306961.99,308856.11,310648.87,312318.85,313301.16
SOUTH RIBBLE,8719.96,12038.47,17425.22,24214.81,31973.46,40346.92,50173.72,64952.37,79387.32,93285.69,106248.72,118654.9,131144.81,143221.53,154176.06,164454.23,174080.04,182931.22,190617.13,197493.06,203843.8,209595.37,210871.6,211916.63,212796.54,213576.06,214181.73,214531.01
ST HELENS,4918.55,6479.92,9029.49,12262.54,16087.12,20238.53,25063.34,32257.11,39272.77,45997.96,52263.84,58222.8,64233.77,70053.21,75335.54,80286.6,84915.49,89165.38,92863.33,96062.6,98980.57,101664.69,102202.66,102652.19,103054.67,103426.61,103737.2,103910.57
STAFFORDSHIRE MOORLANDS,0.57,0.85,1.28,1.83,2.45,3.09,3.81,4.92,6.0,7.03,8.03,8.99,9.98,10.93,11.8,12.61,13.37,14.07,14.66,15.19,15.67,16.08,16.17,16.24,16.3,16.36,16.42,16.45
STOCKPORT,23712.5,33497.31,48136.64,66026.18,85833.1,107051.2,131919.68,169076.74,205063.08,239803.28,271924.57,303544.56,334950.96,364831.94,391363.7,415570.15,437585.21,457361.44,474377.3,489294.54,502721.8,514769.78,517432.02,519492.19,521266.36,522909.37,524356.77,525328.42
TAMESIDE,14311.44,20746.03,30483.29,42891.55,57477.26,73230.72,91746.46,119726.11,146714.95,172748.06,196904.49,220929.17,244662.07,267097.41,287251.17,305632.89,322232.03,336989.82,349640.17,360538.25,370198.29,378819.28,380192.58,381148.41,381900.52,382632.03,383215.37,383434.94
TRAFFORD,17057.55,24498.45,35503.1,49049.07,64269.43,80521.25,99569.73,128256.57,155969.15,182700.89,207558.29,232311.79,256411.64,279348.49,299798.77,318470.22,335312.11,350186.32,362835.06,373711.99,383533.37,391766.31,393144.01,394244.36,395157.16,396062.91,396923.33,397471.07
WARRINGTON,1928.24,2681.8,3796.27,5166.79,6742.09,8397.56,10315.82,13312.81,16246.91,19047.35,21683.68,24172.68,26669.98,29065.75,31303.48,33415.42,35414.39,37255.34,38852.85,40241.41,41492.11,42602.95,42807.91,42971.22,43110.12,43232.53,43336.29,43389.57
WEST LANCASHIRE,10313.71,14298.71,20384.27,27929.5,36872.93,46783.84,58049.54,73398.83,88248.24,102528.78,115456.73,128015.6,140556.16,152426.24,163047.43,172786.4,181687.33,189636.92,196524.09,202605.9,208203.98,213107.49,215257.97,217237.69,218974.42,220627.69,222181.38,223265.07
WIGAN,22894.02,31715.11,46025.71,64225.91,85778.19,109190.84,136698.66,178204.79,218591.76,257471.39,293682.4,328613.94,363562.59,397216.64,427816.49,456358.99,482832.61,507002.06,527975.07,546359.35,562996.05,578050.85,580586.07,582620.26,584347.39,585900.45,587149.45,587767.33
WYRE,15521.16,19058.41,24787.78,31985.13,40470.25,49772.16,60527.36,75972.83,91067.6,105567.79,118962.21,131588.71,144376.9,156807.91,168232.02,178966.32,188961.97,198107.4,205969.47,213060.23,219658.22,225631.53,227218.6,228503.04,229669.02,230819.67,231873.26,232574.62
