Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ROCHDALE,18.63,21.05,25.14,30.44,37.48,47.91,63.78,78.54,92.26,104.5,113.75,116.31,118.99,121.57,124.24,126.74,129.23,131.67,134.03,136.24,138.36,140.25,142.03,143.75,145.31,146.83,148.23,149.29
ROSSENDALE,8.28,47.39,113.43,197.26,308.25,476.43,736.96,976.69,1198.14,1393.52,1537.31,1565.22,1594.65,1623.77,1654.02,1681.34,1708.74,1735.79,1762.02,1787.34,1811.98,1835.65,1858.67,1881.05,1902.71,1923.81,1944.39,1959.5
SALFORD,0.0,2.87,7.7,13.99,22.33,34.7,53.5,71.0,87.28,101.8,112.78,115.86,119.07,122.17,125.38,128.4,131.38,134.33,137.17,139.82,142.36,144.63,146.77,148.82,150.69,152.5,154.18,155.45
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,0.0,2.15,5.79,10.52,16.83,26.18,40.39,53.65,65.99,77.03,85.42,87.87,90.43,92.91,95.48,97.9,100.3,102.66,104.93,107.05,109.05,110.83,112.49,114.09,115.54,116.94,118.24,119.22
SOUTH RIBBLE,51.64,53.34,57.11,61.74,67.57,75.76,87.75,98.05,107.61,116.12,122.54,124.25,126.04,127.77,129.55,131.22,132.87,134.5,136.07,137.55,138.98,140.27,141.48,142.66,143.73,144.77,145.73,146.45
ST HELENS,0.0,0.54,2.45,4.63,7.2,10.53,15.06,18.35,21.4,24.13,26.19,26.75,27.35,27.92,28.51,29.07,29.61,30.16,30.68,31.17,31.64,32.06,32.45,32.83,33.18,33.52,33.83,34.06
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
STOCKPORT,0.0,3.93,10.55,19.13,30.5,47.35,72.99,96.81,118.95,138.67,153.54,157.55,161.74,165.78,169.97,173.88,177.75,181.58,185.26,188.73,192.08,195.08,197.92,200.66,203.16,205.58,207.82,209.51
TAMESIDE,0.0,4.05,11.81,21.56,34.15,52.36,79.59,104.01,126.67,146.83,161.96,165.9,170.02,173.97,178.06,181.87,185.64,189.37,192.96,196.36,199.66,202.65,205.49,208.24,210.74,213.16,215.42,217.09
TRAFFORD,51.64,52.82,54.82,57.46,61.02,66.3,74.32,81.85,88.91,95.27,100.19,101.86,103.6,105.32,107.08,108.77,110.45,112.1,113.67,115.12,116.45,117.61,118.66,119.67,120.58,121.46,122.27,122.91
WARRINGTON,0.0,0.44,1.18,2.13,3.4,5.27,8.12,10.77,13.23,15.42,17.06,17.5,17.95,18.39,18.84,19.26,19.68,20.1,20.5,20.87,21.24,21.57,21.88,22.18,22.46,22.73,22.97,23.16
WEST LANCASHIRE,51.64,53.27,56.04,59.62,64.37,71.4,82.1,92.05,101.29,109.52,115.73,117.41,119.18,120.87,122.62,124.26,125.89,127.49,129.04,130.49,131.89,133.15,134.33,135.48,136.52,137.53,138.47,139.17
WIGAN,0.0,4.08,10.96,19.87,31.68,49.17,75.78,100.51,123.48,143.94,159.37,163.52,167.87,172.05,176.38,180.42,184.43,188.38,192.19,195.78,199.24,202.34,205.28,208.12,210.69,213.19,215.51,217.25
WYRE,0.0,1.47,6.34,11.95,18.63,27.37,39.43,48.43,56.82,64.3,69.98,71.6,73.29,74.93,76.63,78.22,79.8,81.35,82.85,84.25,85.58,86.76,87.87,88.93,89.9,90.84,91.71,92.36
