County,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
CUMBERLAND,10.66,14.69,21.53,30.31,40.84,53.16,62.87,70.47,76.15,80.31,83.28,86.03,89.03,91.89,94.99,97.8,100.66,103.62,106.6,109.59,112.64,115.52,118.32,121.07,123.58,126.03,128.31,130.09
GREATER MANCHESTER,113.73,146.77,216.91,302.73,402.65,517.1,610.02,670.94,715.87,748.2,770.64,791.19,813.61,835.15,858.5,879.46,900.81,922.9,945.07,967.34,989.99,1011.5,1032.51,1053.13,1072.2,1090.88,1108.43,1122.0
LANCASHIRE,194.64,251.76,351.34,477.06,626.13,800.0,935.66,1035.8,1107.35,1156.34,1188.0,1216.19,1247.21,1277.6,1310.71,1339.48,1369.13,1399.71,1430.4,1461.18,1492.08,1522.07,1551.58,1580.71,1608.68,1636.26,1662.98,1683.21
OTHER,51.74,54.87,61.16,68.95,78.11,88.67,97.21,103.14,107.6,110.89,113.26,115.46,117.86,120.15,122.64,124.91,127.21,129.59,131.99,134.4,136.87,139.19,141.45,143.66,145.68,147.64,149.47,150.9
WESTMORLAND AND FURNESS,52.77,60.21,76.04,95.32,117.7,143.33,164.05,177.4,187.1,193.91,198.49,202.64,207.19,211.62,216.43,220.69,225.06,229.58,234.12,238.67,243.28,247.7,252.03,256.28,260.29,264.23,267.99,270.88
