County,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
CUMBERLAND,898.0,1641.0,2777.0,4132.0,6419.0,8744.0,10590.0,11952.0,12890.0,13618.0,14279.0,16672.0,24769.0,32962.0,41174.0,49158.0,56807.0,64124.0,71294.0,77660.0,83653.0,90133.0,97025.0,104320.0,111798.0,119336.0,126812.0,126915.0
GREATER MANCHESTER,13357.0,20202.0,30944.0,44416.0,64503.0,84856.0,102198.0,115243.0,124750.0,132997.0,140779.0,163688.0,235479.0,307427.0,379083.0,448245.0,512528.0,572243.0,629671.0,681292.0,729977.0,780953.0,834677.0,890930.0,947738.0,1004301.0,1058817.0,1056105.0
LANCASHIRE,4933.0,8746.0,14726.0,22034.0,32900.0,43871.0,53132.0,60510.0,66300.0,71465.0,76383.0,90063.0,132135.0,174762.0,217552.0,259294.0,298611.0,335653.0,371833.0,405173.0,437169.0,471044.0,506566.0,543607.0,581230.0,619039.0,656166.0,657663.0
OTHER,1082.0,1935.0,3298.0,4985.0,7549.0,10148.0,12348.0,14127.0,15566.0,16858.0,18086.0,21273.0,30747.0,40396.0,50106.0,59602.0,68578.0,76991.0,85246.0,92812.0,100072.0,107794.0,115899.0,124362.0,132975.0,141645.0,150184.0,150737.0
WESTMORLAND AND FURNESS,818.0,1435.0,2339.0,3446.0,5474.0,7570.0,9259.0,10546.0,11409.0,12072.0,12666.0,14795.0,22024.0,29329.0,36652.0,43760.0,50571.0,57139.0,63574.0,69271.0,74596.0,80369.0,86508.0,93056.0,99808.0,106627.0,113393.0,113590.0
