County,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
CUMBERLAND,1401725.01,1497438.92,1552403.07,1636525.72,1735301.8,1791240.35,1864551.96,1940265.55,2014032.82,2101571.33,2178299.18,2276408.74,2435795.86,2611932.6,2721898.54,2825395.94,2924720.57,3018558.18,3082971.76,3154289.5,3196703.42,3236814.51,3289650.45,3327239.04,3361363.1,3394807.58,3421402.02,3408745.09
GREATER MANCHESTER,11209254.16,12177545.22,12868227.43,13691564.77,14377077.04,14921526.45,15461424.81,16038107.98,16696233.13,17270589.29,17866626.26,18526292.63,19467196.74,20335027.98,21248535.51,21963912.34,22591590.53,23185630.82,23686373.52,24110666.56,24484156.94,24834430.82,25183571.53,25500868.35,25794992.99,26066762.56,26298099.91,26254482.33
LANCASHIRE,5988478.79,6482014.91,6848985.77,7122668.94,7466792.84,7790922.91,8142982.2,8453558.67,8780554.1,9151989.72,9456140.78,9800570.52,10305984.05,10803927.11,11588858.11,12018837.2,12375654.21,12797201.54,13076334.12,13325589.02,13560437.86,13769936.7,13964821.19,14147604.72,14325021.11,14483108.48,14616908.53,14579923.44
OTHER,1329091.68,1425034.59,1486689.43,1544902.55,1601675.99,1659414.94,1719298.1,1784949.02,1859487.14,1922216.39,1981894.72,2058352.22,2171966.61,2304176.4,2424552.04,2511408.25,2588206.83,2664755.94,2728329.9,2782546.01,2829969.98,2874783.06,2919135.32,2960319.68,2998374.47,3033615.77,3064034.22,3058412.02
WESTMORLAND AND FURNESS,1253271.55,1338848.62,1387991.64,1463205.06,1551519.98,1601534.21,1667081.56,1734776.5,1800731.25,1878998.76,1947600.54,2035319.54,2177826.34,2335308.85,2433628.54,2526164.77,2614970.16,2698869.64,2756461.33,2820225.98,2858147.93,2894010.95,2941251.15,2974858.82,3005368.89,3035271.33,3059049.22,3047732.76
