County,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
CUMBERLAND,1401725.01,1505779.67,1583488.07,1746827.51,1916142.22,2007640.11,2087339.76,2214679.57,2441423.99,2549303.01,2669852.91,2778589.9,2892748.85,2998991.59,3100800.21,3196313.71,3280803.68,3355293.38,3414688.04,3461205.94,3500102.53,3531642.85,3525820.18,3517091.59,3506157.57,3494504.88,3481210.36,3466080.82
GREATER MANCHESTER,11209254.16,12294669.05,13266569.4,14666422.36,15521937.14,16243065.97,16932443.34,18147913.43,19186005.45,20233988.91,21080027.95,21916889.87,22776078.48,23582712.56,24337544.78,25022953.75,25624258.22,26134520.16,26566230.49,26932250.91,27239622.09,27502570.41,27532963.91,27538829.44,27526801.62,27507014.32,27476341.91,27433836.32
LANCASHIRE,5988478.79,6532928.48,7021917.62,7552510.63,8078731.39,8489256.46,8863814.5,9436203.9,10022103.08,10656421.04,11163787.39,11987515.92,12489037.36,12931964.55,13352718.46,13746496.05,14093100.68,14391863.47,14646907.44,14869438.1,15057952.52,15226727.21,15223629.91,15205414.96,15183491.61,15150136.05,15109391.22,15066054.15
OTHER,1329091.68,1432486.27,1529636.86,1646747.71,1715761.41,1786587.27,1861577.82,2009073.5,2133839.99,2297186.35,2395782.41,2491696.38,2617246.28,2711593.75,2800601.29,2883442.04,2957225.04,3022223.46,3077264.02,3124818.51,3164801.73,3199355.4,3201773.15,3201373.34,3198435.16,3194363.09,3189048.43,3182089.05
WESTMORLAND AND FURNESS,1253271.55,1346306.01,1415784.5,1561825.04,1713208.01,1795015.58,1866274.42,1980127.96,2182858.41,2279312.21,2387094.95,2484315.85,2586384.49,2681375.31,2772401.61,2857799.49,2933341.33,2999941.99,3053046.3,3094637.6,3129414.74,3157614.7,3152408.7,3144604.53,3134828.51,3124409.93,3112523.4,3098996.19
