Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
RIBBLE VALLEY,1994.25,2003.49,2021.21,2029.77,2192.22,2359.08,2406.68,2355.04,2324.02,2178.08,2142.17,2118.8,2118.94,2140.79,2172.04,2217.73,2275.6,2335.81,2401.25,2469.94,2538.52,2607.15,2675.75,2744.3,2812.83,2881.32,2949.77,3001.09
RICHMONDSHIRE,0.0,0.0,0.0,0.0,0.17,0.37,0.38,0.26,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
ROCHDALE,2938.47,2961.89,3010.15,3052.07,3319.79,3577.04,3745.72,3834.21,3931.15,3965.37,4040.17,4123.69,4222.44,4345.21,4477.78,4622.17,4777.78,4935.06,5098.13,5264.64,5430.98,5597.32,5763.58,5929.76,6095.85,6261.86,6427.79,6552.17
ROSSENDALE,247689.46,247735.45,247828.72,247901.22,248363.27,248798.58,249096.97,249250.55,249375.56,249404.63,249454.49,249533.76,249664.13,249863.19,250090.72,250354.97,250652.9,250956.32,251276.3,251606.26,251935.82,252265.46,252594.94,252924.25,253253.39,253582.37,253911.18,254157.68
SALFORD,0.0,0.02,0.05,0.08,22.27,47.08,48.36,33.27,29.01,0.88,0.99,1.11,1.22,1.33,1.44,1.56,1.67,1.78,1.9,2.01,2.12,2.23,2.35,2.46,2.57,2.68,2.79,2.88
SEFTON,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
SOUTH LAKELAND,98168.69,98485.41,99148.66,99804.8,103284.28,106603.74,109185.8,111157.82,113317.24,115266.94,117432.67,119586.5,121756.7,123949.99,126152.21,128366.07,130590.6,132815.96,135046.07,137278.63,139509.99,141740.31,143969.51,146197.59,148424.56,150650.4,152875.12,154542.94
SOUTH RIBBLE,60.26,60.84,61.8,61.83,105.88,154.59,158.73,130.96,120.78,66.92,65.84,65.75,68.31,70.92,73.7,77.51,81.89,86.48,91.07,95.7,100.33,104.96,109.58,114.21,118.83,123.44,128.06,131.52
ST HELENS,2490.1,2500.41,2521.95,2542.65,2676.87,2808.26,2890.6,2934.12,2992.81,3017.02,3075.61,3134.99,3196.24,3261.79,3329.03,3398.06,3468.9,3539.95,3612.03,3684.7,3757.31,3829.9,3902.46,3974.98,4047.46,4119.91,4192.32,4246.6
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.02,0.05,0.05,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01
STOCKPORT,38.57,38.87,39.5,40.11,82.49,129.4,133.89,108.79,103.06,54.79,56.88,58.96,61.07,63.18,65.28,67.4,69.52,71.64,73.75,75.87,77.99,80.11,82.22,84.33,86.45,88.56,90.67,92.25
TAMESIDE,74.73,76.07,78.62,79.8,126.1,175.84,184.05,161.16,152.38,102.84,98.94,96.84,98.35,102.38,107.55,114.73,123.51,132.63,142.36,152.47,162.56,172.66,182.76,192.85,202.93,213.01,223.09,230.64
TRAFFORD,6.03,6.06,6.14,6.21,28.12,52.58,53.99,39.37,35.34,7.97,8.22,8.47,8.72,8.97,9.22,9.47,9.72,9.97,10.21,10.46,10.71,10.96,11.21,11.46,11.71,11.95,12.2,12.39
WARRINGTON,0.0,0.0,0.01,0.01,50.99,108.06,110.73,75.56,65.4,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.07,0.1,0.12,0.14,0.16,0.18,0.21,0.23,0.25,0.27,0.29
WEST LANCASHIRE,5692.05,5821.08,6091.32,6359.8,7759.74,9092.84,10149.59,10978.01,11876.58,12719.64,13628.37,14529.82,15435.66,16342.53,17249.77,18158.78,19068.84,19978.87,20888.79,21798.52,22707.78,23616.6,24524.96,25432.86,26340.31,27247.3,28153.83,28833.43
WIGAN,1296.88,1328.73,1394.7,1457.3,1835.58,2202.68,2457.41,2622.79,2817.43,2955.66,3164.69,3375.15,3595.01,3814.96,4035.37,4259.37,4485.31,4711.9,4938.4,5164.92,5391.32,5617.62,5843.8,6069.86,6295.82,6521.66,6747.38,6916.6
WYRE,16718.17,16806.78,16990.63,17163.85,18121.18,19034.09,19727.44,20229.4,20762.06,21217.07,21739.4,22270.14,22828.24,23408.15,23997.54,24602.77,25220.89,25841.42,26466.97,27095.59,27723.82,28351.82,28979.5,29606.87,30233.92,30860.66,31487.08,31956.69
