Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,99005.06,98633.68,96603.85,94341.63,92565.32,91110.21,90217.37,89534.32,88939.89,88254.91,87716.21,87240.94,86818.73,86285.96,86144.13,86010.73,85807.19,85582.38,85580.08,85674.26,85730.38,85815.98,85919.36,86077.88,86223.33,86363.29,86497.43,86620.75
PRESTON,207075.66,206100.2,202046.59,197700.44,194383.73,191642.92,190085.44,188970.44,188134.05,187130.61,186330.37,185678.58,185156.99,184424.42,184470.68,184467.46,184243.93,184010.35,184213.06,184580.18,184849.7,185188.94,185560.17,186034.75,186481.02,186913.61,187332.23,187727.11
RIBBLE VALLEY,96337.05,96516.03,95116.51,93456.9,92274.17,91313.32,90873.56,90596.94,90389.33,90095.24,89897.1,89772.65,89706.4,89492.34,89672.49,89867.61,90007.42,90113.59,90419.36,90817.19,91167.06,91564.33,91979.18,92449.18,92906.12,93357.63,93803.55,94238.79
RICHMONDSHIRE,84.34,83.89,82.15,80.19,78.67,77.4,76.57,75.91,75.29,74.63,74.07,73.59,73.14,72.61,72.4,72.2,71.97,71.71,71.64,71.63,71.6,71.59,71.59,71.63,71.66,71.68,71.7,71.71
ROCHDALE,303154.97,303256.21,298634.53,293207.31,289256.26,286195.03,284780.36,284002.37,283481.0,282721.71,282335.48,282179.18,282166.96,281834.68,282791.24,283746.25,284408.82,284933.63,286163.89,287657.61,288988.56,290464.44,291995.34,293699.44,295362.24,297007.72,298635.31,300229.0
ROSSENDALE,95889.6,95836.7,94238.65,92335.42,90919.64,89784.53,89176.58,88792.2,88452.95,88030.07,87728.76,87491.51,87305.81,87002.66,87092.11,87213.61,87249.14,87253.74,87490.59,87803.78,88104.41,88421.08,88755.56,89145.34,89522.37,89894.25,90260.72,90616.74
SALFORD,465962.7,469199.75,465964.23,461800.33,459527.91,458325.76,459271.18,461046.21,463349.97,465427.83,467934.1,470634.72,473518.11,476095.37,480271.01,484233.05,487465.65,490377.84,494244.06,498207.82,501607.39,505487.41,509390.12,513461.17,517418.69,521292.78,525085.38,528773.49
SEFTON,3.42,3.39,3.31,3.22,3.14,3.08,3.04,3.01,2.97,2.94,2.91,2.89,2.86,2.84,2.82,2.81,2.79,2.78,2.77,2.77,2.76,2.76,2.75,2.75,2.75,2.74,2.74,2.74
SOUTH LAKELAND,195826.19,195341.63,191898.28,187958.7,185019.82,182578.81,181109.53,179951.46,178868.68,177653.86,176697.14,175894.28,175147.04,174207.14,174023.73,173858.65,173631.67,173287.28,173380.83,173650.87,173779.78,174003.72,174255.68,174601.75,174920.31,175224.76,175514.64,175780.84
SOUTH RIBBLE,172738.03,172054.97,168602.67,164723.64,161749.05,159244.01,157735.46,156541.51,155531.65,154439.61,153553.87,152856.23,152217.63,151421.7,151278.28,151181.88,151000.37,150743.76,150924.67,151224.85,151465.25,151765.68,152098.84,152527.74,152937.64,153341.45,153738.84,154121.48
ST HELENS,70487.44,70278.18,68928.25,67417.48,66264.18,65317.43,64755.12,64328.16,63975.32,63587.13,63277.21,63056.0,62856.26,62594.97,62628.8,62667.33,62671.07,62651.46,62809.26,63024.19,63205.87,63414.86,63637.46,63900.25,64154.98,64407.07,64656.4,64899.43
STAFFORDSHIRE MOORLANDS,9.25,9.26,9.13,8.97,8.85,8.76,8.72,8.69,8.68,8.65,8.63,8.62,8.62,8.61,8.63,8.65,8.67,8.68,8.72,8.76,8.8,8.84,8.88,8.93,8.98,9.02,9.07,9.11
STOCKPORT,378938.71,377861.18,371102.82,363503.51,357837.04,353156.46,350583.15,348793.55,347333.94,345670.67,344457.52,343570.82,342930.48,341871.78,342278.0,342781.96,343000.97,343080.49,344039.33,345347.41,346444.94,347661.39,348937.01,350406.28,351822.52,353213.03,354577.05,355896.12
TAMESIDE,336573.45,335562.55,329209.63,322134.94,316732.08,312340.31,309859.41,308070.17,306713.25,305087.12,303947.65,303097.27,302423.85,301501.23,301904.73,302349.66,302517.88,302564.03,303432.41,304557.3,305512.61,306601.72,307748.57,309077.19,310361.03,311625.34,312869.44,314076.5
TRAFFORD,321986.99,321731.76,316656.2,310832.43,306543.19,303181.6,301501.25,300496.89,299724.52,298749.36,298183.59,297882.19,297737.98,297259.11,298012.46,298867.4,299463.42,299875.45,301031.49,302481.6,303808.52,305195.21,306628.16,308221.88,309765.39,311281.92,312771.02,314216.7
WARRINGTON,35010.81,34868.4,34188.81,33423.22,32835.05,32341.28,32039.5,31806.59,31604.89,31383.46,31209.36,31070.68,30944.15,30785.1,30762.71,30746.27,30713.12,30665.09,30694.04,30753.36,30800.21,30858.99,30924.13,31008.12,31088.23,31167.0,31244.36,31318.64
WEST LANCASHIRE,160530.72,159583.27,156215.39,152484.33,149592.15,147158.19,145526.01,144262.05,143163.6,141970.88,140972.68,140091.28,139352.43,138466.48,138178.65,137925.32,137589.95,137241.95,137286.11,137454.87,137571.37,137716.83,137890.98,138149.7,138391.04,138626.45,138855.59,139071.06
WIGAN,437706.23,436442.76,428272.74,419012.14,411917.81,406145.44,402723.29,400150.81,397988.1,395577.41,393742.21,392368.98,391197.2,389629.32,389881.89,390203.14,390214.55,390066.81,390957.65,392190.49,393195.79,394391.15,395663.46,397173.02,398627.49,400059.54,401468.31,402832.2
WYRE,152880.97,152830.22,150396.38,147558.83,145509.34,143880.76,143027.05,142476.98,141998.17,141422.22,141072.65,140830.86,140697.83,140345.45,140605.94,140871.97,141004.02,141100.02,141497.96,142021.78,142449.13,142972.89,143523.71,144158.11,144773.26,145380.66,145980.07,146563.87
