Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,4861.2,6240.44,7992.04,9982.82,12370.51,15527.44,19161.33,22877.43,26439.33,30027.05,33555.63,37085.75,41426.75,45734.14,49409.84,52746.04,55850.67,58607.49,61059.42,63306.37,65363.73,67237.74,68660.77,69805.26,70790.29,71631.96,72305.41,72656.74
PRESTON,11110.21,14279.07,18468.79,23049.27,28275.65,35040.65,42719.26,50336.51,57599.09,64937.55,72102.14,79289.42,88077.69,96749.82,104086.36,110586.43,116532.31,121803.3,126390.35,130529.84,134385.32,137936.97,140690.51,142935.79,144904.78,146678.11,148227.4,149115.42
RIBBLE VALLEY,8394.37,10142.87,12560.77,15285.6,18486.62,22666.48,27449.1,32341.1,37025.43,41710.36,46280.32,50838.72,56444.96,62019.92,66792.33,71134.72,75159.44,78646.61,81747.97,84562.99,87214.21,89708.23,91691.19,93303.21,94678.07,95856.37,96903.57,97564.46
RICHMONDSHIRE,6.77,9.22,12.44,16.26,20.98,27.5,35.25,43.27,50.89,58.52,66.01,73.46,83.15,92.8,100.9,108.22,115.05,121.35,126.88,131.85,136.59,141.02,144.67,147.71,150.38,152.59,154.54,155.65
ROCHDALE,15071.19,19420.76,25420.7,32196.39,40118.61,50539.04,62416.83,74224.69,85502.19,96899.15,108041.61,119230.32,132843.25,146391.86,158009.99,168557.58,178312.38,186727.66,194229.3,201009.59,207368.57,213219.1,217851.42,221603.61,224891.72,227852.01,230493.72,232168.66
ROSSENDALE,62928.73,64538.59,66648.16,69058.48,71982.07,75845.76,80264.99,84737.52,88985.65,93275.17,97466.91,101688.03,106821.01,111904.51,116247.94,120191.04,123836.93,127021.4,129864.91,132465.35,134915.25,137150.29,138937.61,140393.95,141649.36,142778.69,143761.56,144403.72
SALFORD,15288.89,20628.22,27782.41,35719.48,44695.98,56175.24,69125.0,82244.53,94744.31,107516.84,119977.64,132693.17,147796.88,162647.55,175290.95,186620.23,196889.67,205630.14,213366.47,220327.21,226775.0,232561.05,237252.25,241175.19,244465.78,247372.5,250038.83,251884.02
SEFTON,0.29,0.4,0.54,0.69,0.86,1.1,1.38,1.67,1.94,2.22,2.49,2.76,3.1,3.44,3.72,3.98,4.22,4.45,4.64,4.82,5.0,5.16,5.23,5.3,5.36,5.42,5.48,5.52
SOUTH LAKELAND,34440.58,37721.83,42194.13,47212.27,53758.99,61685.85,70417.66,79032.39,87404.93,95829.21,104121.42,112501.83,123029.3,133479.43,142632.87,151028.92,158896.77,165957.36,172301.14,178119.73,183752.21,189098.83,193312.18,196950.18,200211.97,203144.66,205803.51,207192.03
SOUTH RIBBLE,8719.96,11249.89,14770.65,18771.1,23482.61,29838.07,37192.32,44466.32,51320.88,58186.91,64840.23,71463.55,79688.32,87835.59,94692.44,100897.87,106687.91,111829.55,116420.1,120588.98,124486.52,128000.91,130947.11,133385.45,135503.98,137315.22,138845.18,139786.05
ST HELENS,4918.55,6119.19,7828.66,9780.48,12107.41,15255.49,18893.6,22495.53,25901.54,29308.07,32622.01,35903.58,39933.42,43944.56,47315.75,50357.28,53186.15,55687.69,57900.81,59849.14,61648.9,63294.12,64629.47,65739.1,66720.53,67571.33,68295.25,68748.08
STAFFORDSHIRE MOORLANDS,0.57,0.78,1.06,1.38,1.76,2.27,2.86,3.46,4.03,4.59,5.15,5.71,6.4,7.1,7.68,8.21,8.7,9.14,9.53,9.88,10.21,10.5,10.73,10.91,11.07,11.22,11.35,11.43
STOCKPORT,23712.5,30951.48,40163.36,50344.29,61975.41,77473.42,95219.17,112970.73,129565.28,146403.99,162753.75,179272.67,199400.38,219133.89,235556.73,250106.53,263463.55,275231.46,285721.84,295200.77,303955.99,311929.12,318579.39,324063.04,328893.75,333099.48,336851.37,339420.61
TAMESIDE,14311.44,19098.39,25421.96,32635.99,41058.69,52075.52,64674.27,77422.01,89486.67,101793.04,113780.96,125985.6,140646.64,154954.91,167096.67,177942.19,187867.11,196523.85,204251.59,211280.11,217781.57,223740.35,228494.16,232371.33,235765.46,238803.62,241450.21,243194.85
TRAFFORD,17057.55,22568.7,29552.6,37343.82,46244.36,57987.91,71388.34,84875.73,97539.1,110409.72,122975.06,135693.39,150822.22,165720.98,178163.84,189303.87,199490.84,208352.88,216162.68,223086.86,229541.88,235304.32,239926.68,243666.78,246918.07,249795.66,252419.42,254253.52
WARRINGTON,1928.24,2513.11,3218.2,3996.15,4896.87,6108.14,7521.82,9009.8,10440.81,11880.05,13299.75,14719.69,16432.71,18119.88,19567.66,20887.36,22125.68,23236.1,24231.24,25118.22,25922.3,26682.78,27214.24,27625.29,27981.56,28280.19,28540.02,28693.87
WEST LANCASHIRE,10313.71,13199.97,17003.14,21276.04,26540.26,33249.95,40817.0,48551.68,55931.19,63424.93,70714.75,78084.33,86913.18,95566.77,102957.25,109659.61,115885.4,121414.16,126451.24,131067.28,135498.03,139560.36,142743.39,145519.14,147933.23,150082.09,152053.31,153380.55
WIGAN,22894.02,29617.91,39232.14,50188.99,63132.82,80343.52,100138.35,119667.87,138148.2,156736.84,174807.42,192840.57,214924.27,236780.52,255258.29,271920.06,287343.59,300915.79,312951.1,323861.15,333933.02,342980.82,350373.77,356504.53,361884.82,366540.83,370538.64,373096.0
WYRE,15521.16,18260.78,22150.54,26527.41,31825.79,38620.35,46260.35,53809.86,61036.28,68279.14,75349.57,82398.44,91143.17,99856.25,107349.6,114186.72,120549.57,126130.47,131117.47,135686.25,140021.52,144053.13,147220.62,149774.02,152048.17,154091.86,155922.71,157030.73
