Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
PENDLE,1453.9,2336.62,3236.07,4264.33,5422.26,6312.17,7106.49,8305.0,9854.25,11552.38,13388.55,15435.95,17814.99,20267.01,22747.94,25105.92,27247.34,28852.58,30349.21,31823.91,33313.79,34855.57,35713.71,36377.5,36953.83,37464.44,37810.95,37545.45
PRESTON,4034.52,6050.63,8271.69,10662.98,13249.75,15148.22,16648.59,18819.72,21634.99,24650.27,27795.25,31346.89,35607.86,40015.57,44478.62,48666.25,52399.63,55164.95,57741.68,60288.74,62931.63,65658.24,67246.11,68488.49,69594.1,70601.88,71412.85,70997.44
RIBBLE VALLEY,1455.46,2508.47,4092.28,5856.19,7798.41,9353.49,10735.2,12598.79,14859.79,17195.82,19550.45,22109.17,25175.14,28392.8,31691.62,34844.77,37689.89,39625.69,41403.34,43108.92,44968.74,46996.58,48218.28,49267.13,50257.27,51208.6,52067.62,52177.72
RICHMONDSHIRE,1.65,2.69,3.64,4.82,6.22,7.0,7.64,8.87,10.39,12.02,13.71,15.76,18.79,21.85,24.96,27.92,30.62,32.84,34.8,36.6,38.81,41.3,42.86,44.23,45.54,46.81,47.95,47.74
ROCHDALE,4950.29,7609.56,11032.1,14902.84,19248.61,23002.67,26264.99,30385.2,35566.04,41108.26,46923.18,53403.6,61000.12,69105.74,77490.41,85546.77,92851.76,97887.21,102708.0,107486.48,112259.43,117194.7,120779.57,123848.85,126708.74,129409.07,131797.22,132408.68
ROSSENDALE,1597.8,2527.16,3587.92,4799.04,6172.99,7338.63,8372.74,9738.38,11445.99,13277.31,15204.29,17336.29,19808.47,22410.53,25082.34,27665.15,29996.79,31615.42,33157.1,34671.14,36226.25,37793.27,38880.07,39777.99,40600.95,41369.26,42014.72,42080.32
SALFORD,9134.11,12669.81,17412.66,22456.54,27819.07,32111.36,35504.22,39809.68,45251.17,51007.11,56965.35,63540.38,71049.95,79012.08,87053.3,94619.46,101265.58,105605.87,109663.35,113624.33,117600.04,121730.63,124332.83,126363.79,128166.59,129799.58,131125.82,130786.9
SEFTON,0.07,0.12,0.17,0.23,0.29,0.33,0.36,0.44,0.54,0.64,0.74,0.86,1.0,1.15,1.29,1.43,1.56,1.66,1.76,1.85,1.95,2.06,2.11,2.14,2.18,2.21,2.23,2.21
SOUTH LAKELAND,4329.29,6835.71,9316.24,12168.76,15439.66,17639.71,19530.85,22644.41,26497.32,30582.14,34807.42,39701.01,46167.89,52798.76,59588.96,66050.88,71978.34,76596.65,80804.78,84824.74,89405.54,94400.33,97460.82,100054.47,102499.62,104858.47,106978.12,106689.02
SOUTH RIBBLE,2288.05,3607.07,5274.59,7071.23,9019.38,10604.78,11946.62,13640.1,15754.9,17982.33,20256.97,22880.81,26178.21,29676.42,33237.39,36664.53,39819.02,42058.2,44243.31,46386.31,48588.08,50858.27,52511.72,53938.3,55286.27,56580.59,57774.63,57885.01
ST HELENS,1055.37,1658.71,2483.19,3376.19,4344.53,5162.05,5880.21,6818.08,7996.56,9247.33,10530.18,11967.99,13643.5,15429.5,17270.4,19033.71,20657.5,21797.67,22907.89,24001.98,25096.14,26229.38,26969.85,27599.33,28186.28,28742.61,29237.6,29319.18
STAFFORDSHIRE MOORLANDS,0.19,0.29,0.44,0.6,0.78,0.92,1.04,1.2,1.4,1.61,1.83,2.07,2.37,2.68,3.0,3.31,3.59,3.78,3.97,4.16,4.35,4.56,4.69,4.81,4.92,5.02,5.11,5.12
STOCKPORT,7210.23,10524.14,14244.98,18349.78,22900.21,26395.27,28971.66,32238.68,36435.9,40937.55,45634.71,51111.63,58138.17,65500.13,72954.59,80087.08,86518.34,91123.89,95546.88,99955.21,104340.76,108840.16,112246.44,115160.4,117869.93,120421.38,122709.88,122784.68
TAMESIDE,5236.28,7854.97,10924.56,14307.1,18042.75,20978.49,23360.03,26599.11,30830.61,35390.84,40245.56,45732.32,52272.63,59165.52,66132.15,72763.14,78717.5,82933.62,86965.4,90877.8,94716.39,98687.01,101209.05,103267.62,105111.61,106785.84,108141.46,107907.43
TRAFFORD,7109.1,10610.61,14143.64,18015.02,22253.6,25520.58,27971.58,31178.95,35262.04,39623.27,44186.89,49363.56,55453.93,61854.75,68419.81,74698.32,80329.67,84227.31,87888.05,91594.79,95468.33,99316.42,102108.96,104330.03,106356.14,108253.07,109906.44,109929.04
WARRINGTON,641.56,991.75,1282.75,1612.51,1990.13,2274.0,2575.88,3171.5,3915.71,4723.11,5569.56,6495.43,7534.38,8602.51,9698.4,10755.88,11746.96,12548.82,13303.73,14048.2,14831.78,15653.43,16005.59,16280.13,16529.55,16764.69,16972.89,16956.14
WEST LANCASHIRE,2833.05,4414.67,6227.61,8155.96,10230.13,11762.98,13061.59,15171.03,17793.87,20523.86,23281.23,26304.76,30011.83,33821.85,37640.97,41230.78,44458.71,46826.73,49039.45,51146.0,53387.25,55739.62,56806.68,57622.18,58343.56,59001.18,59546.0,59115.08
WIGAN,7147.66,10910.69,15807.02,21093.24,26823.52,31513.4,35487.41,40638.13,47120.93,53989.79,61113.15,69130.94,78668.19,88776.1,99180.54,109142.92,118213.64,124564.92,130676.41,136695.21,142710.58,148940.36,153112.48,156618.46,159862.17,162913.15,165584.6,165748.45
WYRE,3101.99,4892.41,7237.99,9837.31,12710.61,15042.8,17027.49,19700.17,22976.7,26391.94,29899.64,33792.17,38603.59,43652.98,48841.58,53808.07,58300.07,61485.23,64459.81,67367.43,70397.22,73640.99,75793.23,77662.96,79438.88,81152.64,82742.68,83000.58
